#,Description,Unknown1,Unknown2,PreviewIcon,Transformation,Unknown5,Expansion
41,"Une Miqo'te très instruite, se déclarant sorcière",0,69190,73841,362,91,3
42,Un Élézen laconique capable de lire dans les étoiles,1,69190,73842,364,91,3
43,Un pistosabreur hyur qui ne manque pas de courage,2,69190,73843,363,91,3
44,Une Hyure aux prunelles azurées et au destin dramatique,3,69190,73844,365,91,3
45,Un Hyur à la tête de pirates en tant que capitaine remplaçant,4,69552,73845,473,132,3
46,Un Hyur connu comme dresseur d'exception,5,69487,73846,474,132,3
47,Une Lalafelle orgueilleuse venant d'une famille de dresseurs renommée,6,69620,73847,475,132,3
48,"Un Garlemaldais dévoué, général de l'Empire",7,69568,73848,476,132,3
49,Un Hyur qui porte le noir à merveille,99,69190,73849,477,132,3
50,Un Élézen membre du Conseil de Sharlayan,0,70000,73850,464,132,4
51,"Une Élézenne d'une grande bonté, dirigeant le Comité",1,70000,73851,469,132,4
52,Un Garlemaldais qui cherche à reconstruire sa patrie,2,70000,73852,470,132,4
53,Un Viéra parcourant le monde à la recherche d'objets précis,3,70000,73853,471,132,4
54,Un Hyur amateur d'antiquités orientales,4,70269,73854,509,142,4
55,Une Miqo'te portant en elle l'âme d'un ancien mage,5,70199,73855,510,142,4
56,"Un pantin de taille adulte, animé par un dragon à la recherche de sa sœur",6,70286,73856,538,152,4
57,"Le double presque parfait d'un gentilhomme détective, très doué pour les mathématiques",7,70336,73857,539,152,4
58,Un Hyur à qui l'aube va à merveille,99,70000,73858,472,132,4
59,Une Hrothgar qui est devenue Aurarque de la Force après avoir découvert la cité d'or,0,70495,73859,570,164,5
60,Un Miqo'te toujours prêt à aider sa sœur adorée et qui est devenu Aurarque de la Raison,1,70495,73860,571,164,5
61,Un Hyur qui porte le doré à merveille,99,70495,73861,572,164,5
62,Une Lalafelle à l'âme d'artiste qui a renoué avec ses origines,2,70495,73862,573,164,5
63,Un Hyur qui poursuit son voyage pour honorer les Douze,8,70328,73863,574,164,4
64,Une semi-créature du néant armée d'une faux,9,70286,73864,575,164,4
65,Un Hrothgar qui affectionne sa forêt ombragée et une certaine sorcière,8,69190,73865,576,164,3
66,"Un Garlemaldais métis, héros de l'ombre",12,68725,73866,577,164,2
67,"Une Garlemaldaise métisse, sœur de héros",13,68725,73867,578,164,2
68,"Un Garlemaldais, directeur de la Compagnie des Majestueux",14,68725,73868,579,164,2
