#,Name,Text,Image
26,Si vous perdez votre déguisement...,"Une fois le temps imparti écoulé, ou si vous quittez la zone actuelle, vous perdrez l'effet **Déguisement** et ne pourrez plus accomplir votre objectif.
En retournant à votre point de départ, vous pouvez soit prolonger la durée de l'effet, soit demander à vous changer de nouveau si nécessaire.",86916
27,Escortez un personnage jusqu'à l'endroit indiqué !,"Lors de certaines quêtes, vous êtes amenée à escorter d'autres personnages.
Pour atteindre votre objectif, vous devez faire en sorte de ne pas trop vous éloigner, tout en vous défendant contre les attaques ennemies.
Lorsqu'un personnage qui vous accompagne vous perd de vue ou qu'il encaisse une attaque, il arrête de se déplacer.
Essayez donc de vous débarrasser au plus vite des ennemis afin de pouvoir emmener votre cible jusqu'à bon port.",86917
28,Si vous n'êtes plus accompagnée...,"Votre mission se soldera par un échec si les PV du personnage que vous escortez tombent à 0, si vous vous retrouvez trop éloignée, ou encore si vous quittez la zone.
Le cas échéant, vous pouvez retourner au point de départ et réessayer.",86918
29,Cumuler 100 PT,"Voici comment réaliser un exemple de combo instinctif avec votre cu sith.

Tout d'abord, vous et votre cu sith devez cumuler chacun au moins 100 PT. Le dresseur cumule des PT en réalisant des combos de techniques d'arme (hors combos instinctifs). Les bêtes cumulent des PT en effectuant des attaques automatiques.",86919
30,Enchaîner les techniques instinctives,"Une fois que vous et votre cu sith disposez chacun d'au moins 100 PT, utilisez **Assaut** de votre cu sith.
Utilisez ensuite **Hache avalanche** dans un délai de 7 secondes.

Cela aura pour conséquence de déclencher **Combo instinctif I - Féroce**.",86920
31,À retenir,"Un combo instinctif est un enchaînement réalisé con­join­te­ment par le dresseur et sa bête.

L'un et l'autre dépensent leurs PT pour effectuer des techniques instinctives, ce qui déclenche le combo et inflige des dégâts sup­plé­men­tai­res à l'ennemi.

Ceci est valable peu importe la technique utilisée en premier (celle du dresseur ou celle de la bête), du moment que la suivante est utilisée dans un délai de 7 secondes.",86920
32,Réinitialiser l'inimitié d'un mannequin,"Pour réinitialiser l'inimitié d'un mannequin d'en­traî­ne­ment, ciblez-le, ouvrez le sous-menu de l'élément d'ATH “Cible” et choisissez “Réinitialiser l'inimitié du mannequin”.",86920
33,Cumuler 100 PT,"Voici comment réaliser un exemple de combo instinctif II avec votre cu sith.

Comme pour un combo instinctif I, vous et votre cu sith devez d'abord cumuler chacun au moins 100 PT.",86919
34,Réaliser un assaut létal,"Une fois que vous et votre cu sith disposez chacun d'au moins 100 PT, utilisez **Assaut** de votre cu sith.
Utilisez ensuite **Hache mistral** dans un délai de 7 secondes.

Cela aura pour conséquence de déclencher **Combo instinctif II - Assaut létal**.",86921
35,Connaître les types,"Les techniques instinctives des dresseurs ainsi que des bêtes possèdent chacune un type parmi les quatre suivants : aérien, féroce, robuste, arcanique.

Les types jouent un rôle central dans la réalisation des combos instinctifs avancés, et il est donc important de les connaître.

Le type d'une technique instinctive peut être deviné à la couleur de son icone, ou vérifié dans sa description.",86924
36,Jouer avec les types,"Il existe deux formes de combo instinctif II : **Assaut létal** et **Assaut vital**.

Pour réaliser **Assaut létal**, enchaînez les techniques instinctives dans l'un des ordres de types suivants :
Féroce → Robuste
Arcanique → Aérien

Par exemple, **Assaut** de votre cu sith (féroce), suivi de **Hache mistral** (robuste).",86922
37,Jouer avec les types (suite),"Pour réaliser **Assaut vital**, enchaînez les techniques instinctives dans l'un des ordres de types suivants :
Aérien → Féroce
Robuste → Arcanique

Ceci est valable peu importe la technique utilisée en premier (celle du dresseur ou celle de la bête), du moment que l'ordre de types est respecté.

Par exemple, vous pouvez utiliser **Hache rafale** (aérien), suivie d'**Assaut** de votre cu sith (féroce).",86923
38,Cumuler des degrés d'Instinct maître,"Voici comment réaliser un exemple de combo instinctif III avec votre cu sith.

La première étape est de cumuler 3 degrés d'**Instinct maître**.
L'**Instinct maître** augmente le potentiel de **Poussée d'énergie**. Avec 3 degrés, l'utilisation de cette action amènera vos PT à 250.

Pour cumuler des degrés d'**Instinct maître**, enchaînez les techniques instinctives en respectant l'ordre suivant :
technique du cu sith → technique du dresseur.
Vous pourrez réaliser au passage des combos instinctifs I et II.",86925
39,Réaliser un assaut létal,"Une fois que vous aurez cumulé 3 degrés d'**Instinct maître**, vous pourrez passer à la seconde étape : réaliser un assaut létal.

Utilisez **Assaut** de votre cu sith, suivi de **Hache mistral** pour déclencher **Combo instinctif II - Assaut létal**.

À partir de là, vous aurez 7 secondes pour accomplir toutes les étapes restantes.",86921
40,Utiliser Poussée d'énergie,"Avec 3 degrés d'**Instinct maître**, utilisez **Poussée d'énergie** pour amener vos PT à 250.

Lorsque les PT du dresseur sont à 250, ses quatre techniques instinctives sont remplacées par des techniques de type vital ou létal.",86926
41,Terminer le combo,"La dernière étape consiste à utiliser une technique instinctive de type contraire à l'assaut létal précédemment réalisé.

Utilisez une de vos nouvelles actions de type vital, **Rage brutale** ou **Montée-descente**, pour déclencher **Combo instinctif III - Marche de l'univers**.

Souvenez-vous que cette dernière étape devra être accomplie dans un délai de 7 secondes à partir du déclenchement de l'assaut létal.",86927
42,Pour résumer,"1. Cumulez trois degrés d'**Instinct maître**.
2. Réalisez un combo instinctif II.
3. Utilisez **Poussée d'énergie** pour amener vos PT à 250, et avoir accès aux techniques vitales et létales.
4. Utilisez une technique instinctive de type contraire au combo instinctif II.

Prêtez attention aux icones pour vous faciliter la tâche.",86927
43,À retenir,"Les combos instinctifs III sont les enchaînements les plus avancés qui soient, car ils exigent de jongler habilement entre les types vital et létal.

Le jeu en vaut la chandelle, **Marche de l'univers** étant la technique de dresseur qui inflige le plus de dégâts sup­plé­men­tai­res. Essayez donc de l'utiliser contre les ennemis les plus coriaces.",86927
