#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
39,Crypte des Ascètes (H),H,548410,660,340,330,600,2,3,60,6,15,False
40,Flanc de la Fosse crématoire (I),I,548410,660,500,580,600,2,3,60,6,15,False
41,Grotte du Révérend (J),J,548410,660,460,420,600,2,3,60,6,15,False
42,Mer de Cendre 4 (K),K,548410,660,140,310,300,2,3,60,6,15,False
43,Bassin sédimentaire (L),L,595020,720,440,200,600,2,4,63,6,16,False
44,Île du gant esseulé (M),M,595020,720,820,550,100,2,4,63,6,16,False
45,Île de la chaussette trouée (N),N,645590,780,870,400,100,2,4,65,6,17,False
46,Repaire des contrebandiers (O),O,645590,780,760,660,300,2,4,65,6,17,False
47,Île de la robe fripée (P),P,645590,780,584,195,100,2,4,65,6,20,False
48,Cheminée de Nald'thal (Q),Q,661730,800,761,885,600,2,4,66,6,20,False
49,Mer de Chasse-Ancre (R),R,678274,820,818,145,400,2,5,67,6,21,False
50,Estomac goulu (S),S,712612,860,680,285,300,2,5,69,6,21,False
51,Trou bleu (T),T,730428,880,168,140,600,2,5,70,6,22,False
52,,,0,0,64,591,0,3,0,0,0,0,True
53,Île du Sacrement (A),A,730428,880,199,455,100,3,1,70,6,22,False
54,Tombe du Kraken (B),B,730428,880,246,703,1000,3,1,70,6,22,False
55,Mer de Jade 1 (C),C,730428,880,261,289,400,3,1,70,6,22,False
56,Chasse de Rogo-Tumu-Here (D),D,767407,900,101,203,1000,3,1,72,6,23,False
57,Ventouse de pierre (E),E,767407,900,474,89,700,3,1,72,6,23,False
58,Repos de Rogo-Tumu-Here (F),F,786593,920,214,98,1000,3,1,73,6,24,False
59,Hameçon de Tangaroa (G),G,806258,930,689,253,500,3,1,74,6,24,False
60,Mer de Jade 2 (H),H,826415,940,676,76,400,3,2,75,6,25,False
61,Fjord aveugle (I),I,826415,940,842,186,200,3,2,75,6,25,False
62,Mer de Jade 3 (J),J,826415,940,723,387,300,3,2,75,6,25,False
63,Forge de Moergynn (K),K,847076,950,855,96,500,3,2,76,6,26,False
64,Fanal de Tangaroa (L),L,889960,960,889,305,100,3,3,78,6,28,False
65,Mer de Jade 4 (M),M,935015,980,659,637,300,3,3,80,6,30,False
66,Forêt d'algues (N),N,958391,1000,626,805,500,3,3,81,6,31,False
67,Mer de Jade 5 (O),O,1006910,1040,938,188,600,3,4,83,6,32,False
68,Abîme émoussé (P),P,1057886,1080,481,918,100,3,4,85,6,33,False
69,Port-tempête (Q),Q,1111443,1120,889,445,500,3,5,87,6,34,False
70,Repos du dragon (R),R,1139230,1140,736,764,600,3,5,88,6,35,False
71,Mer de Jade 6 (S),S,1167711,1160,852,617,1000,3,5,89,6,36,False
72,Crypte du diable (T),T,1751567,1180,832,888,1000,3,5,90,6,37,False
73,,,0,0,177,927,0,4,0,0,0,0,True
74,Bassin de cérumen (A),A,1751567,1180,201,748,200,4,1,90,6,37,False
75,Mer du Chant des sirènes 1 (B),B,1751567,1180,427,704,700,4,1,90,6,37,False
76,Mer du Chant des sirènes 2 (C),C,1751567,1180,340,532,300,4,1,90,6,37,False
77,Île d'Anthémuse (D),D,1926724,1190,447,253,200,4,1,91,6,38,False
78,Bouche du démon des mers (E),E,2119397,1210,583,593,800,4,1,92,6,39,False
79,Pertuis des naufrages (F),F,2331337,1220,687,644,400,4,2,93,6,40,False
80,Récif de la mort (G),G,2820919,1250,66,383,900,4,2,95,6,41,False
81,Mer du Chant des sirènes 3 (H),H,3074802,1270,352,118,500,4,3,96,6,42,False
82,Courant sous-marin d'Anthémuse (I),I,3074802,1270,557,183,800,4,3,96,6,42,False
83,Mer du Chant des sirènes 4 (J),J,3351535,1280,738,555,400,4,3,97,6,42,False
84,Détroit aux tourbillons (K),K,3653174,1300,802,436,800,4,3,98,6,43,False
85,Baie du Bec (L),L,3981960,1310,620,806,300,4,4,99,6,44,False
86,Geôle du démon des mers (M),M,4340337,1330,136,138,1000,4,4,100,6,44,False
87,Atoll des exilés (N),N,4687564,1340,533,68,100,4,4,101,6,45,False
88,Plage de Lugat (O),O,4687564,1340,885,400,400,4,4,101,6,45,False
89,Source givrée (P),P,5062570,1360,502,899,200,4,5,102,6,46,False
90,Mer du Chant des sirènes 5 (Q),Q,5467576,1370,873,106,1000,4,5,103,6,47,False
91,Île du tumulte (R),R,5904983,1390,678,289,0,4,5,104,6,47,False
92,Colline de sang pourpre (S),S,6377382,1400,937,651,1000,4,5,105,6,48,False
93,Source cristalline (T),T,6377382,1400,747,901,200,4,5,105,6,48,False
94,,,0,0,49,928,0,5,0,0,0,0,True
95,Arche de glycines aguichantes (A),A,6377382,1400,177,858,600,5,1,105,6,48,False
96,Île blanchie (B),B,6377382,1400,189,713,100,5,1,105,6,48,False
97,Haut-fond de l'oiseau vagabond (C),C,6377382,1400,494,744,300,5,1,105,6,48,False
98,Mer de lilas 1 (D),D,6536817,1420,90,514,300,5,1,106,6,48,False
99,Île du râle (E),E,6700238,1430,545,898,100,5,1,107,6,48,False
100,Centre de la fosse des campanules (F),F,6867744,1450,366,534,1000,5,2,108,6,49,False
101,Mer de lilas 2 (G),G,7215424,1480,741,797,300,5,2,110,6,49,False
102,Mer de lilas 3 (H),H,7395810,1490,901,898,300,5,3,111,6,50,False
103,Nord-ouest de la fosse des campanules (I),I,7580706,1510,174,394,1000,5,3,112,6,50,False
104,Île des couronnes florales (J),J,7770224,1520,533,457,100,5,3,113,6,50,False
105,Sud-est de la fosse des campanules (K),K,7964480,1540,646,677,1000,5,3,114,6,50,False
106,Lagon en fleur (L),L,8163592,1550,562,320,600,5,4,115,6,51,False
107,Île des tiges ailées (M),M,8163592,1550,806,570,100,5,4,115,6,51,False
108,Île de l'étendard (N),N,8367682,1570,690,212,100,5,4,116,6,51,False
109,Baie des orchidées papillon (O),O,8576875,1580,737,433,600,5,4,117,6,51,False
110,Mer de lilas 4 (P),P,8791297,1600,62,88,600,5,5,118,6,52,False
111,Île de la carène (Q),Q,9011080,1610,374,296,100,5,5,119,6,52,False
112,Est de la vallée sous-marine de Dodie (R),R,9011080,1610,922,340,1000,5,5,119,6,52,False
113,Mer de lilas 5 (S),S,9236357,1630,804,64,1000,5,5,120,6,52,False
114,Ouest de la vallée sous-marine de Dodie (T),T,9236357,1630,485,62,1000,5,5,120,6,52,False
115,,,0,0,934,60,0,6,0,0,0,0,True
116,Hauts-fonds indigo (A),A,9236357,1630,822,159,100,6,1,120,6,52,False
117,Base d'exploration intermédiaire (B),B,9236357,1630,661,378,0,6,1,120,6,52,False
118,Nord des profondeurs de la Mer de cobalt (C),C,9236357,1630,624,168,400,6,1,120,6,52,False
119,Vallée sous-marine du Berceau des pluies (D),D,9467266,1640,907,517,1000,6,1,121,6,52,False
120,Océan Indigo méridional 1 (E),E,9703948,1660,431,86,700,6,1,122,6,52,False
121,Infinité bleue (F),F,9946547,1670,480,438,800,6,2,123,6,53,False
122,Océan Indigo méridional 2 (G),G,10450092,1700,393,257,700,6,2,125,6,53,False
123,Île des serres (H),H,10711345,1720,286,364,0,6,3,126,6,54,False
124,Sud de L'Infinité bleue (I),I,10979129,1730,508,600,500,6,3,127,6,54,False
125,Océan Indigo méridional 3 (J),J,11253608,1750,85,93,500,6,3,128,6,54,False
126,Large de l'île des serres (K),K,11534949,1760,76,316,700,6,3,129,6,54,False
127,Île de l'iris aigue-marine (L),L,11823323,1780,728,764,100,6,4,130,6,55,False
128,Bas-fonds des Étoiles ciselées (M),M,11823323,1780,331,660,400,6,4,130,6,55,False
129,Île de la Lune gibbeuse (N),N,12118907,1790,206,650,0,6,4,131,6,55,False
130,Profondeurs émeraude (O),O,12421880,1810,895,919,1000,6,4,132,6,55,False
131,Océan Indigo méridional 4 (P),P,12732427,1820,86,494,800,6,5,133,6,56,False
132,Sud des profondeurs de la Mer de cobalt (Q),Q,13050738,1840,461,816,800,6,5,134,6,56,False
133,Moyennes profondeurs des Étoiles ciselées (R),R,13050738,1840,196,810,900,6,5,134,6,56,False
134,Vallée sous-marine du Berceau des vents (S),S,13377007,1850,520,926,1000,6,5,135,6,56,False
135,Grands fonds des Étoiles ciselées (T),T,13377007,1850,88,927,1000,6,5,135,6,56,False
136,,,0,0,933,940,0,7,0,0,0,0,True
137,Est du caillot de sang noir (A),A,13377007,1850,883,870,500,7,1,135,6,56,False
138,Port des loups de mer (B),B,13377007,1850,907,579,1000,7,1,135,6,56,False
139,Rive sud de l'île ar­ti­fi­cielle (C),C,13377007,1850,803,779,0,7,1,135,6,56,False
140,Lac d'Oeya Seik (D),D,13711433,1870,727,634,400,7,1,136,6,56,False
141,Nord-est de l'île ar­ti­fi­cielle (E),E,14054219,1880,850,360,0,7,1,137,6,56,False
142,Plage de Fejer (F),F,14405575,1900,551,645,600,7,2,138,6,58,False
143,Rivage des griffes (G),G,15134858,1930,472,432,600,7,2,140,6,58,False
144,,,0,0,0,0,0,0,0,0,0,0,False
145,,,0,0,0,0,0,0,0,0,0,0,False
146,,,0,0,0,0,0,0,0,0,0,0,False
147,,,0,0,0,0,0,0,0,0,0,0,False
148,,,0,0,0,0,0,0,0,0,0,0,False
149,,,0,0,0,0,0,0,0,0,0,0,False
150,,,0,0,0,0,0,0,0,0,0,0,False
151,,,0,0,0,0,0,0,0,0,0,0,False
152,,,0,0,0,0,0,0,0,0,0,0,False
153,,,0,0,0,0,0,0,0,0,0,0,False
154,,,0,0,0,0,0,0,0,0,0,0,False
155,,,0,0,0,0,0,0,0,0,0,0,False
156,,,0,0,0,0,0,0,0,0,0,0,False
157,,,0,0,0,0,0,0,0,0,0,0,False
158,,,0,0,0,0,0,0,0,0,0,0,False
159,,,0,0,0,0,0,0,0,0,0,0,False
