#,Description,DescriptionEnhanced,Tooltip
0,,,
44,Vous appelez un gros chocobo à la démarche gracieuse et paré élégamment pour parader.,"Ce volatile à l'appétit insatiable aurait été livré à la guilde des aventuriers lorsque celle-ci commanda des chocobos de stature imposante à un marchand. Bien trop coûteux à entretenir, la guilde décida de les offrir à certains aventuriers pour saluer leurs exploits.","Kwa, kwa ?"
45,Vous appelez votre chocobo noir. Cet oiseau de la race des volants a été entraîné au vol dès son plus jeune âge.,"Un chocobo noir natif d'Ishgard, de la race des “volants”. Sire Haurchefant de la maison Fortemps a élevé lui-même ce spécimen, qu'il destinait à un ami cher, et lui a fait subir un en­traî­ne­ment de son cru. Curieusement, l'animal semble musclé...",Kwékwé !
46,"Vous appelez une adamankhélone. Malgré sa taille imposante, cette tortue originaire du Proche-Orient est très véloce.","Les adamankhélones proviennent de la lointaine île de Thavnair. Les scien­ti­fi­ques uldiens ont longtemps cherché à les apprivoiser afin de pouvoir profiter de leur force prodigieuse. Grâce au concours des occultistes, de nombreux spécimens ont été dressés à être montés, et certains sont même désormais capables de voyager dans les airs.","Badam, badam..."
47,"Vous appelez Kirin, un destrier légendaire venu des contrées orientales.","Ce destrier légendaire, qui règne sur les autres créatures, a vécu des millénaires. Un ermite a fabriqué le “cor oriental” nécessaire pour l'appeler, mais on dit que seul un héros aussi vaillant que sage verra cette monture se présenter devant lui.", . . . . . 
48,"Vous appelez un module de déplacement sphérique. Cet appareil a été conçu dans l'ancien empire d'Allag à des fins multiples, mais surtout défensives.","Les archéologues de la Fondation de Saint-Coinach ont découvert ce module, dont le désarmement a été confié aux bons soins de Nero tol Scaeva. Les frais ont été remboursés lors de la revente de l'appareil, mais les réglages semblent avoir été faits à la va-vite. L'appareil s'agite parfois, comme s'il se préparait à abattre sa cible...","Mise à jour en cours...
Ne pas éteindre le module."
49,"Vous appelez Fenrir, le loup gigantesque qui erre dans les régions reculées des montagnes d'Abalathia.","Ce canidé sauvage, dont les Éorzéens croyaient l'espèce disparue depuis longtemps, régnait autrefois en Éorzéa. On l'appelle “Fenrir” de par sa ressemblance avec la créature légendaire du même nom. Le froid des montagnes d'Abalathia aurait-il ressuscité ces bêtes ?",Aouuuuh !
50,Vous appelez Midgardsormr.,"Une progéniture engendrée par Midgardsormr, le père de tous les dragons. Un Guerrier de la Lumière ayant vaincu tous les dragons est, d'après lui, digne de le chevaucher. Il a changé de forme de façon à pouvoir être monté.", . . . . . 
51,,,
52,"Vous appelez un robuste chocobo rouge, capable de supporter le poids de deux cavaliers.","Oiseau de grande taille capturé dans la forêt des chocobos de Dravania, il arbore un ton rouge rare chez les spécimens sauvages. Cette couleur étant celle de l'amour et de la fraternité à Ishgard, c'est la monture idéale pour les in­sé­pa­ra­bles.","Kwé, kwéééh !"
53,"Vous appelez votre sanuwa personnel, spé­cia­le­ment entraîné pour la monte par le marchand gundu Luna Vanu.",Luna Vanu a passé plusieurs lunes à entraîner ce farouche sanuwa à obéir à l'homme en attendant qu'un aventurier digne de le monter se présente. Il est si puissant qu'il peut voler sans difficultés même face à la plus terrible des tempêtes.,Guuuoooh !
54,"Vous appelez votre griffon, un animal ailé originaire des montagnes d'Abalathia.",Cet animal ailé originaire des montagnes d'Abalathia est ex­trê­me­ment féroce. La Cité d'Ala Mhigo a cependant réussi par le passé à l'utiliser comme monture en le dressant strictement dès son plus jeune âge. Cette nation avait même constitué un escadron monté utilisant ces animaux.,Groaaahr !
55,"Vous appelez le Manacutter, un aéronef miniature mis au point par les Forges de Garlond.",Le Manacutter est un aéronef de petite taille conçu par Wedge et Biggs des Forges de Garlond sur une supervision de Cid nan Garlond. C'est le tout premier modèle embarquant un convertisseur fon­ction­nant au moyen de cristaux corrompus.,VRRRH...
56,"Vous appelez votre monture panthère de guerre. Ce félin énigmatique a été entraîné au combat. Il fond sur sa proie en un instant, discret comme une ombre.",Ce félin proche du coeurl a été dressé pour le combat. Il possède la capacité naturelle d'augmenter ses ca­rac­té­ris­ti­ques physiques grâce à la magie pour chasser. On raconte qu'il aurait ainsi inspiré les premiers chevaliers noirs pour leurs techniques d'épée.,Rawrh...
57,,,
58,"Vous appelez votre gobblindé, un engin mis au point par l'or­ga­ni­sa­tion scien­ti­fi­que gobeline de la Main indigo.","Conçu à l'origine pour remplacer les raptors de trait, cet engin a rapidement été transformé en machine de guerre par les Gobelins de la Main indigo. Ce modèle ne dispose pas de munition et ne peut, par conséquent, pas attaquer.",Kling klang !
59,Vous appelez Gémellia. Cette wyverne ancienne originaire de Méracydia rêve secrètement de retrouver sa liberté... et de vous dévorer.,"Vouée à la servitude éternelle grâce au dispositif qu'elle porte autour du cou, cette wyverne ancienne originaire de Méracydia restera un fidèle serviteur aussi longtemps que vous posséderez la clef d'identification de son neurolien.",Grrrh !
60,,,
61,,,
62,Vous appelez votre balai de sorcière. Tenez-le bien ou il s'envolera en un “fschuiii” !,"Autrefois relégué à des tâches de second ordre comme le balayage et... le balayage, ce balai a vu sa vie prendre un tournant décisif le jour où il a été enchanté par la femme à tête de citrouille. Depuis, ce ne sont plus les déchets qu'il chasse, mais les nuages !",Fschuiii !
63,,,
64,,,
65,,,
66,,,
67,"Vous appelez Pégase, le légendaire cheval ailé.","Bien que des rumeurs d'un cheval ailé soient apparues dans divers écrits à travers les siècles, jusqu'à récemment, il n'y avait aucune preuve de son existence, si l'on excepte les quelques plumes et fers à cheval pré­cieu­se­ment gardés dans les reliquaires de monastères oubliés.", . . . . . 
68,Vous appelez à vous l'armure magitek personnelle de Livia sas Junius.,"Ce chef-d'œuvre de l'ingénierie impériale est l'armure de combat personnelle de Livia sas Junius, commandante de la 14e légion, et celle qu'elle pilotait pendant l'invasion de l'empire de Garlemald.","Clang, clang !"
69,Vous appelez à vous l'armure magitek personnelle de Nero tol Scaeva.,"Sans cesse modifiée et améliorée par Nero lui-même, cette machine de guerre garlemaldaise ressemble à peine à l'armure magitek reçue par tol Scaeva le jour de sa promotion au rang de commandant.",Vuuuuiiiiii !
70,Vous appelez à vous votre terrifiante mais loyale wyverne.,"Cette wyverne reste fidèle à la promesse qu'elle a faite à un chevalier il y a plus d'un millénaire et continue à protéger les cieux des forces du mal, ignorant l'appel de ses congénères pour lutter contre les humains.","Vers les cieux, compagnon !"
71,"Vous appelez à vous le véhicule à deux roues SLE Fenrir, un artefact venu d'un autre âge, peut-être même d'un autre monde.",Ce véhicule tire son nom du légendaire loup argenté Fenrir. Son incroyable puissance en chocobos-vapeur lui permettent d'atteindre des vitesses im­pres­sion­nantes. Le sigle apposé viendrait d'un service de convoyage “Strife - Livraison Express”.,SLE！
72,"Vous appelez votre kongamato, élevé avec amour par Moucham.","Après son éclosion sur les bords d'une rivière, le kongamato passe le début de sa vie sur les eaux. Sa maturité est marquée par le début de sa transformation, durant laquelle ses ailes poussent et il apprend à s'élever dans les airs.",Vzuuun !
73,Vous appelez votre féroce zu. Ses lourdes ailes l'ont transporté ici depuis le Proche-Orient.,"Cet oiseau massif chasse en saisissant sa proie dans son bec semblable à une scie. Il l'achève ensuite en secouant violemment son long cou, avant de l'avaler goulûment.",Graoooh !
74,Vous appelez votre terrible bénou. Rares sont ceux qui ont eu la chance d'admirer cette créature de près.,"Cet oiseau est devenu plus puissant que jamais après avoir baigné dans l'éther qui ruisselait du corps de l'immortel Phénix, lors de la bataille de Carteneau. Son nom lui vient d'un ancien oiseau légendaire. Il signifie “celui qui s'élève et brille de mille feux”.", . . . . . 
75,"Vous appelez votre faucon des brumes, béni par le Primordial Bismarck.","Chevauchés par les fiers guerriers vanu vanu, ces oiseaux virevoltent au milieu des épais nuages de L'Écume des cieux, dans la suite de Bismarck. La grâce avec laquelle ils planent dans les airs évoque un pétale de fleur porté par les délicats vents du ponant.", . . . . . 
76,"Vous appelez votre faucon des lames, béni par le Primordial Ravana.","Ces faucons sont assez féroces pour inspirer la peur aux plus braves guerriers, et leurs serres tranchent la chair aussi facilement que les Chandrahas elles-mêmes. Quiconque voudrait monter un de ces oiseaux se doit d'avoir en lui la sauvagerie qui définit le Maître des lames.", . . . . . 
77,"Vous appelez votre faucon de la Table ronde, béni par le roi Thordan.","L'allure de ces faucons leur confère une dignité au moins égale à celle du noble roi qu'ils servent. Les anciens chevaliers ishgardais pratiquaient souvent la fauconnerie, et ces oiseaux ont depuis toujours été prisés pour leur ex­traor­di­nai­re habileté à la chasse.", . . . . . 
78,"Vous appelez votre faucon séphirotique, béni par la divinité Sephirot.","Ces faucons sont enveloppés d'une aura verdoyante qui révèle la nature sauvage de leur maître. D'après les légendes d'une ancienne tribu d'êtres végétaux de Méracydia, ce sont eux qui ont transporté les graines qui ont fait naître les forêts sur les continents.", . . . . . 
79,,,
80,"Vous appelez le Gloria, aéronef monoplace véritable bijou de technologie.","S'inspirant du récit hésitant d'un rêve de son grand-père Tatanora, Tataramu a mis en pratique son savoir encyclopédique pour concevoir un petit modèle d'aéronef à rotors multiples. Son nom lui vient d'un obscur roman oublié.",BRRZZZ...
81,"Vous appelez votre nuage magique. Son précédent pro­prié­taire était-il un petit garçon avec une queue, ou tout simplement un singe ?","Il n'est qu'un seul homme qui soit capable de créer un tel prodige, et on dit qu'il réside au sommet d'un pic couvert de brume dans la région extrême-orientale de Doma. Seuls ceux qui ont le cœur pur parviendront à monter sur ce nuage...",Fuuuiii !
82,Vous appelez votre monture gros chocobo original. Les autres ne seraient-ils que de pâles copies ?,"C'est le chocobo pionnier, celui-là même qui a inspiré des générations entières de volatiles en surpoids. Même si la plupart des chocobos modernes ont un plumage jaune, celui-ci est d'une blancheur immaculée, du moins quand il ne s'est pas taché en avalant goulûment son repas.",Kwouf... Kwouuuf...
83,Vous appelez votre monture Astérope. Ce cheval ailé géant peut être chevauché à deux.,"Ce spécimen de cheval ailé s'est développé au fil des temps au point de pouvoir supporter deux cavaliers. Malgré son caractère farouche, il accepte de prendre sur son dos ceux en qui il ressent une gentillesse désintéressée.",Hihiiiii !
84,"Vous appelez votre monture gros Mog. Si gros, qu'on peut le chevaucher à deux. Et non, ce ne sont pas ses petites ailes qui permettent à ce gourmand de voler... c'est la magie.","Ce Mog a un appétit insatiable digne... d'un gros chocobo. Théoriquement, il devrait être incapable de se déplacer dans les airs avec de si petites ailes, mais la magie mog semble capable de défier les lois de la gravité.",Kubbooo...
85,,,
86,Vous appelez votre monture mogrette. Ce végétal qui se laisse généralement flotter dans les airs a été rendu contrôlable grâce à la magie mog.,"Ce végétal qui flotte généralement dans L'Écume des cieux a semble-t-il des vertus apaisantes pour les Mogs célestes. Et alliant l'utile à l'agréable, ces derniers l'ont transformé en moyen de transport aérien grâce à leur magie.", . . . . . 
87,Vous appelez votre monture le Whisper. Ce petit aéronef monoplace ressemble à s'y méprendre à un Yo-kai.,"Ce petit aéronef, conçu pour ressembler au Yo-kai Whisper, serait digne de figurer comme attraction du Gold Saucer. Ses composants sont paraît-il d'excellente qualité, et bien que le siège semble étroit, il est en réalité très confortable.",Fwhiiisss !
88,,,
89,,,
90,"Vous appelez votre monture faucon des ombres. S'il est si sombre, c'est parce qu'il a reçu l'influence maléfique de Nidhogg.","L'influence du dragon maléfique qu'est Nidhogg ne s'arrête pas au conflit qui dure depuis un millénaire entre Dravania et Ishgard. La faune et la flore ont également été touchées, comme le prouve ce faucon dont l'apparence cause parfois la peur chez les humains.", . . . . . 
91,"Vous appelez votre monture sphère de lévitation. Malgré le temps, cette ancienne machine allagoise semble pouvoir supporter le poids d'une personne.","Cette machine de guerre allagoise a été découverte dans les Basses terres du Coerthas oriental, et bien que son armement soit hors d'état de marche, elle peut encore servir de moyen de transport.",Bip bip... Mise à niveau des systèmes recommandée...
92,Vous appelez votre monture tête ailée. Ce morceau de statue a été modifié par magie afin de pouvoir se mouvoir dans les airs.,Cette monture pour le moins étrange et terrifiante a été créée expérimentalement par le Padjal E-Una-Kotor alors qu'il s'intéressait à la statue que les gens d'Amdapor avaient chargée de protéger leur cité.,ADDEEMIAJ...
93,"Vous appelez votre monture managarm, un féroce canidé ancien vivant au fin fond des montagnes d'Abalathia.","D'après une croyance populaire des habitants des montagnes d'Abalathia, cette créature, qu'on avait longtemps pensé disparue, se nourrit de la lumière du soleil pour poursuivre la lune. Ceci est sûrement dû à la traînée de flammes qu'elle laisse derrière elle en courant dans le ciel.",Aouuuuh !
94,Vous appelez votre monture le Whisper II.  Cette version améliorée du petit aéronef monoplace est pourvue d'un deuxième Yo-kai.,"Cette version améliorée du petit aéronef inspiré par le majordome Yo-kai Whisper a été créée à la demande des ménestrel et patron errants, pour récompenser les aventuriers qui se sont liés d'amitié avec de nombreux Yo-kai et ont surmonté des épreuves en leur compagnie.",Miaouwhiiisss !
95,"Vous appelez votre monture Gôten, un destrier d'un autre monde revêtu d'une armure dorée.",Cet étrange destrier revêtu d'une armure dorée ne répond qu'à l'appel des guerriers les plus puissants. Seuls ceux qui ont montré leur valeur au bout d'un en­traî­ne­ment au seuil de la mort sont en mesure de le chevaucher., . . . . . 
96,"Vous appelez votre monture Ginga, un destrier d'un autre monde revêtu d'une armure argentée.",Cet étrange destrier revêtu d'une armure argentée ne répond qu'à l'appel des guerriers ne comptant plus leurs ennemis terrassés. Seuls ceux qui ont montré leur valeur au bout d'un en­traî­ne­ment au seuil de la mort sont en mesure de le chevaucher., . . . . . 
97,"Vous appelez votre monture panda mystique. Ce mystérieux animal, malgré son poids conséquent, serait capable de léviter.",Ce mystérieux panda aurait vécu plus de mille ans en ermite dans les montagnes du continent oriental d'Othard et acquit des pouvoirs surnaturels. Il chercherait le héros qui viendra sauver l'Orient de la poigne de fer de Garlemald.,Miiii ! Miiii !
98,"Vous appelez votre monture faucon sophique, béni par la divinité Sophia.","D'après la légende, lorsque le monde a sombré dans le chaos, la divinité Sophia a envoyé un oiseau divin afin de rapporter l'équilibre. On dit que les héros seraient les poids dont elle s'est servie pour ajuster la balance.", . . . . . 
99,"Vous appelez votre monture ours de la fête des étoiles, un animal très intelligent et dressé pour l'occasion.",Cet ours nommé Kochab a été dressé par Baenfaeld pour lancer des pétards et amuser les enfants. Il s'est même servi de ce talent pour attraper les tréants qui volaient les décorations de la fête des étoiles. ,Graaaor !
100,Vous appelez votre monture pégase des ténèbres. Cette espèce de couleur noire est ex­cep­tion­nelle parmi les pégases. Son pelage lui vaut son surnom de “La mort noire”.,"On les trouverait à Azys Lla, mais rares sont ceux à en avoir aperçu un. On raconte que seuls les puissants peuvent les chevaucher. Si un être ordinaire venait à le faire, son sang purulerait et il mourrait. On a donc donné à ce destrier le surnom “La mort noire”.", . . . . . 
101,Vous appelez votre monture messager d'Arrhabée. Le programme d'usine de cette main armée d'Alexander a été entièrement purgé et réécrit pour en faire un véhicule de transport.,Cette unité d'attaque spécialiste des interférences spatio-temporelles sort tout droit des chaînes de production automatisées du géant mécanique Alexander. Sa programmation a été entièrement revue et corrigée pour en faire un véhicule de transport.,Protocole de conduite responsable engagé !
102,"Vous appelez votre monture Raigo, un destrier Mado qui ne répond qu'au guerrier suprême.","Cet étrange destrier à l'armure noire, signe du lourd karma qu'il porte, ne répond qu'à l'appel du guerrier suprême. Devant sa puissance, même Gôten et Ginga font presque pâle figure et courbent l'échine.", . . . . . 
103,Vous appelez à vous l'armure magitek personnelle de Nero tol Scaeva.,"Sans cesse modifiée et améliorée par Nero lui-même, cette machine de guerre garlemaldaise ressemble à peine à l'armure magitek reçue par tol Scaeva le jour de sa promotion au rang de commandant.",Vuuuuiiiiii !
104,"Vous appelez votre monture faucon zurvanique, béni par la divinité Zurvan.","D'après les légendes centaures du continent austral de Méracydia, Zurvan enverrait cet oiseau funeste avant de partir en guerre contre le mal afin d'annoncer l'imminence de son jugement.", . . . . . 
105,"Vous appelez Hôô, une créature légendaire venue des contrées orientales.","Cet animal mythique, resplendit tel le soleil et consume son énergie vitale pour s'immoler par le feu, lui permettant ainsi de renaître de ses cendres. Seul un héros digne de lui serait en mesure de le chevaucher.", . . . . . 
106,"Vous appelez le Lévitœuf, qui comme son nom l'indique est un œuf capable de flotter dans les airs.",Ce drôle d'œuf est en réalité une machine volante conçue par Nonotta et ses amis afin de rejouer le rêve de Jihli Aliapoh. Il aurait été construit à partir de reliques ancestrales fournies par la Fondation de Saint-Coinach.,"Un petit œuf, deux petits œufs...♪"
107,,,
108,"Vous appelez un limier des enfers solitaire, une terrifiante créature du néant sans la moindre pitié ni compassion.","Ce redoutable molosse traîne d'ordinaire sa silhouette solitaire et menaçante le long des plaines hostiles du néant, où il ne doit sa survie qu'à son regard par­ti­cu­liè­rement perçant. Animal fier, il n'admet sur son dos que les âmes les plus farouches.",Grrraouaaar !
109,"Vous appelez un limier des enfers de meute, une terreur canine crainte de tous y compris des créatures du néant.","Originaire du néant, ce limier des enfers évolue d'ordinaire accompagné de la meute dont il est le chef. Survivant d'un monde impitoyable, sa seule présence suffit à instiller l'effroi chez ses ennemis. Ceux qui grimpent sur son dos ont en général autant soif de sang que lui.",Grrr...
110,"Vous appelez votre chaise des Preux. Un siège aussi léger qu'une feuille de papier, capable de léviter.","Cette étrange chaise volante fut découverte lors de fouilles conduites dans l'Arrière-pays dravanien à Sharlayan. On suppose qu'elle permettait aux visiteurs de la Grande bibliothèque de Gubal, parfois âgés, d'atteindre les ouvrages placés en haut des étagères sans effort.",Gniii... gniii... gniii...
111,"Vous appelez votre Syldra, un dragon de mer qui vit dans les profondeurs.","Il ne faut pas se fier aux apparences, ce monstre des mers est en fait très gentil. La légende veut que cette créature ressemble à une autre, qui s'était liée d'amitié avec une femme pirate et l'avait même aidée en tirant son bateau. À la différence des dragons, elle ne parle pas, mais elle deviendra peut-être une grande amie.",Grrraouaaar !
112,"Vous appelez votre mini aéronef Faucon, un véhicule monoplace conçu pour se déplacer plus vite.","Ce prototype est né dans les ateliers des Forges de Garlond. Wedge, un machiniste assez énergique, n'en pouvait plus des aéronefs lents, ce qui l'a poussé à concevoir ce petit modèle monoplace. Cet appareil est cependant bridé, car un autre prototype est allé si vite qu'il a fini par s'écraser.",Bzzzzz...
