#,Icon,Hint,HintItem,UnlockLink,FeatureID,Unknown0,IsPurchasable
276,131516,0,0,0,53,0,False
277,131518,640,14970,303,101,0,True
278,131520,0,0,0,103,0,False
279,131521,0,0,0,104,0,False
280,131519,0,0,0,102,0,False
281,131522,0,0,0,105,0,False
282,131523,0,0,0,106,0,False
283,131517,641,0,228,61,0,True
284,131524,0,0,0,107,0,False
285,131525,0,0,0,108,0,False
286,131527,0,0,0,111,0,False
287,131528,639,10084,243,112,0,True
288,131526,0,0,0,109,0,False
289,131529,0,0,0,114,0,False
290,131530,0,0,0,116,0,False
291,131531,0,0,0,117,0,False
292,131532,0,0,0,120,0,False
293,131533,0,0,0,121,0,False
294,131534,639,13704,287,125,0,True
295,131535,639,13705,286,129,0,True
296,131536,0,0,0,122,0,False
297,131537,0,0,0,126,0,False
298,131538,0,0,0,127,0,False
299,131539,0,0,0,131,0,False
300,131540,0,0,0,132,0,False
301,131541,0,0,0,124,0,False
302,131542,0,0,0,135,0,False
303,131543,0,0,0,136,0,False
304,131544,0,0,0,137,0,False
305,131545,639,15612,321,143,0,True
306,131546,0,0,0,123,0,False
307,131547,0,0,0,141,0,False
308,131548,0,0,0,142,0,False
309,131549,639,16703,302,145,0,True
310,131550,0,0,0,146,0,False
311,131551,0,0,0,148,0,False
312,131552,639,17471,337,147,0,True
313,131553,639,17472,338,150,0,True
314,131554,0,0,0,140,0,False
315,131555,0,0,0,149,0,False
316,131556,0,0,0,138,0,False
317,131557,0,0,0,151,0,False
318,131558,0,0,0,152,0,False
319,131559,0,0,0,153,0,False
320,131560,639,23369,267,154,0,True
321,131561,639,23370,268,155,0,True
322,131562,639,24232,399,113,0,True
323,131563,639,24233,397,156,0,True
324,131564,639,24234,398,157,0,True
325,131565,639,24801,230,158,0,True
326,131566,639,24802,231,160,0,True
327,131567,0,0,0,161,0,False
328,131568,639,27970,413,162,0,True
329,131569,639,28615,79,164,0,True
330,131570,639,30113,72,165,0,True
331,131571,639,31406,280,166,0,True
332,131572,639,31407,281,167,0,True
333,131573,639,32835,66,168,0,True
334,131574,639,32836,67,169,0,True
335,131575,639,33706,419,170,0,True
336,131576,639,33707,420,163,0,True
337,131577,639,33708,421,171,0,True
338,131578,639,38442,441,128,0,True
339,131579,639,38443,442,173,0,True
340,131580,639,39472,447,174,0,True
341,131581,639,39473,448,175,0,True
342,131582,639,40601,460,177,0,True
343,131583,639,41465,476,176,0,True
344,131584,0,0,0,178,0,False
345,131585,639,43606,483,179,0,True
346,131586,639,44506,485,180,0,True
347,131587,639,44507,486,181,0,True
348,131588,639,44866,487,182,0,True
349,131589,639,44867,488,183,0,True
350,131590,639,44865,489,184,0,True
351,131591,639,47986,538,185,0,True
352,131592,639,47987,539,186,0,True
353,131593,639,46798,550,187,0,True
354,131594,639,46797,552,188,0,True
355,131595,639,46796,551,189,0,True
356,131596,639,50324,573,190,0,True
357,131597,639,50325,574,191,0,True
358,131598,639,50326,575,192,0,True
359,131599,639,50327,576,193,0,True
360,0,0,0,0,0,0,False
361,0,0,0,0,0,0,False
362,0,0,0,0,0,0,False
363,0,0,0,0,0,0,False
364,0,0,0,0,0,0,False
365,0,0,0,0,0,0,False
366,0,0,0,0,0,0,False
367,0,0,0,0,0,0,False
368,0,0,0,0,0,0,False
369,0,0,0,0,0,0,False
370,0,0,0,0,0,0,False
371,0,0,0,0,0,0,False
372,0,0,0,0,0,0,False
373,0,0,0,0,0,0,False
374,0,0,0,0,0,0,False
375,0,0,0,0,0,0,False
376,0,0,0,0,0,0,False
377,0,0,0,0,0,0,False
378,0,0,0,0,0,0,False
379,0,0,0,0,0,0,False
380,0,0,0,0,0,0,False
381,0,0,0,0,0,0,False
382,0,0,0,0,0,0,False
383,0,0,0,0,0,0,False
384,0,0,0,0,0,0,False
385,0,0,0,0,0,0,False
386,0,0,0,0,0,0,False
387,0,0,0,0,0,0,False
388,0,0,0,0,0,0,False
389,0,0,0,0,0,0,False
390,0,0,0,0,0,0,False
391,131701,0,0,0,1,0,False
392,131702,0,0,0,2,0,False
393,131703,0,0,0,3,0,False
394,131704,0,0,0,4,0,False
395,131705,0,0,0,5,0,False
396,131706,0,0,0,6,0,False
397,131707,0,0,0,7,0,False
398,131708,0,0,0,8,0,False
399,131709,0,0,0,9,0,False
400,131710,0,0,0,10,0,False
401,131711,0,0,0,11,0,False
402,131712,0,0,0,12,0,False
403,131714,640,14970,303,101,0,True
404,131716,0,0,0,103,0,False
405,131717,0,0,0,104,0,False
406,131715,0,0,0,102,0,False
407,131718,0,0,0,105,0,False
408,131719,0,0,0,106,0,False
409,131713,641,0,228,61,0,True
410,131720,0,0,0,107,0,False
411,131721,0,0,0,108,0,False
412,131723,0,0,0,111,0,False
413,131724,639,10084,243,112,0,True
414,131722,0,0,0,110,0,False
415,131725,0,0,0,115,0,False
416,131726,0,0,0,118,0,False
417,131727,0,0,0,119,0,False
418,131728,0,0,0,120,0,False
419,131729,0,0,0,121,0,False
420,131730,639,13704,287,125,0,True
421,131731,639,13705,286,130,0,True
422,131732,639,13703,290,133,0,True
423,131733,0,0,0,122,0,False
424,131734,0,0,0,126,0,False
425,131735,0,0,0,127,0,False
426,131736,0,0,0,131,0,False
427,131737,0,0,0,132,0,False
428,131738,0,0,0,124,0,False
429,131739,0,0,0,135,0,False
430,131740,0,0,0,136,0,False
431,131741,0,0,0,137,0,False
432,131742,639,15613,322,144,0,True
433,131743,0,0,0,123,0,False
434,131744,0,0,0,141,0,False
435,131745,0,0,0,142,0,False
436,131746,639,16703,302,145,0,True
437,131747,0,0,0,146,0,False
438,131748,0,0,0,148,0,False
439,131749,639,17471,337,147,0,True
440,131750,639,17472,338,150,0,True
441,131751,0,0,0,140,0,False
442,131752,0,0,0,149,0,False
443,131753,0,0,0,138,0,False
444,131754,0,0,0,151,0,False
445,131755,0,0,0,152,0,False
446,131756,0,0,0,153,0,False
447,131757,639,23369,267,154,0,True
448,131758,639,23370,268,155,0,True
449,131759,639,24232,399,113,0,True
450,131760,639,24233,397,156,0,True
451,131761,639,24234,398,157,0,True
452,131762,639,24801,230,159,0,True
453,131763,639,24802,231,160,0,True
454,131764,0,0,0,161,0,False
455,131765,639,27970,413,162,0,True
456,131766,639,28615,79,164,0,True
457,131767,639,30113,72,165,0,True
458,131768,639,31406,280,166,0,True
459,131769,639,31407,281,167,0,True
460,131770,639,32835,66,168,0,True
461,131771,639,32836,67,169,0,True
462,131772,639,33706,419,170,0,True
463,131773,639,33707,420,163,0,True
464,131774,639,33708,421,171,0,True
465,131775,639,36812,435,172,0,True
466,131776,639,38442,441,128,0,True
467,131777,639,38443,442,173,0,True
468,131778,639,39472,447,174,0,True
469,131779,639,39473,448,175,0,True
470,131780,639,40601,460,177,0,True
471,131781,639,41465,476,176,0,True
472,131782,0,0,0,178,0,False
473,131783,639,43606,483,179,0,True
474,131784,639,44506,485,180,0,True
475,131785,639,44507,486,181,0,True
476,131786,639,44866,487,182,0,True
477,131787,639,44867,488,183,0,True
478,131788,639,44865,489,184,0,True
479,131789,639,47986,538,185,0,True
480,131790,639,47987,539,186,0,True
481,131791,639,46798,550,187,0,True
482,131792,639,46797,552,188,0,True
483,131793,639,46796,551,189,0,True
484,131794,639,50324,573,190,0,True
485,131795,639,50325,574,191,0,True
486,131796,639,50326,575,192,0,True
487,131797,639,50327,576,193,0,True
488,0,0,0,0,0,0,False
489,0,0,0,0,0,0,False
490,0,0,0,0,0,0,False
491,0,0,0,0,0,0,False
492,0,0,0,0,0,0,False
493,0,0,0,0,0,0,False
494,0,0,0,0,0,0,False
495,0,0,0,0,0,0,False
496,0,0,0,0,0,0,False
497,0,0,0,0,0,0,False
498,0,0,0,0,0,0,False
499,0,0,0,0,0,0,False
500,0,0,0,0,0,0,False
501,0,0,0,0,0,0,False
502,0,0,0,0,0,0,False
503,0,0,0,0,0,0,False
504,0,0,0,0,0,0,False
505,0,0,0,0,0,0,False
506,0,0,0,0,0,0,False
507,0,0,0,0,0,0,False
508,0,0,0,0,0,0,False
509,0,0,0,0,0,0,False
510,0,0,0,0,0,0,False
511,0,0,0,0,0,0,False
512,0,0,0,0,0,0,False
513,0,0,0,0,0,0,False
514,0,0,0,0,0,0,False
515,0,0,0,0,0,0,False
516,0,0,0,0,0,0,False
517,0,0,0,0,0,0,False
518,0,0,0,0,0,0,False
519,0,0,0,0,0,0,False
520,0,0,0,0,0,0,False
521,132001,0,0,0,1,0,False
522,132002,0,0,0,2,0,False
523,132003,0,0,0,3,0,False
524,132004,0,0,0,4,0,False
525,132005,0,0,0,5,0,False
526,132006,0,0,0,6,0,False
527,132007,0,0,0,7,0,False
528,132008,0,0,0,8,0,False
529,132009,0,0,0,9,0,False
530,132010,0,0,0,10,0,False
531,132011,0,0,0,11,0,False
532,132012,0,0,0,12,0,False
533,132014,640,14970,303,101,0,True
534,132016,0,0,0,103,0,False
535,132017,0,0,0,104,0,False
536,132018,0,0,0,105,0,False
537,132015,0,0,0,102,0,False
538,132013,641,0,228,61,0,True
539,132019,0,0,0,106,0,False
540,132020,0,0,0,107,0,False
541,132021,0,0,0,108,0,False
542,132023,0,0,0,111,0,False
543,132024,639,10084,243,112,0,True
544,132022,0,0,0,109,0,False
545,132025,0,0,0,114,0,False
546,132026,0,0,0,116,0,False
547,132027,0,0,0,117,0,False
548,132028,0,0,0,120,0,False
549,132029,0,0,0,121,0,False
550,132030,639,13704,287,125,0,True
551,132031,639,13705,286,129,0,True
552,132032,0,0,0,122,0,False
553,132033,0,0,0,126,0,False
554,132034,0,0,0,127,0,False
555,132035,0,0,0,131,0,False
556,132036,0,0,0,132,0,False
557,132037,0,0,0,124,0,False
558,132038,0,0,0,135,0,False
559,132039,0,0,0,136,0,False
560,132040,0,0,0,137,0,False
561,132041,639,15612,321,143,0,True
562,132042,0,0,0,123,0,False
563,132043,0,0,0,141,0,False
564,132044,0,0,0,142,0,False
565,132045,639,16703,302,145,0,True
566,132046,0,0,0,146,0,False
567,132047,0,0,0,148,0,False
568,132048,639,17471,337,147,0,True
569,132049,639,17472,338,150,0,True
570,132050,0,0,0,140,0,False
571,132051,0,0,0,149,0,False
572,132052,0,0,0,138,0,False
573,132053,0,0,0,151,0,False
574,132054,0,0,0,152,0,False
575,132055,0,0,0,153,0,False
576,132056,639,23369,267,154,0,True
577,132057,639,23370,268,155,0,True
578,132058,639,24232,399,113,0,True
579,132059,639,24233,397,156,0,True
580,132060,639,24234,398,157,0,True
581,132061,639,24801,230,158,0,True
582,132062,639,24802,231,160,0,True
583,132063,0,0,0,161,0,False
584,132064,639,27970,413,162,0,True
585,132065,639,28615,79,164,0,True
586,132066,639,30113,72,165,0,True
587,132067,639,31406,280,166,0,True
588,132068,639,31407,281,167,0,True
589,132069,639,32835,66,168,0,True
590,132070,639,32836,67,169,0,True
591,132071,639,33706,419,170,0,True
592,132072,639,33707,420,163,0,True
593,132073,639,33708,421,171,0,True
594,132074,639,38442,441,128,0,True
595,132075,639,38443,442,173,0,True
596,132076,639,39472,447,174,0,True
597,132077,639,39473,448,175,0,True
598,132078,639,40601,460,177,0,True
599,132079,639,41465,476,176,0,True
600,132080,0,0,0,178,0,False
601,132081,639,43606,483,179,0,True
602,132082,639,44506,485,180,0,True
603,132083,639,44507,486,181,0,True
604,132084,639,44866,487,182,0,True
605,132085,639,44867,488,183,0,True
606,132086,639,44865,489,184,0,True
607,132087,639,47986,538,185,0,True
608,132088,639,47987,539,186,0,True
609,132089,639,46798,550,187,0,True
610,132090,639,46797,552,188,0,True
611,132091,639,46796,551,189,0,True
612,132092,639,50324,573,190,0,True
613,132093,639,50325,574,191,0,True
614,132094,639,50326,575,192,0,True
615,132095,639,50327,576,193,0,True
616,0,0,0,0,0,0,False
617,0,0,0,0,0,0,False
618,0,0,0,0,0,0,False
619,0,0,0,0,0,0,False
620,0,0,0,0,0,0,False
621,0,0,0,0,0,0,False
622,0,0,0,0,0,0,False
623,0,0,0,0,0,0,False
624,0,0,0,0,0,0,False
625,0,0,0,0,0,0,False
626,0,0,0,0,0,0,False
627,0,0,0,0,0,0,False
628,0,0,0,0,0,0,False
629,0,0,0,0,0,0,False
630,0,0,0,0,0,0,False
631,0,0,0,0,0,0,False
632,0,0,0,0,0,0,False
633,0,0,0,0,0,0,False
634,0,0,0,0,0,0,False
635,0,0,0,0,0,0,False
636,0,0,0,0,0,0,False
637,0,0,0,0,0,0,False
638,0,0,0,0,0,0,False
639,0,0,0,0,0,0,False
640,0,0,0,0,0,0,False
641,0,0,0,0,0,0,False
642,0,0,0,0,0,0,False
643,0,0,0,0,0,0,False
644,0,0,0,0,0,0,False
645,0,0,0,0,0,0,False
646,0,0,0,0,0,0,False
647,0,0,0,0,0,0,False
648,0,0,0,0,0,0,False
649,0,0,0,0,0,0,False
650,0,0,0,0,0,0,False
651,132201,0,0,0,1,0,False
652,132202,0,0,0,2,0,False
653,132203,0,0,0,3,0,False
654,132204,0,0,0,4,0,False
655,132205,0,0,0,5,0,False
656,132206,0,0,0,6,0,False
657,132207,0,0,0,7,0,False
658,132208,0,0,0,8,0,False
659,132209,0,0,0,9,0,False
660,132210,0,0,0,10,0,False
661,132211,0,0,0,11,0,False
662,132212,0,0,0,12,0,False
663,132213,0,0,0,51,0,False
664,132214,0,0,0,52,0,False
665,132215,0,0,0,53,0,False
666,132216,0,0,0,54,0,False
667,132218,640,14970,303,101,0,True
668,132220,0,0,0,103,0,False
669,132221,0,0,0,104,0,False
670,132222,0,0,0,105,0,False
671,132219,0,0,0,102,0,False
672,132217,641,0,228,61,0,True
673,132223,0,0,0,106,0,False
674,132224,0,0,0,107,0,False
675,132225,0,0,0,108,0,False
676,132227,0,0,0,111,0,False
677,132228,639,10084,243,112,0,True
678,132226,0,0,0,110,0,False
679,132229,0,0,0,115,0,False
680,132230,0,0,0,118,0,False
681,132231,0,0,0,119,0,False
682,132232,0,0,0,120,0,False
683,132233,0,0,0,121,0,False
684,132234,639,13704,287,125,0,True
685,132235,639,13705,286,130,0,True
686,132236,639,13703,290,133,0,True
687,132237,0,0,0,122,0,False
688,132238,0,0,0,126,0,False
689,132239,0,0,0,127,0,False
690,132240,0,0,0,131,0,False
691,132241,0,0,0,132,0,False
692,132242,0,0,0,124,0,False
693,132243,0,0,0,135,0,False
694,132244,0,0,0,136,0,False
695,132245,0,0,0,137,0,False
696,132246,639,15613,322,144,0,True
697,132247,0,0,0,123,0,False
698,132248,0,0,0,141,0,False
699,132249,0,0,0,142,0,False
700,132250,639,16703,302,145,0,True
701,132251,0,0,0,146,0,False
702,132252,0,0,0,148,0,False
703,132253,639,17471,337,147,0,True
704,132254,639,17472,338,150,0,True
705,132255,0,0,0,140,0,False
706,132256,0,0,0,149,0,False
707,132257,0,0,0,138,0,False
708,132258,0,0,0,151,0,False
709,132259,0,0,0,152,0,False
710,132260,0,0,0,153,0,False
711,132261,639,23369,267,154,0,True
712,132262,639,23370,268,155,0,True
713,132263,639,24232,399,113,0,True
714,132264,639,24233,397,156,0,True
715,132265,639,24234,398,157,0,True
716,132266,639,24801,230,159,0,True
717,132267,639,24802,231,160,0,True
718,132268,0,0,0,161,0,False
719,132269,639,27970,413,162,0,True
720,132270,639,28615,79,164,0,True
721,132271,639,30113,72,165,0,True
722,132272,639,31406,280,166,0,True
723,132273,639,31407,281,167,0,True
724,132274,639,32835,66,168,0,True
725,132275,639,32836,67,169,0,True
726,132276,639,33706,419,170,0,True
727,132277,639,33707,420,163,0,True
728,132278,639,33708,421,171,0,True
729,132279,639,36812,435,172,0,True
730,132280,639,38442,441,128,0,True
731,132281,639,38443,442,173,0,True
732,132282,639,39472,447,174,0,True
733,132283,639,39473,448,175,0,True
734,132284,639,40601,460,177,0,True
735,132285,639,41465,476,176,0,True
736,132286,0,0,0,178,0,False
737,132287,639,43606,483,179,0,True
738,132288,639,44506,485,180,0,True
739,132289,639,44507,486,181,0,True
740,132290,639,44866,487,182,0,True
741,132291,639,44867,488,183,0,True
742,132292,639,44865,489,184,0,True
743,132293,639,47986,538,185,0,True
744,132294,639,47987,539,186,0,True
745,132295,639,46798,550,187,0,True
746,132296,639,46797,552,188,0,True
747,132297,639,46796,551,189,0,True
748,132298,639,50324,573,190,0,True
749,132299,639,50325,574,191,0,True
750,250500,639,50326,575,192,0,True
751,250501,639,50327,576,193,0,True
752,0,0,0,0,0,0,False
753,0,0,0,0,0,0,False
754,0,0,0,0,0,0,False
755,0,0,0,0,0,0,False
756,0,0,0,0,0,0,False
757,0,0,0,0,0,0,False
758,0,0,0,0,0,0,False
759,0,0,0,0,0,0,False
760,0,0,0,0,0,0,False
761,0,0,0,0,0,0,False
762,0,0,0,0,0,0,False
763,0,0,0,0,0,0,False
764,0,0,0,0,0,0,False
765,0,0,0,0,0,0,False
766,0,0,0,0,0,0,False
767,0,0,0,0,0,0,False
768,0,0,0,0,0,0,False
769,0,0,0,0,0,0,False
770,0,0,0,0,0,0,False
771,0,0,0,0,0,0,False
772,0,0,0,0,0,0,False
773,0,0,0,0,0,0,False
774,0,0,0,0,0,0,False
775,0,0,0,0,0,0,False
776,0,0,0,0,0,0,False
777,0,0,0,0,0,0,False
778,0,0,0,0,0,0,False
779,0,0,0,0,0,0,False
780,0,0,0,0,0,0,False
781,133001,0,0,0,1,0,False
782,133002,0,0,0,2,0,False
783,133003,0,0,0,3,0,False
784,133004,0,0,0,4,0,False
785,133005,0,0,0,5,0,False
786,133006,0,0,0,6,0,False
787,133007,0,0,0,7,0,False
788,133008,0,0,0,8,0,False
789,133009,0,0,0,9,0,False
790,133010,0,0,0,10,0,False
791,133011,0,0,0,11,0,False
792,133012,0,0,0,12,0,False
793,133013,0,0,0,13,0,False
794,133015,640,14970,303,101,0,True
795,133017,0,0,0,103,0,False
796,133018,0,0,0,104,0,False
797,133016,0,0,0,102,0,False
798,133019,0,0,0,105,0,False
799,133014,641,0,228,61,0,True
800,133020,0,0,0,106,0,False
801,133021,0,0,0,107,0,False
802,133022,0,0,0,108,0,False
803,133024,0,0,0,111,0,False
804,133025,639,10084,243,112,0,True
805,133023,0,0,0,109,0,False
806,133026,0,0,0,114,0,False
807,133027,0,0,0,116,0,False
808,133028,0,0,0,117,0,False
809,133029,0,0,0,120,0,False
810,133030,0,0,0,121,0,False
811,133031,639,13704,287,125,0,True
