#,Name,Description,Cost,Icon,FCRank,Order,Purchasable
45,La grande forme II,La durée de Sprint est augmentée de 50% dans les cités pendant 24 heures (temps réel).,5600,64245,8,33,True
46,Prix d'ami II,Le coût en gils des téléportations est réduit de 30% pendant 24 heures (temps réel).,7000,64237,8,34,True
47,Gros lot II,Le gain de PGS au Gold Saucer est augmenté de 10% pendant 24 heures (temps réel).,7000,64244,8,24,True
48,,,0,0,0,0,False
49,,,0,0,0,0,False
50,,,0,0,0,0,False
51,,,0,0,0,0,False
52,,,0,0,0,0,False
53,,,0,0,0,0,False
54,,,0,0,0,0,False
55,,,0,0,0,0,False
56,,,0,0,0,0,False
57,,,0,0,0,0,False
58,,,0,0,0,0,False
59,,,0,0,0,0,False
60,,,0,0,0,0,False
61,Feu du combat III,L'expérience obtenue au combat augmente de 15% pendant 24 heures (temps réel).,10500,64263,8,35,False
62,Terre et eau III,L'expérience obtenue en récoltant augmente de 20% pendant 24 heures (temps réel).,10500,64265,8,36,False
63,Être en bonnes mains III,L'expérience obtenue en synthétisant augmente de 20% pendant 24 heures (temps réel).,10500,64266,8,37,False
64,Meilleur ami de l'homme III,L'expérience obtenue par le compagnon augmente de 20% pendant 24 heures (temps réel).,10500,64264,8,38,False
65,Marque des vainqueurs III,Les marques de loup obtenues augmentent de 15% pendant 24 heures (temps réel).,10500,64267,8,39,False
66,Solde accrue III,Les sceaux de grande compagnie obtenus augmentent de 15% pendant 24 heures (temps réel).,10500,64268,8,40,False
67,,,0,0,0,0,False
68,Vivre de la terre III,La collecte des récolteurs augmente de 15 pendant 24 heures (temps réel).,10500,64252,8,43,False
69,Avoir le coup d'œil III,Le Savoir-faire des récolteurs augmente de 15 pendant 24 heures (temps réel).,10500,64253,8,44,False
70,La main qui nourrit III,L'habileté des artisans augmente de 15 pendant 24 heures (temps réel).,10500,64254,8,45,False
71,Passer maître III,Le contrôle des artisans augmente de 15 pendant 24 heures (temps réel).,10500,64255,8,46,False
72,Union parfaite III,La symbiose augmente plus facilement pendant 24 heures (temps réel).,10500,64259,8,47,False
73,À boire et à manger III,La durée de l'effet des repas est allongée de 15 minutes pendant 24 heures (temps réel).,10500,64258,8,48,False
74,Protections protégées III,La perte de condition des équipements est réduite de 30% pendant 24 heures (temps réel).,10500,64260,8,49,False
75,,,0,0,0,0,False
76,Prix d'ami III,Le coût en gils des téléportations est réduit de 40% pendant 24 heures (temps réel).,10500,64262,8,51,False
77,Gros lot III,Le gain de PGS au Gold Saucer est augmenté de 15% pendant 24 heures (temps réel).,10500,64269,8,41,False
78,,,0,0,0,0,False
79,,,0,0,0,0,False
80,,,0,0,0,0,False
81,,,0,0,0,0,False
82,,,0,0,0,0,False
83,,,0,0,0,0,False
84,,,0,0,0,0,False
85,,,0,0,0,0,False
86,,,0,0,0,0,False
87,,,0,0,0,0,False
88,,,0,0,0,0,False
89,,,0,0,0,0,False
90,,,0,0,0,0,False
91,,,0,0,0,0,False
92,,,0,0,0,0,False
93,,,0,0,0,0,False
94,,,0,0,0,0,False
95,,,0,0,0,0,False
96,,,0,0,0,0,False
97,,,0,0,0,0,False
98,,,0,0,0,0,False
99,,,0,0,0,0,False
100,,,0,0,0,0,False
