#,Quest,Unknown2,Image[0],Image[1],Image[2],Image[3],Image[4],Image[5],Image[6],Image[7],Image[8],Image[9],Image[10],Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7],Text[8],Text[9],Text[10],Unknown0,Unknown1
17.1,0,0,0,86117,0,0,0,0,0,0,0,0,0,280,281,0,0,0,0,0,0,0,0,0,0,0
17.2,0,0,0,86274,0,0,0,0,0,0,0,0,0,282,283,0,0,0,0,0,0,0,0,0,0,0
17.3,0,0,0,86275,0,0,0,0,0,0,0,0,0,1263,1264,0,0,0,0,0,0,0,0,0,0,0
17.4,0,0,0,86276,0,0,0,0,0,0,0,0,0,1265,1266,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,86277,0,0,0,0,0,0,0,0,0,1267,1268,0,0,0,0,0,0,0,0,0,0,0
17.6,0,0,0,86278,0,0,0,0,0,0,0,0,0,1269,1270,0,0,0,0,0,0,0,0,0,0,0
17.7,0,0,0,86279,0,0,0,0,0,0,0,0,0,1271,1272,0,0,0,0,0,0,0,0,0,0,0
18.0,0,0,0,86121,0,0,0,0,0,0,0,0,0,288,289,0,0,0,0,0,0,0,0,0,0,0
18.1,0,0,0,86122,0,0,0,0,0,0,0,0,0,290,291,0,0,0,0,0,0,0,0,0,0,0
18.2,0,0,0,86123,86124,0,0,0,0,0,0,0,0,292,293,294,0,0,0,0,0,0,0,0,0,0
19.0,0,0,0,86125,0,0,0,0,0,0,0,0,0,296,297,0,0,0,0,0,0,0,0,0,0,0
19.1,0,0,0,86126,0,0,0,0,0,0,0,0,0,298,299,0,0,0,0,0,0,0,0,0,0,0
19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.3,0,0,0,86128,0,0,0,0,0,0,0,0,0,302,303,0,0,0,0,0,0,0,0,0,0,0
20.0,0,0,0,86129,0,0,0,0,0,0,0,0,0,305,306,0,0,0,0,0,0,0,0,0,0,0
20.1,0,0,0,86130,0,0,0,0,0,0,0,0,0,307,308,0,0,0,0,0,0,0,0,0,0,0
20.2,0,0,0,86131,86132,86133,86134,86135,0,0,0,0,0,309,310,311,312,313,314,0,0,0,0,0,0,0
21.0,0,0,0,86137,0,0,0,0,0,0,0,0,0,318,319,320,0,0,0,0,0,0,0,0,0,0
21.1,0,0,0,86138,0,0,0,0,0,0,0,0,0,321,322,0,0,0,0,0,0,0,0,0,0,0
21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,323,324,0,0,0,0,0,0,0,0,0,0,0
21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,325,326,0,0,0,0,0,0,0,0,0,0,0
21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,327,328,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,329,330,0,0,0,0,0,0,0,0,0,0,0
21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,411,412,0,0,0,0,0,0,0,0,0,0,0
21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,413,414,0,0,0,0,0,0,0,0,0,0,0
21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,509,510,0,0,0,0,0,0,0,0,0,0,0
22.0,69466,0,0,0,0,0,0,0,0,0,0,0,0,332,333,0,0,0,0,0,0,0,0,0,1011,0
22.1,69467,0,0,0,0,0,0,0,0,0,0,0,0,334,335,0,0,0,0,0,0,0,0,0,1012,0
22.2,69468,0,0,0,0,0,0,0,0,0,0,0,0,336,337,0,0,0,0,0,0,0,0,0,1013,0
22.3,69469,0,0,0,0,0,0,0,0,0,0,0,0,338,339,0,0,0,0,0,0,0,0,0,1014,0
22.4,69470,0,0,0,0,0,0,0,0,0,0,0,0,340,341,0,0,0,0,0,0,0,0,0,1015,0
22.5,69471,0,0,0,0,0,0,0,0,0,0,0,0,342,343,0,0,0,0,0,0,0,0,0,1016,0
22.6,69472,0,0,0,0,0,0,0,0,0,0,0,0,344,345,0,0,0,0,0,0,0,0,0,1017,0
22.7,69473,0,0,0,0,0,0,0,0,0,0,0,0,346,347,0,0,0,0,0,0,0,0,0,1018,0
22.8,69474,0,0,0,0,0,0,0,0,0,0,0,0,348,349,0,0,0,0,0,0,0,0,0,1019,0
22.9,69475,0,0,0,0,0,0,0,0,0,0,0,0,350,351,0,0,0,0,0,0,0,0,0,1020,0
22.10,69476,0,0,0,0,0,0,0,0,0,0,0,0,352,353,0,0,0,0,0,0,0,0,0,1021,0
23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,361,0,0,0,0,0,0,0,0,0,0,0
23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,357,362,0,0,0,0,0,0,0,0,0,0,0
23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,358,363,0,0,0,0,0,0,0,0,0,0,0
24.0,0,0,0,180514,86139,0,0,0,0,0,0,0,0,359,364,365,366,0,0,0,0,0,0,0,0,0
24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,360,367,0,0,0,0,0,0,0,0,0,0,0
25.0,0,0,0,86140,0,0,0,0,0,0,0,0,0,381,393,394,0,0,0,0,0,0,0,0,0,0
26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,395,0,0,0,0,0,0,0,0,0,0,0
26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,383,396,0,0,0,0,0,0,0,0,0,0,0
27.0,0,0,0,86141,0,0,0,0,0,0,0,0,0,384,397,0,0,0,0,0,0,0,0,0,0,0
27.1,0,0,0,180515,0,0,0,0,0,0,0,0,0,385,398,399,0,0,0,0,0,0,0,0,0,0
27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,386,400,0,0,0,0,0,0,0,0,0,0,0
27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,503,504,0,0,0,0,0,0,0,0,0,0,0
27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,505,506,0,0,0,0,0,0,0,0,0,0,0
27.5,69487,1,0,0,0,0,0,0,0,0,0,0,0,507,508,0,0,0,0,0,0,0,0,0,0,1
27.6,69487,1,0,0,0,0,0,0,0,0,0,0,0,511,512,0,0,0,0,0,0,0,0,0,0,1
28.0,0,0,0,180516,0,0,0,0,0,0,0,0,0,387,401,402,0,0,0,0,0,0,0,0,0,0
29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,403,0,0,0,0,0,0,0,0,0,0,0
29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,389,404,0,0,0,0,0,0,0,0,0,0,0
29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,390,405,0,0,0,0,0,0,0,0,0,0,0
29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,391,406,0,0,0,0,0,0,0,0,0,0,0
29.4,0,0,0,180517,0,0,0,0,0,0,0,0,0,408,409,410,0,0,0,0,0,0,0,0,0,0
31.0,69487,0,0,0,0,0,0,0,0,0,0,0,0,392,407,0,0,0,0,0,0,0,0,0,0,0
32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,395,0,0,0,0,0,0,0,0,0,0,0
32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,383,396,0,0,0,0,0,0,0,0,0,0,0
33.0,0,0,0,180516,0,0,0,0,0,0,0,0,0,387,401,402,0,0,0,0,0,0,0,0,0,0
34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,403,0,0,0,0,0,0,0,0,0,0,0
34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,389,404,0,0,0,0,0,0,0,0,0,0,0
34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,390,405,0,0,0,0,0,0,0,0,0,0,0
34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,391,406,0,0,0,0,0,0,0,0,0,0,0
34.4,0,0,0,180517,0,0,0,0,0,0,0,0,0,408,409,410,0,0,0,0,0,0,0,0,0,0
35.0,0,0,0,86142,0,0,0,0,0,0,0,0,0,417,422,423,0,0,0,0,0,0,0,0,0,0
35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,418,424,0,0,0,0,0,0,0,0,0,0,0
35.2,0,0,0,180518,180519,0,0,0,0,0,0,0,0,419,425,426,427,0,0,0,0,0,0,0,0,0
36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,428,0,0,0,0,0,0,0,0,0,0,0
36.1,0,0,0,180520,0,0,0,0,0,0,0,0,0,421,429,430,0,0,0,0,0,0,0,0,0,0
37.0,69580,0,0,0,0,0,0,0,0,0,0,0,0,437,431,0,0,0,0,0,0,0,0,0,1022,0
37.1,69581,0,0,0,0,0,0,0,0,0,0,0,0,438,432,0,0,0,0,0,0,0,0,0,1023,0
37.2,69582,0,0,0,0,0,0,0,0,0,0,0,0,439,433,0,0,0,0,0,0,0,0,0,1024,0
37.3,69583,0,0,0,0,0,0,0,0,0,0,0,0,440,434,0,0,0,0,0,0,0,0,0,1025,0
37.4,69584,0,0,0,0,0,0,0,0,0,0,0,0,441,435,0,0,0,0,0,0,0,0,0,1026,0
37.5,69585,0,0,0,0,0,0,0,0,0,0,0,0,442,436,0,0,0,0,0,0,0,0,0,1027,0
38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,452,453,454,455,0,0,0,0,0,0,0,0
39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,456,0,0,0,0,0,0,0,0,0,0,0
39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,447,457,0,0,0,0,0,0,0,0,0,0,0
39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,448,458,0,0,0,0,0,0,0,0,0,0,0
39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,449,459,0,0,0,0,0,0,0,0,0,0,0
39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,451,461,0,0,0,0,0,0,0,0,0,0,0
39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,473,474,475,476,0,0,0,0,0,0,0,0
41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,477,0,0,0,0,0,0,0,0,0,0,0
41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,466,478,0,0,0,0,0,0,0,0,0,0,0
41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,467,479,0,0,0,0,0,0,0,0,0,0,0
41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,468,480,0,0,0,0,0,0,0,0,0,0,0
41.4,0,0,0,0,0,0,0,0,0,0,0,0,0,469,481,0,0,0,0,0,0,0,0,0,0,0
41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,471,483,0,0,0,0,0,0,0,0,0,0,0
41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,472,484,0,0,0,0,0,0,0,0,0,0,0
41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,500,0,0,0,0,0,0,0,0,0,0,0
42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,498,501,0,0,0,0,0,0,0,0,0,0,0
42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,499,502,0,0,0,0,0,0,0,0,0,0,0
43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,514,394,0,0,0,0,0,0,0,0,0,0
44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,395,0,0,0,0,0,0,0,0,0,0,0
44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,383,396,0,0,0,0,0,0,0,0,0,0,0
45.0,0,0,0,86141,0,0,0,0,0,0,0,0,0,384,397,0,0,0,0,0,0,0,0,0,0,0
45.1,0,0,0,180515,0,0,0,0,0,0,0,0,0,385,398,399,0,0,0,0,0,0,0,0,0,0
45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,386,400,0,0,0,0,0,0,0,0,0,0,0
45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,503,504,0,0,0,0,0,0,0,0,0,0,0
45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,505,506,0,0,0,0,0,0,0,0,0,0,0
45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,507,508,0,0,0,0,0,0,0,0,0,0,0
45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,511,512,0,0,0,0,0,0,0,0,0,0,0
46.0,0,0,0,180516,0,0,0,0,0,0,0,0,0,387,401,402,0,0,0,0,0,0,0,0,0,0
47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,403,0,0,0,0,0,0,0,0,0,0,0
47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,389,404,0,0,0,0,0,0,0,0,0,0,0
47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,390,405,0,0,0,0,0,0,0,0,0,0,0
47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,391,406,0,0,0,0,0,0,0,0,0,0,0
47.4,0,0,0,180517,0,0,0,0,0,0,0,0,0,408,409,410,0,0,0,0,0,0,0,0,0,0
48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,407,0,0,0,0,0,0,0,0,0,0,0
49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,395,0,0,0,0,0,0,0,0,0,0,0
49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,383,396,0,0,0,0,0,0,0,0,0,0,0
50.0,0,0,0,180516,0,0,0,0,0,0,0,0,0,387,401,402,0,0,0,0,0,0,0,0,0,0
51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,403,0,0,0,0,0,0,0,0,0,0,0
51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,389,404,0,0,0,0,0,0,0,0,0,0,0
51.2,0,0,0,0,0,0,0,0,0,0,0,0,0,390,405,0,0,0,0,0,0,0,0,0,0,0
51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,391,406,0,0,0,0,0,0,0,0,0,0,0
51.4,0,0,0,180517,0,0,0,0,0,0,0,0,0,408,409,410,0,0,0,0,0,0,0,0,0,0
52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,517,0,0,0,0,0,0,0,0,0,0,0
52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,520,521,0,0,0,0,0,0,0,0,0,0,0
52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,550,551,0,0,0,0,0,0,0,0,0,0,0
52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,518,519,0,0,0,0,0,0,0,0,0,0,0
53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,524,0,0,0,0,0,0,0,0,0,0,0
53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,525,526,0,0,0,0,0,0,0,0,0,0,0
53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,527,528,0,0,0,0,0,0,0,0,0,0,0
53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,529,530,0,0,0,0,0,0,0,0,0,0,0
53.4,0,0,0,0,0,0,0,0,0,0,0,0,0,531,532,0,0,0,0,0,0,0,0,0,0,0
53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,533,534,0,0,0,0,0,0,0,0,0,0,0
53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,535,536,0,0,0,0,0,0,0,0,0,0,0
53.7,0,0,0,0,0,0,0,0,0,0,0,0,0,765,766,0,0,0,0,0,0,0,0,0,0,0
53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,767,768,0,0,0,0,0,0,0,0,0,0,0
53.9,0,0,0,0,0,0,0,0,0,0,0,0,0,880,881,0,0,0,0,0,0,0,0,0,0,0
54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,541,0,0,0,0,0,0,0,0,0,0,0
55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,544,0,0,0,0,0,0,0,0,0,0,0
55.1,0,0,0,0,0,0,0,0,0,0,0,0,0,545,546,0,0,0,0,0,0,0,0,0,0,0
56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,549,0,0,0,0,0,0,0,0,0,0,0
56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,554,555,0,0,0,0,0,0,0,0,0,0,0
57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,558,0,0,0,0,0,0,0,0,0,0,0
57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,743,744,0,0,0,0,0,0,0,0,0,0,0
57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,561,0,0,0,0,0,0,0,0,0,0,0
59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,564,0,0,0,0,0,0,0,0,0,0,0
59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,565,566,0,0,0,0,0,0,0,0,0,0,0
60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,569,0,0,0,0,0,0,0,0,0,0,0
60.1,0,0,0,0,0,0,0,0,0,0,0,0,0,570,571,0,0,0,0,0,0,0,0,0,0,0
60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,745,746,0,0,0,0,0,0,0,0,0,0,0
60.3,0,0,0,0,0,0,0,0,0,0,0,0,0,747,748,0,0,0,0,0,0,0,0,0,0,0
60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,749,750,0,0,0,0,0,0,0,0,0,0,0
60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,751,752,0,0,0,0,0,0,0,0,0,0,0
