#,Name,Description,Icon,PlayerLevel,Unknown0,PlaceName,Order,Unknown1
27,Simulation : Deltastice v1.0 (sadique),"Donc, tu as fini par atterrir dans une sorte de monde virtuel appelé “Deltastice”, où de redoutables ennemis t'attendaient ? Je ne suis pas sûr de tout comprendre, mais merci d'avoir œuvré pour la paix en Gyr Abania. Au passage, j'ai encore amélioré mon mannequin précédent, toujours avec la coopération des Forges de Garlond. Ces types sont des génies !",112251,70,0,2628,204,False
28,Simulation : Deltastice v2.0 (sadique),"Donc, tu as fini par atterrir dans une sorte de monde virtuel appelé “Deltastice”, où de redoutables ennemis t'attendaient ? Je ne suis pas sûr de tout comprendre, mais merci d'avoir œuvré pour la paix en Gyr Abania. Au passage, j'ai encore amélioré mon mannequin précédent, toujours avec la coopération des Forges de Garlond. Ces types sont des génies !",112252,70,0,2628,205,False
29,Simulation : Deltastice v3.0 (sadique),"Donc, tu as fini par atterrir dans une sorte de monde virtuel appelé “Deltastice”, où de redoutables ennemis t'attendaient ? Je ne suis pas sûr de tout comprendre, mais merci d'avoir œuvré pour la paix en Gyr Abania. Au passage, j'ai encore amélioré mon mannequin précédent, toujours avec la coopération des Forges de Garlond. Ces types sont des génies !",112253,70,0,2628,206,False
30,Simulation : Deltastice v4.0 (sadique),"Donc, tu as fini par atterrir dans une sorte de monde virtuel appelé “Deltastice”, où de redoutables ennemis t'attendaient ? Je ne suis pas sûr de tout comprendre, mais merci d'avoir œuvré pour la paix en Gyr Abania. Au passage, j'ai encore amélioré mon mannequin précédent, toujours avec la coopération des Forges de Garlond. Ces types sont des génies !",112254,70,0,2628,207,False
31,Simulation : le domaine de Shinryu,"En écoutant le récit de votre combat titanesque contre Zenos et le Primordial Shinryu dans le ciel d'Ala Mhigo, le ménestrel errant a trouvé l'inspiration pour une nouvelle légende. Nous avons donc mis au point un mannequin qui est d'une solidité quasi mythologique ! À vous de vous y mesurer !",112260,70,0,2628,208,False
32,Simulation : Sigmastice,"Alors comme ça, tu es retournée au fond du Bâillement pour passer d'autres tests ? Tu seras contente de savoir que j'ai encore amélioré mon mannequin, cette fois avec l'aide de la dernière recrue des Forges de Garlond ! Je l'ai trouvé arrogant au début, mais j'ai vite compris qu'il savait par­fai­te­ment ce qu'il faisait... Résultat, te voilà avec un nouveau partenaire d'en­traî­ne­ment de tout premier ordre, alors fais-en bon usage !",112277,70,0,2628,209,False
33,Simulation : Sigmastice v1.0 (sadique),"J'ai ouï dire du côté des Forges de Garlond que tu étais sortie vainqueur de tous tes duels dans le Sigmastice... Mes félicitations ! Une fois de plus, grâce à toi, la paix est préservée en Gyr Abania. Mais pour combien de temps ? J'ai apporté quelques retouches à mon mannequin pour que tu puisses continuer à t'entraîner en attendant ton prochain défi, donc je compte sur toi pour ne pas te reposer sur tes lauriers !",112278,70,0,2628,210,False
34,Simulation : Sigmastice v2.0 (sadique),"J'ai ouï dire du côté des Forges de Garlond que tu étais sortie vainqueur de tous tes duels dans le Sigmastice... Mes félicitations ! Une fois de plus, grâce à toi, la paix est préservée en Gyr Abania. Mais pour combien de temps ? J'ai apporté quelques retouches à mon mannequin pour que tu puisses continuer à t'entraîner en attendant ton prochain défi, donc je compte sur toi pour ne pas te reposer sur tes lauriers !",112279,70,0,2628,211,False
35,Simulation : Sigmastice v3.0 (sadique),"J'ai ouï dire du côté des Forges de Garlond que tu étais sortie vainqueur de tous tes duels dans le Sigmastice... Mes félicitations ! Une fois de plus, grâce à toi, la paix est préservée en Gyr Abania. Mais pour combien de temps ? J'ai apporté quelques retouches à mon mannequin pour que tu puisses continuer à t'entraîner en attendant ton prochain défi, donc je compte sur toi pour ne pas te reposer sur tes lauriers !",112280,70,0,2628,212,False
36,Simulation : Sigmastice v4.0 (sadique),"J'ai ouï dire du côté des Forges de Garlond que tu étais sortie vainqueur de tous tes duels dans le Sigmastice... Mes félicitations ! Une fois de plus, grâce à toi, la paix est préservée en Gyr Abania. Mais pour combien de temps ? J'ai apporté quelques retouches à mon mannequin pour que tu puisses continuer à t'entraîner en attendant ton prochain défi, donc je compte sur toi pour ne pas te reposer sur tes lauriers !",112281,70,0,2628,213,False
37,Simulation : la Clairière de Jade (extrême),"La rumeur de vos exploits dans les contrées orientales sont parvenues jusqu'à nous. À la demande par­ti­cu­liè­re de madame Tataru des Héritiers de la Septième Aube, nous avons mis au point un mannequin tout spé­cia­le­ment pour la vainqueur de Byakko le Tigre blanc. N'hésitez pas à vous y mesurer !",112276,70,0,2628,214,False
38,Simulation : Castrum Fluminis (extrême),"Alors comme ça, tu as terrassé une nouvelle Primordiale à Doma ! On m'a parlé de cette Tsukuyomi, et je me suis mis à imaginer comment les choses auraient pu tourner si elle avait été plus puissante que ça. Ça m'a même empêché de dormir, alors j'en ai profité pour mettre au point un nouveau mannequin.",112293,70,0,2628,215,False
39,Simulation : le Nid des Lamentations (extrême),"Suite à une nouvelle demande de madame Tataru des Héritiers de la Septième Aube, nous avons mis au point un mannequin tout spé­cia­le­ment pour la vainqueur de Suzaku l'Oiseau vermillon. Il vous attend de pied ferme !",112330,70,0,2628,216,False
40,Simulation : Alphastice,"L'ingénieur récemment recruté par les Forges de Garlond m'a fait parvenir des plans pour améliorer mon mannequin. Il m'a expliqué qu'il y avait mis tout son savoir-faire pour te permettre de remporter la victoire... Si j'étais toi, j'en profiterais pour m'exercer et mettre toutes les chances de mon côté avant de retourner dans le Bâillement !",112325,70,0,2628,217,False
41,Simulation : Alphastice v1.0 (sadique),"J'ai appris via un communiqué des Forges de Garlond que tu avais sauvé non seulement Gyr Abania, mais aussi Hydaelyn en venant à bout d'Oméga ! C'est effrayant de se dire que le destin de la planète s'est joué sous vos yeux, sans que vous en ayez la moindre idée... Pour te remercier, j'ai décidé d'améliorer mon mannequin, bien sûr. Je me suis surpassé, donc tu m'en diras des nouvelles !",112326,70,0,2628,218,False
42,Simulation : Alphastice v2.0 (sadique),"J'ai appris via un communiqué des Forges de Garlond que tu avais sauvé non seulement Gyr Abania, mais aussi Hydaelyn en venant à bout d'Oméga ! C'est effrayant de se dire que le destin de la planète s'est joué sous vos yeux, sans que vous en ayez la moindre idée... Pour te remercier, j'ai décidé d'améliorer mon mannequin, bien sûr. Je me suis surpassé, donc tu m'en diras des nouvelles !",112327,70,0,2628,219,False
43,Simulation : Alphastice v3.0 (sadique),"J'ai appris via un communiqué des Forges de Garlond que tu avais sauvé non seulement Gyr Abania, mais aussi Hydaelyn en venant à bout d'Oméga ! C'est effrayant de se dire que le destin de la planète s'est joué sous vos yeux, sans que vous en ayez la moindre idée... Pour te remercier, j'ai décidé d'améliorer mon mannequin, bien sûr. Je me suis surpassé, donc tu m'en diras des nouvelles !",112328,70,0,2628,220,False
44,Simulation : Alphastice v4.0 (sadique),"J'ai appris via un communiqué des Forges de Garlond que tu avais sauvé non seulement Gyr Abania, mais aussi Hydaelyn en venant à bout d'Oméga ! C'est effrayant de se dire que le destin de la planète s'est joué sous vos yeux, sans que vous en ayez la moindre idée... Pour te remercier, j'ai décidé d'améliorer mon mannequin, bien sûr. Je me suis surpassé, donc tu m'en diras des nouvelles !",112329,70,0,2628,221,False
45,Simulation : l'Îlot des Amertumes (extrême),"Madame Tataru des Héritiers de la Septième Aube s'est encore une fois manifestée, suite à quoi nous avons mis au point un mannequin tout spé­cia­le­ment pour la vainqueur de Seiryû le Dragon azur. Nous espérons que vous en tirerez la plus grande des sa­tis­fac­tions !",112341,70,0,2628,222,False
46,Simulation : le Râle de l'Agonie,"Mes collègues et moi, on s'est dit qu'une personne assez forte pour ramener la nuit dans notre monde ravagé par la Lumière aurait besoin d'un mannequin plus résistant que la moyenne. Alors on s'est retroussé les manches et on en a fabriqué un sur mesure rien que pour toi, Guerrière des Ténèbres ! Essaie-le, je suis sûr qu'il te plaira !",112370,80,0,3101,300,False
47,Simulation : la Couronne de l'Immaculé (extrême),"Ah, Vauthry... Tout le monde savait que notre ancien gouverneur avait le pouvoir de contrôler les purgateurs, mais de là à imaginer qu'il en serait lui-même un... Tiens, on a con­fec­tion­né un mannequin qui devrait te rappeler peu ou prou les sensations que tu as ressenties en lui flanquant une rouste. Ne nous remercie pas !",112369,80,0,3101,301,False
48,Simulation : la Valse du Monarque (extrême),"Alors c'est vrai ? Titania, le monarque du peuple féerique, était devenu un grand purgateur ? C'est fou... Et c'est encore plus fou que tu aies réussi à vaincre un être aussi puissant. Cette histoire m'a inspiré un mannequin d'en­traî­ne­ment dont tu me diras des nouvelles !",112368,80,0,3101,302,False
49,Simulation : L'Éveil d'Éden,"Alors comme ça on s'aventure dans Le Grand Vide ? C'est une caravane de marchands mords qui m'a mis au parfum. Quand j'ai entendu ça, je me suis dit qu'un mannequin te serait sûrement utile, alors je me suis mis au boulot. J'espère que tu l'apprécieras !",112371,80,0,3101,303,False
50,Simulation : L'Éveil d'Éden - Résurrection (sadique),"Mes amis mords m'ont relayé une rumeur. Il paraîtrait que quelqu'un est parvenu à revitaliser les énergies de la terre et de l'eau dans Le Grand Vide !? T'en fais pas, j'irai pas le crier sur tous les toits. Par contre, j'en ai profité pour améliorer mes mannequins, et ça, tu peux le faire savoir !",112364,80,0,3101,304,False
51,Simulation : L'Éveil d'Éden - Descente (sadique),"Mes amis mords m'ont relayé une rumeur. Il paraîtrait que quelqu'un est parvenu à revitaliser les énergies de la terre et de l'eau dans Le Grand Vide !? T'en fais pas, j'irai pas le crier sur tous les toits. Par contre, j'en ai profité pour améliorer mes mannequins, et ça, tu peux le faire savoir !",112365,80,0,3101,305,False
52,Simulation : L'Éveil d'Éden - Déluge (sadique),"Mes amis mords m'ont relayé une rumeur. Il paraîtrait que quelqu'un est parvenu à revitaliser les énergies de la terre et de l'eau dans Le Grand Vide !? T'en fais pas, j'irai pas le crier sur tous les toits. Par contre, j'en ai profité pour améliorer mes mannequins, et ça, tu peux le faire savoir !",112366,80,0,3101,306,False
53,Simulation : L'Éveil d'Éden - Inhumation (sadique),"Mes amis mords m'ont relayé une rumeur. Il paraîtrait que quelqu'un est parvenu à revitaliser les énergies de la terre et de l'eau dans Le Grand Vide !? T'en fais pas, j'irai pas le crier sur tous les toits. Par contre, j'en ai profité pour améliorer mes mannequins, et ça, tu peux le faire savoir !",112367,80,0,3101,307,False
54,Simulation : le Râle de l'Agonie (extrême),"Tu penses avoir tout vu en matière de mannequins ? Détrompe-toi, en voici un qui devrait te donner du fil à retordre ! On l'a conçu pour que tu puisses revivre, de façon décuplée, les sensations de ton combat dans les profondeurs de La Tempête, celui-là même qui a bouleversé à jamais le destin de Norvrandt !",112377,80,0,3101,308,False
55,Simulation : les Nuées de Brandons (extrême),"C'est vraiment très étrange, mais depuis l'autre soir, vous êtes persuadée d'avoir combattu un géant rouge écarlate. Est-ce une mauvaise farce des Pixies ? Personne ne le sait... Quoi qu'il en soit, cette vision d'un combat aux proportions épiques s'est ancrée dans votre imagination et bénéficie grandement votre mannequin !",112398,80,0,3101,309,False
56,Simulation : Les Accords d'Éden,"Les marchands mords ont cafté ; paraît-il que tu multiplies les virées dans Le Grand Vide ces derniers temps... Si c'est le cas, il te faut un mannequin un peu plus costaud que les précédents pour t'entraîner. Tiens, essaye un peu celui-là pour voir !",112393,80,0,3101,310,False
57,Simulation : Les Accords d'Éden - Fulmination (sadique),"Les murs ont des oreilles, les Mords aussi ! La preuve, c'est grâce à eux que je sais que tes copains et toi avez réussi à revitaliser les six éléments. Une avancée pareille, ça se fête... en tapant sur des mannequins !",112394,80,0,3101,311,False
58,Simulation : Les Accords d'Éden - Fureur (sadique),"Les murs ont des oreilles, les Mords aussi ! La preuve, c'est grâce à eux que je sais que tes copains et toi avez réussi à revitaliser les six éléments. Une avancée pareille, ça se fête... en tapant sur des mannequins !",112395,80,0,3101,312,False
59,Simulation : Les Accords d'Éden - Iconoclasme (sadique),"Les murs ont des oreilles, les Mords aussi ! La preuve, c'est grâce à eux que je sais que tes copains et toi avez réussi à revitaliser les six éléments. Une avancée pareille, ça se fête... en tapant sur des mannequins !",112396,80,0,3101,313,False
60,Simulation : Les Accords d'Éden - Éclat (sadique),"Les murs ont des oreilles, les Mords aussi ! La preuve, c'est grâce à eux que je sais que tes copains et toi avez réussi à revitaliser les six éléments. Une avancée pareille, ça se fête... en tapant sur des mannequins !",112397,80,0,3101,314,False
61,Simulation : le Trône du Sacrifice (extrême),"Les miracles n'en finissent plus de pleuvoir en Norvrandt, ma parole. Enfin, celui-là on s'en serait bien passé. Ces guerriers lumineux ont fichu un joli foutoir. Je vous conseille de vous entraîner sur nos mannequins, au cas où ils repointeraient le bout de leur nez !",112405,80,0,3101,315,False
62,Simulation : Castrum Marinum (extrême),"Un rêve mystérieux s'est emparé de vous, où vous vous retrouviez face à face avec un géant couleur de jade. Qu'est-ce que tout cela peut donc signifier...? Quoi qu'il en soit, cette vision d'un combat aux proportions épiques s'est ancrée dans votre imagination et bénéficie grandement votre mannequin !",112427,80,0,3101,316,False
63,Simulation : La Promesse d'Éden,"D'après les marchands mords, tu entrerais dans la dernière ligne droite de tes expéditions dans Le Grand Vide... Y a pas grand-chose que je peux faire pour t'aider, à part améliorer mes mannequins pour te donner de quoi t'entraîner con­ve­na­ble­ment. Je compte sur toi et tes copains pour taper dessus comme si votre vie en dépendait !",112422,80,0,3101,317,False
64,Simulation : La Promesse d'Éden - Nuée (sadique),"Pas de marchands mords ce coup-ci, mais une petite rumeur qui court depuis peu... Tes petites escapades dans Le Grand Vide sont terminées ? Fé­li­ci­ta­tions pour cette belle réussite ! Mais comme tu le sais, on n'est jamais trop prudent. Eh oui, j'ai préparé de nouveaux mannequins pour que toi et tes amis perdiez pas la main. N'hésitez pas à vous défouler dessus !",112423,80,0,3101,318,False
65,Simulation : La Promesse d'Éden - Litanie (sadique),"Pas de marchands mords ce coup-ci, mais une petite rumeur qui court depuis peu... Tes petites escapades dans Le Grand Vide sont terminées ? Fé­li­ci­ta­tions pour cette belle réussite ! Mais comme tu le sais, on n'est jamais trop prudent. Eh oui, j'ai préparé de nouveaux mannequins pour que toi et tes amis perdiez pas la main. N'hésitez pas à vous défouler dessus !",112424,80,0,3101,319,False
66,Simulation : La Promesse d'Éden - Anamorphose (sadique),"Pas de marchands mords ce coup-ci, mais une petite rumeur qui court depuis peu... Tes petites escapades dans Le Grand Vide sont terminées ? Fé­li­ci­ta­tions pour cette belle réussite ! Mais comme tu le sais, on n'est jamais trop prudent. Eh oui, j'ai préparé de nouveaux mannequins pour que toi et tes amis perdiez pas la main. N'hésitez pas à vous défouler dessus !",112425,80,0,3101,320,False
67,Simulation : La Promesse d'Éden - Éternité (sadique),"Pas de marchands mords ce coup-ci, mais une petite rumeur qui court depuis peu... Tes petites escapades dans Le Grand Vide sont terminées ? Fé­li­ci­ta­tions pour cette belle réussite ! Mais comme tu le sais, on n'est jamais trop prudent. Eh oui, j'ai préparé de nouveaux mannequins pour que toi et tes amis perdiez pas la main. N'hésitez pas à vous défouler dessus !",112426,80,0,3101,321,False
68,Simulation : Le Tillac des Cirrus (extrême),"Un nouveau rêve étrange s'est emparé de vous, où vous vous retrouviez face à face avec un géant tout de blanc immaculé. Sa simple vue évoquait chez vous une tristesse inifinie, un pincement indicible dans votre cœur. Quoi qu'il en soit, cette vision d'un combat aux proportions épiques s'est ancrée dans votre imagination et bénéficie grandement votre mannequin !",112434,80,0,3101,322,False
69,Simulation : Le Répons final,"Vous avez repoussé l'apocalypse et sauvé chaque âme que notre planète abrite. Comment faire mieux que ça ? En vous entraînant, pardi ! Parce qu'il n'y a guère que vous pour surpasser un tel exploit !",112459,90,0,3900,400,False
70,Simulation : Le Cristal-mère (extrême),"Paraît-il que vous auriez relevé avec brio le défi de la Déesse de la Lumière, au cœur de la planète ? J'ignore quelles épreuves fantastiques vous attendent encore, mais ce qui est sûr, c'est qu'il faut continuer à vous entraîner. Votre nouveau mannequin amélioré est là pour ça !",112458,90,0,3900,401,False
71,Simulation : Le Cratère des Martyrs (extrême),"Le plus ancien et le plus puissant des Primordiaux a été ramené à la vie, alors qu'il n'était encore qu'incomplet. Mais il n'a jamais été aussi proche de la perfection, et c'est avec ce concept en tête que votre mannequin a été modifié. Bonne chance !",112457,90,0,3900,402,False
72,Simulation : Les Limbes du Pandæmonium,"Sur demande expresse du professeur Claudien, j'ai con­fec­tion­né un nouveau mannequin d'en­traî­ne­ment pour vous. Il devrait être parfait pour vous maintenir en forme pendant votre enquête dans le Pandæmonium, alors faites-en bon usage !",112460,90,0,3900,403,False
73,Simulation : Les Limbes - Parvis (sadique),"J'ai ouï dire que vous aviez affronté dans le Pandæmonium une sorte de demi-dieu appelé “hémithéos”. C'est difficile de se figurer un tel être pour le vulgus pecum... Je suis néanmoins parti du principe qu'il s'agissait d'un adversaire ex­trê­me­ment redoutable pour fabriquer, entre autres, un mannequin à l'avenant. J'espère qu'il vous plaira !",112461,90,0,3900,404,False
74,Simulation : Les Limbes - Cloaque (sadique),"J'ai ouï dire que vous aviez affronté dans le Pandæmonium une sorte de demi-dieu appelé “hémithéos”. C'est difficile de se figurer un tel être pour le vulgus pecum... Je suis néanmoins parti du principe qu'il s'agissait d'un adversaire ex­trê­me­ment redoutable pour fabriquer, entre autres, un mannequin à l'avenant. J'espère qu'il vous plaira !",112462,90,0,3900,405,False
75,Simulation : Les Limbes - Fournaise (sadique),"J'ai ouï dire que vous aviez affronté dans le Pandæmonium une sorte de demi-dieu appelé “hémithéos”. C'est difficile de se figurer un tel être pour le vulgus pecum... Je suis néanmoins parti du principe qu'il s'agissait d'un adversaire ex­trê­me­ment redoutable pour fabriquer, entre autres, un mannequin à l'avenant. J'espère qu'il vous plaira !",112463,90,0,3900,406,False
76,Simulation : Les Limbes - Abîme (sadique),"J'ai ouï dire que vous aviez affronté dans le Pandæmonium une sorte de demi-dieu appelé “hémithéos”. C'est difficile de se figurer un tel être pour le vulgus pecum... Je suis néanmoins parti du principe qu'il s'agissait d'un adversaire ex­trê­me­ment redoutable pour fabriquer, entre autres, un mannequin à l'avenant. J'espère qu'il vous plaira !",112464,90,0,3900,407,False
77,Simulation : niveau 60,Le ménestrel errant nous a demandé de bidouiller un mannequin spécial avec lequel les aventuriers pourraient s'entraîner comme à leurs débuts. Il faudra donner tout ce que vous avez sans avoir recours à vos techniques d'experte !,112477,60,160,2089,99,True
78,Simulation : niveau 70,"La libératrice en personne ! Figure-toi qu'un étrange ménestrel errant m'a commandé un mannequin spécial. Contre lui, impossible d'utiliser des techniques qui dépassent une certaine compétence, comme si on redevenait un bleu ! J'ai hâte que tu me dises ce que tu en penses !",112478,70,300,2628,199,True
