#,Text,String,Genre,LegacyQuestID,SortKey
72,Unis contre les Sahuagins,,344,499,72
73,Le Maître des viviers,,344,500,73
74,Opération exceptionnelle,,344,501,74
75,L'épreuve du feu,,343,626,75
76,Marchandises égarées à la douane,,343,632,76
77,Un pont à réparer,,343,633,77
78,La revanche des Barracudas,,343,635,78
79,Tout pour mon ragoût,,343,637,79
80,Un pirate bien distrait,,343,638,80
81,L'amour d'une mère,,343,639,81
82,Bon pour le moral,,343,640,82
83,La plage aux coquillages,,343,641,83
84,Mauvaise pêche,,343,642,84
85,Un peu plus près des étoiles,,343,643,85
86,Un sombre passé,,343,645,86
87,Une mission taillée sur mesure,,343,647,87
88,Les petits secrets des pirates,,343,652,88
89,Mets de l'huile,,343,653,89
90,Rallumer les feux,,343,654,90
91,Les légumes de Sandre,,343,655,91
92,Petit farceur,,343,657,92
93,Légendaire sicksa,,343,658,93
94,Tel est pris qui croyait prendre,,343,659,94
95,Les tourments d'un fils,,343,661,95
96,Le carnet de Lonsygg,,343,662,96
97,Dites-le avec des fleurs,,343,663,97
98,En l'honneur de nos proches,,343,664,98
99,Pierre muette,,343,665,99
100,Ceux qui menacent la forêt,,343,666,100
101,Les fèves du succès,,343,667,101
102,Perdre le fil,,343,668,102
103,Les Oracles,,343,673,103
104,Toc toc toc,,343,674,104
105,Insomnies,,343,675,105
106,Le retour du mort-vivant,,343,676,106
107,Le client est roi,,343,678,107
108,Les Mille Feuilles,,343,679,108
109,La tache,,343,680,109
110,Le kidnapping,,343,681,110
111,Le bon geôlier,,343,682,111
112,Y a des jours comme ça,,343,683,112
113,Chocobos en danger,,343,684,113
114,Le prix de la liberté,,343,685,114
115,Pousser comme du minerai,,343,686,115
116,Concurrence déloyale,,343,689,116
117,Promesse d'immortalité,,343,694,117
118,Brebis égarées,,343,705,118
119,Le prix de la vie,,343,706,119
120,Rituels sanglants,,343,707,120
121,"Donnant, donnant",,343,725,121
122,Paris sanglants,,343,726,122
123,Le marché noir,,343,727,123
124,Les grandes gueules,,343,733,124
125,La frairie,,343,734,125
126,Crime désorganisé,,343,735,126
127,A la poursuite du trésor vivant,,343,736,127
128,L'Empire s'affiche,,343,743,128
129,Le cœur en joue,,343,744,129
130,L'écume des trésors,,343,745,130
131,Le Preux Ahldbhar,,343,752,131
132,Recherches sanglantes,,343,753,132
133,La vérité est au fond du puits,,343,754,133
134,Recherches tranchantes,,343,755,134
135,Quand les spriggans montrent les dents,,343,761,135
136,La parole de la Gardienne,,343,762,136
137,De l'huile sur les plaies,,343,763,137
138,"Les spores, c'est la santé",,343,764,138
139,Un Gobelin bien curieux,,343,770,139
140,La cargaison de l'Orion,,343,771,140
141,Plus de raisin à Port-aux-Vins,,343,772,141
142,Flairer le filon,,343,773,142
143,Les Prœufs d'Ul'dah,,343,788,143
144,Prœufs en péril à Ul'dah,,343,789,144
145,Les Prœufs de Gridania,,343,793,145
146,Prœufs en péril à Gridania,,343,794,146
147,Dans le feu de l'action,,343,798,147
148,Des imps impertinents,,343,799,148
149,La fête des étoiles,,343,800,149
150,La fête de la transition,,343,801,150
151,Les Prœufs de Limsa Lominsa,,343,803,151
152,Prœufs en péril à Limsa Lominsa,,343,804,152
153,Tâches de guilde,,343,808,153
154,Le secret de la grotte maudite,,343,809,154
155,Un commerce risqué,,343,810,155
156,Forger l'âme,,343,811,156
157,Unir l'âme,,343,812,157
158,Eveiller l'âme,,343,813,158
159,Le retour du roi,,343,815,159
160,Missions de ravitaillement,,343,816,160
161,Le mausolée des sables,,343,817,161
162,Tout ce qui brille n'est pas or,,343,818,162
163,Exploration des Mille Gueules,,343,820,163
164,Reprise de la Forteresse,,343,821,164
165,Le sulfureux Val d'Aurum,,343,822,165
166,Le dédale de sable du Gouffre,,343,823,166
167,Le Perchoir,,343,827,167
168,Des indices,,343,828,168
169,Auberge de L'Artimon,,343,837,169
170,Une affaire résolue,,343,838,170
171,Les mystères de Dalamud,,343,839,171
172,Le héros de la prophétie,,343,840,172
173,Auberge du Sablier,,343,847,173
174,Un suspect,,343,848,174
175,Evénement saisonnier,,343,857,175
176,"Qui vole un Prœuf, vole un Preux",,343,858,176
177,Les Feux de la Mort,,343,859,177
178,Evénements saisonniers (trois Cités),,343,860,178
179,Approvisionnement des hameaux,,343,861,179
180,Le séminaire du professeur Erik,,343,862,180
181,L'épreuve du vent,,343,866,181
182,Restauration des armes antiques,,343,867,182
183,Le pèlerinage,,343,868,183
184,La fin du rapace,,343,869,184
185,L'art de la guerre,,345,1200,254
186,Au bout de l'extrême limite,,345,1201,255
187,A la guerre comme à la guerre,,345,1202,256
188,La grande vadrouille,,345,1203,257
189,Le bras de fer,,345,1204,258
190,Le Maître de guerre,,345,1205,259
191,Le moine errant,,345,1220,260
192,Les contes des combats passés,,345,1221,261
193,La quête de pouvoir,,345,1222,262
194,Le septième chakra,,345,1223,263
195,Prendre l'habit,,345,1224,264
196,Le véritable courage,,345,1225,265
197,De ce qui jaillit du fond des abîmes,,345,1240,266
198,Des réminiscences de lumière,,345,1241,267
199,Des lendemains à venir,,345,1242,268
200,D'un espoir éphémère,,345,1243,269
201,Du fond de la colère,,345,1244,270
202,De la chaleur qui comble l'immaculé,,345,1245,271
203,La voix des Marchands,,345,1260,272
204,L'appel du sang,,345,1261,273
205,Des amis étrangers,,345,1262,274
206,La corruption du néant,,345,1263,275
207,Les habits du pouvoir,,345,1264,276
208,La voie de la magie noire,,345,1265,277
209,Le serment du paladin,,345,1280,278
210,Un rêve d'enfant,,345,1281,279
211,"Déception, colère et détermination",,345,1282,280
212,Un poison nommé Solkzagyl,,345,1283,281
213,Des négociations à haut risque,,345,1284,282
214,A chacun son chemin,,345,1285,283
215,Quand les cordes résonnent à l'unisson,,345,1300,284
216,Les partisans du chant,,345,1301,285
217,Les desseins du Contemplateur,,345,1302,286
218,Celui qui pécha par orgueil,,345,1303,287
219,En quête d'absolution,,345,1304,288
220,L'hymne à la vie,,345,1305,289
221,L'éveil du dragon,,345,1320,290
222,La lance du destin,,345,1321,291
223,Les griffes de la nuit,,345,1322,292
224,Des donjons et des dragons,,345,1323,293
225,Confessions intimes,,345,1324,294
226,La fureur du dragon,,345,1325,295
227,Le secret des Preux,,346,1400,185
228,Enrôlement provisoire au Maelstrom,,346,1401,186
229,Les sceaux du Maelstrom,,346,1402,187
230,Les desseins de l'Empire,,346,1403,188
231,Un vent nouveau en poupe,,346,1404,189
232,Ecueils à l'horizon,,346,1405,190
233,Allégeance au Maelstrom,,346,1406,191
234,Les Mille Gueules de Toto-Rak (Limsa Lominsa),,346,1409,192
235,La Forteresse de Dzemael (Limsa Lominsa),,346,1410,193
236,Combattre le feu par le feu (Limsa Lominsa),,346,1415,194
237,Bulles troubles,,346,1416,195
238,"Les bons, les brutes et les Kobolds",,346,1417,196
239,"Qui s'y frotte, s'y pique",,346,1418,197
240,Forages au centre de la Terre,,346,1419,198
241,"Aux bons ouvriers, les bons outils",,346,1425,199
242,La pierre et le Loup,,346,1426,200
243,Des infiltrations chez les Kobolds,,346,1427,201
244,Deus ex Machina,,346,1428,202
245,Qui sème le vent récolte la tempête (Limsa Lominsa),,346,1429,203
246,L'union fait la force (Limsa Lominsa),,346,1430,204
247,Les sentiers de la victoire (Limsa Lominsa),,346,1431,205
248,Joute sous la lune (Limsa Lominsa),,346,1432,206
249,Le buffle se rebiffe,,346,1433,207
250,Les marques du Preux,,346,1600,208
251,Enrôlement provisoire dans l'ordre des Deux Vipères,,346,1601,209
252,Les sceaux de l'ordre des Deux Vipères,,346,1602,210
253,Une lettre cher payée,,346,1603,211
254,Vers une nouvelle harmonie,,346,1604,212
255,Blessures de l'âme,,346,1605,213
256,Allégeance à l'ordre des Deux Vipères,,346,1606,214
257,Les Mille Gueules de Toto-Rak (Gridania),,346,1609,215
258,La Forteresse de Dzemael (Gridania),,346,1610,216
259,Combattre le feu par le feu (Gridania),,346,1615,217
260,Le cycle de la vie,,346,1616,218
261,Trouver sa voie,,346,1617,219
262,L'éthique de la botanique,,346,1618,220
263,La conquête du ciel,,346,1619,221
264,Embûches pour les bûcherons,,346,1625,222
265,L'oiseau de mauvais augure,,346,1626,223
266,Raid sur le site de déboisement des Ixali,,346,1627,224
267,Le feu au lac,,346,1628,225
268,Qui sème le vent récolte la tempête (Gridania),,346,1629,226
269,L'union fait la force (Gridania),,346,1630,227
270,Les sentiers de la victoire (Gridania),,346,1631,228
271,Joute sous la lune (Gridania),,346,1632,229
272,Les yeux plus gros que le ventru,,346,1633,230
273,La réponse du Preux,,346,1800,231
274,Enrôlement provisoire chez les Immortels,,346,1801,232
275,Les sceaux des Immortels,,346,1802,233
276,Course à l'armement,,346,1803,234
277,Pour la prospérité,,346,1804,235
278,Le traître,,346,1805,236
279,Allégeance aux Immortels,,346,1806,237
280,Les Mille Gueules de Toto-Rak (Ul'dah),,346,1809,238
281,La Forteresse de Dzemael (Ul'dah),,346,1810,239
282,Combattre le feu par le feu (Ul'dah),,346,1815,240
283,Faire les gros yeux,,346,1816,241
284,Brandon de discorde,,346,1817,242
285,De fil en épée,,346,1818,243
286,Mort-aux-draconides,,346,1819,244
287,Dette or Alive,,346,1825,245
288,"Tel père, tel fils",,346,1826,246
289,Descente à l'autel amalj'aa,,346,1827,247
290,Confidence pour confidence,,346,1828,248
291,Qui sème le vent récolte la tempête (Ul'dah),,346,1829,249
292,L'union fait la force (Ul'dah),,346,1830,250
293,Les sentiers de la victoire (Ul'dah),,346,1831,251
294,Joute sous la lune (Ul'dah),,346,1832,252
295,Avancer à coup de bélier,,346,1833,253
