#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17
156,4540,4521,0,0,0,0,1,1,4,5,8,9,4,2,8,1,16,8
157,4538,4534,0,0,0,0,1,1,3,6,7,8,4,3,2,2,16,16
158,4540,4534,0,0,0,0,1,1,2,5,8,9,4,3,1,1,16,8
159,4535,4528,0,0,0,0,1,1,4,6,9,7,3,2,8,2,8,16
160,4535,4529,0,0,0,0,1,1,3,5,7,8,3,3,2,1,16,16
161,4535,4527,0,0,0,0,1,1,4,6,8,9,3,2,8,2,16,8
162,4540,4526,0,0,0,0,1,1,4,5,9,7,4,2,8,1,8,16
163,4540,4521,0,0,0,0,1,1,3,6,7,8,4,2,2,2,16,16
164,4540,4533,0,0,0,0,1,1,2,5,8,9,4,3,1,1,16,8
165,4541,4526,0,0,0,0,1,1,4,6,7,8,4,2,8,2,16,16
166,4540,4529,0,0,0,0,1,1,3,5,8,9,4,3,2,1,16,8
167,4541,4532,0,0,0,0,1,1,2,6,9,7,4,3,1,2,8,16
168,4538,4533,0,0,0,0,1,1,4,5,7,8,4,3,8,1,16,16
169,4530,4521,0,0,0,0,1,1,3,6,8,9,3,2,2,2,16,8
170,4530,4525,0,0,0,0,1,1,2,5,9,7,3,2,1,1,8,16
171,4540,4524,0,0,0,0,1,1,4,6,7,8,4,2,8,2,16,16
172,4541,4527,0,0,0,0,1,1,3,5,8,9,4,2,2,1,16,8
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4533,4524,0,0,0,0,1,1,2,6,7,8,3,2,1,2,16,16
201,4529,4518,0,0,0,0,1,1,4,5,8,9,3,1,8,1,16,8
202,4527,4525,0,0,0,0,1,1,3,6,9,7,2,2,2,2,8,16
203,4533,4521,0,0,0,0,1,1,4,5,7,8,3,2,8,1,16,16
204,4529,4517,0,0,0,0,1,1,4,6,8,9,3,1,8,2,16,8
205,4527,4523,0,0,0,0,1,1,3,5,9,7,2,2,2,1,8,16
206,4533,4525,0,0,0,0,1,1,2,6,7,8,3,2,1,2,16,16
207,4529,4524,0,0,0,0,1,1,4,5,8,9,3,2,8,1,16,8
208,4523,4524,0,0,0,0,1,1,3,6,7,8,2,2,2,2,16,16
209,4531,4518,0,0,0,0,1,1,2,5,8,9,3,1,1,1,16,8
210,4531,4517,0,0,0,0,1,1,4,6,9,7,3,1,8,2,8,16
211,4523,4522,0,0,0,0,1,1,3,5,7,8,2,2,2,1,16,16
212,4535,4519,0,0,0,0,1,1,4,6,8,9,3,1,8,2,16,8
213,4535,4527,0,0,0,0,1,1,4,5,9,7,3,2,8,1,8,16
214,4521,4534,0,0,0,0,1,1,3,6,7,8,2,3,2,2,16,16
215,4523,4527,0,0,0,0,1,1,2,5,8,9,2,2,1,1,16,8
216,4528,4525,0,0,0,0,1,1,4,6,7,8,3,2,8,2,16,16
217,4528,4524,0,0,0,0,1,1,3,5,8,9,3,2,2,1,16,8
218,4535,4527,0,0,0,0,1,1,2,6,9,7,3,2,1,2,8,16
219,4526,4519,0,0,0,0,1,1,4,5,7,8,2,1,8,1,16,16
220,4535,4518,0,0,0,0,1,1,3,6,8,9,3,1,2,2,16,8
221,4535,4524,0,0,0,0,1,1,2,5,9,7,3,2,1,1,8,16
222,4521,4522,0,0,0,0,1,1,4,6,7,8,2,2,8,2,16,16
223,4521,4524,0,0,0,0,1,1,3,5,8,9,2,2,2,1,16,8
224,4528,4527,0,0,0,0,1,1,4,6,7,8,3,2,8,2,16,16
225,4528,4523,0,0,0,0,1,1,4,5,8,9,3,2,8,1,16,8
226,4528,4534,0,0,0,0,1,1,3,6,9,7,3,3,2,2,8,16
227,4535,4519,0,0,0,0,1,1,2,5,7,8,3,1,1,1,16,16
228,4526,4517,0,0,0,0,1,1,4,6,8,9,2,1,8,2,16,8
229,4535,4525,0,0,0,0,1,1,3,5,9,7,3,2,2,1,8,16
230,4521,4517,0,0,0,0,1,1,2,6,7,8,2,1,1,2,16,16
231,4535,4522,0,0,0,0,1,1,4,5,8,9,3,2,8,1,16,8
232,4528,4522,0,0,0,0,1,1,3,6,7,8,3,2,2,2,16,16
233,4528,4519,0,0,0,0,1,1,2,5,8,9,3,1,1,1,16,8
234,4530,4532,0,0,0,0,1,1,4,6,9,7,3,3,8,2,8,16
235,4530,4522,0,0,0,0,1,1,3,5,7,8,3,2,2,1,16,16
236,4530,4518,0,0,0,0,1,1,2,6,8,9,3,1,1,2,16,8
237,4526,4524,0,0,0,0,1,1,4,5,9,7,2,2,8,1,8,16
238,4528,4519,0,0,0,0,1,1,3,6,7,8,3,1,2,2,16,16
239,4526,4523,0,0,0,0,1,1,4,5,8,9,2,2,8,1,16,8
240,4528,4517,0,0,0,0,1,1,4,6,7,8,3,1,8,2,16,16
241,4528,4518,0,0,0,0,1,1,3,5,8,9,3,1,2,1,16,8
242,4530,4525,0,0,0,0,1,1,2,6,9,7,3,2,1,2,8,16
243,4530,4527,0,0,0,0,1,1,4,5,7,8,3,2,8,1,16,16
244,4530,4517,0,0,0,0,1,1,3,6,8,9,3,1,2,2,16,8
245,4528,4523,0,0,0,0,1,1,2,5,9,7,3,2,1,1,8,16
246,4528,4532,0,0,0,0,1,1,4,6,7,8,3,3,8,2,16,16
247,4521,4518,0,0,0,0,1,1,3,5,8,9,2,1,2,1,16,8
248,4531,4534,0,0,0,0,1,1,2,6,7,8,3,3,1,2,16,16
249,4531,4523,0,0,0,0,1,1,4,5,8,9,3,2,8,1,16,8
250,4532,4523,0,0,0,0,1,1,3,6,9,7,3,2,2,2,8,16
251,4532,4522,0,0,0,0,1,1,4,5,7,8,3,2,8,1,16,16
252,4532,4525,0,0,0,0,1,1,4,6,8,9,3,2,8,2,16,8
253,4531,4518,0,0,0,0,1,1,3,5,9,7,3,1,2,1,8,16
254,4521,4517,0,0,0,0,1,1,2,6,7,8,2,1,1,2,16,16
255,4521,4524,0,0,0,0,1,1,4,5,8,9,2,2,8,1,16,8
256,4535,4525,0,0,0,0,1,1,3,6,7,8,3,2,2,2,16,16
257,4535,4524,0,0,0,0,1,1,4,5,8,9,3,2,8,1,16,8
258,4535,4517,0,0,0,0,1,1,4,6,9,7,3,1,8,2,8,16
259,4526,4527,0,0,0,0,1,1,3,5,7,8,2,2,2,1,16,16
260,4526,4519,0,0,0,0,1,1,2,6,8,9,2,1,1,2,16,8
261,4526,4525,0,0,0,0,1,1,4,5,9,7,2,2,8,1,8,16
262,4535,4522,0,0,0,0,1,1,3,6,7,8,3,2,2,2,16,16
263,4526,4525,0,0,0,0,1,1,2,5,8,9,2,2,1,1,16,8
264,4530,4522,0,0,0,0,1,1,4,6,7,8,3,2,8,2,16,16
265,4530,4519,0,0,0,0,1,1,3,5,8,9,3,1,2,1,16,8
266,4530,4524,0,0,0,0,1,1,2,6,9,7,3,2,1,2,8,16
267,4523,4518,0,0,0,0,1,1,4,5,7,8,2,1,8,1,16,16
268,4523,4534,0,0,0,0,1,1,3,6,8,9,2,3,2,2,16,8
269,4530,4527,0,0,0,0,1,1,2,5,9,7,3,2,1,1,8,16
270,4535,4518,0,0,0,0,1,1,4,6,7,8,3,1,8,2,16,16
271,4523,4527,0,0,0,0,1,1,3,5,8,9,2,2,2,1,16,8
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,4528,4532,0,0,0,0,1,1,4,6,8,9,1,1,1,1,1,1
299,4533,4522,0,0,0,0,1,1,2,6,8,9,5,3,1,1,1,1
