#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,IconObjective0,IconObjective1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown9,Unknown8
22,Un cavalier qui surgit hors de la nuit,"Les renforts de la 4e légion sont arrivés, et avec eux, des armures magitek autonomes. Mais peut-être devrait-on donc parler d'armes, ou même d'autre chose en ce qui concerne leur commandant. Désarçonnez tous ces cavaliers.",8664689,8664766,69628,0,0,0,0,0,0,3,7,48,20,0,0,0,True
23,Mener par l'exemple,"Le commandant du détachement chargé de prendre Bozja, Menenius en personne, vous a jeté le gant. Relevez-le, et montrez-lui que la résistance ne s'avouera jamais vaincue.",8664690,8664767,69628,0,0,0,0,0,0,2,3,1,20,0,5,0,True
24,Le Roi des cendres,Un invocateur assoiffé de sang a appelé Hanbi. Ne lui en offrez pas une goutte et offrez à ce soi-disant roi ses propres cendres.,8664691,8664768,69628,0,0,0,0,0,0,1,2,48,20,0,0,0,True
25,Et n'y Hród'viens plus !,"Les mages de la 4e légion ont et continuent encore de payer un cher tribut d'éther pour invoquer ce loup de glace. Malheureusement pour eux, un brasier assez chaud pour le faire fondre brûle en vous. Abattez Hródvitnir.",8664692,8664769,69628,0,0,0,0,0,0,1,2,48,20,0,0,0,True
26,Le Titan,Un prêtre magitek de la 4e légion a utilisé une auralithe sacrée et s'est sacrifié pour invoquer une créature mythique. Bélias a déjà fait son temps au Phare de Ridorana. Vainquez-le.,8664693,8664770,69628,0,0,0,0,0,0,1,8,48,20,0,0,0,True
27,Réusinage de code,"Sicinius, l'ingénieur en chef de la 4e légion, teste de nouvelles armes magitek sur le champ de bataille. Envoyez-les toutes à la casse, et montrez à leur créateur ce que la simple huile de coude peut accomplir.",8664694,8664771,69629,0,0,0,0,0,0,3,1,48,20,0,0,0,True
28,Oiseau d'enfer,Les dresseurs ornithologues de la cohorte bestiale ont sorti le grand jeu avec cet alkonost. Volez-lui dans les plumes.,8664695,8664772,69629,0,0,0,0,0,0,1,4,48,20,0,0,0,True
29,Le Grand Ordonnateur,"Un prêtre magitek de la 4e légion a utilisé une auralithe sacrée et s'est sacrifié pour invoquer une créature mythique. Heureusement, Hashmal ne vous impressionne plus avec ses petites tours. Vainquez-le.",8664696,8664773,69620,0,0,0,0,0,0,1,8,48,20,0,0,0,True
30,Écaillage en règle,"Les invocateurs de la 4e légion ont cette fois fait appel à Ayida, le serpent arc-en-ciel aussi magnifique que mortel. La plupart tremblent devant lui, mais à vos yeux ce n'est qu'un Léviathan modèle réduit à abattre.",8664697,8664774,69629,0,0,0,0,0,0,1,2,48,20,0,0,0,True
31,La revanche de Lyon,Lyon n'a pas bien digéré sa défaite à Castrum Lacus Litore et a bien l'intention de réaffirmer sa supériorité. Quelqu'un aura-t-il assez de courage et de pugnacité pour dompter le Roi bestial ?,8664698,8664775,69629,0,0,0,0,0,0,2,3,1,20,0,6,0,True
32,Assaut sur le Dalriada,"Les moteurs du Dalriada ont calé, le rendant à la merci d'un assaut au sol. Rejoignez vos camarades de la résistance et menez un ultime assaut contre les forces de la 4e légion pour les bouter hors de Bozja !",0,0,69624,9678,0,0,222,302,-661,4,6,48,20,5,0,0,True
33,Défi : l'encéphalophage,Une créature du néant aimant se repaître de cervelles fraîches tente de faire de vous sa proie. Protégez votre matière grise et abattez l'ensorceleur.,10962704,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
34,Plumes d'encre,Les chocobos noirs de Lunule se sont rassemblés en une véritable escadrille aviaire attaquant tout ce qui bouge. Volez-leur dans les plumes.,10940977,0,0,0,0,0,0,0,0,3,4,72,20,0,0,0,True
35,Défi : le rageux,Un familier auquel son créateur a insufflé un irrépressible sentiment de rage sème le chaos sur son passage. Calmez ses ardeurs par la force.,10962716,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
36,Défi : face de griffes,Un esprit malfaisant invoqué par un sort interdit hante les parages et tourmente les vivants. Renvoyez-le dans l'au-delà.,10940989,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
37,Défi : Cloître à perpétuité,Une créature du néant de haut rang qui avait été scellée par le maître de l'île est revenue de sa dimension parallèle et tente à présent de briser ses chaînes. Terrassez-la pour de bon.,10941018,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
38,Défi : écailles de cristal,Le dragon cristallin est un familier créé par le maître de l'île pour jauger l'habileté au combat des intrus pénétrant dans son domaine. Montrez-vous à la hauteur.,10962728,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
39,Défi : idole surprise,Une étrange idole d'apparence divinement sinistre – ou sinistrement divine – se dresse sur votre route. Brisez-la.,10937430,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
40,L'armée des argileux,Une myriade de statues de chevalier se sont animées afin de défendre les édifices environnants. Réduisez-les en miettes.,11131960,0,0,0,0,0,0,0,0,3,4,72,20,0,0,0,True
41,Défi : homo selachus,"Vous tombez nez à nez avec le petalodus des légendes nymiennes, un requin anthropoïde particulièrement violent. Faites-lui la peau.",11102245,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
42,Défi : à rugir debout,Une statue de lion animée grâce au pouvoir de la magie blanche est apparue dans la Forteresse perdue. Démolissez-la.,10937461,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
43,Cordon de sécurité,"Des sentinelles de pierre chargées du maintien de l'ordre public vous voient, vous et les autres aventuriers, comme des fauteurs de trouble. Défendez-vous.",11102367,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
44,Défi : mammouth fâché,"Courroucé par d'insolents oiseaux venus le narguer sans relâche, le néo-garula est entré dans une rage incontrôlable. Envoyez-le au tapis.",10941033,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
45,Défi : être aux pièces,Une tortue terrestre rendue intelligente par le pouvoir de la magie s'est aussitôt lancée dans le commerce agressif – pour ne pas dire coercitif – de fétiches. Ne vous laissez pas escroquer.,10962741,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
46,Défi : comme un lion nouveau,Une machine de défense ayant servi durant la Guerre de la magie a visiblement été réparée afin de chasser les intrus. Venez-en à bout.,10937473,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
47,Défi : les ailes de pierre,"L'âme d'une créature du néant s'est incarnée dans une ancienne statue d'oiseau, hantant ainsi les lieux. Exorcisez-la.",10962753,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
48,Tour fourchue de la Force,"Au sud de l'île de Lunule se dresse une mystérieuse tour que l'on prendrait presque pour un mirage... Faites équipe avec les autres explorateurs, et tâchez de découvir ce qui se cache à son sommet.",0,0,70853,0,63978,63978,63,126,4,4,6,48,30,0,0,0,False
49,Défi : appétit vorace,"À force de dévorer des monstres à la chaîne, une plante vénéneuse a grandi jusqu'à atteindre une taille gigantesque. Mettez un terme à sa croissance démesurée.",12229545,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
50,Défi : les dérives du clonage,Une terrible entité éthérée calquée sur l'apparence de la sorcière de Mhach a fait son apparition. Évacuez ce mauvais souvenir.,12229572,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
51,Défi : l'homme à albâtre,Un des plus féroces gardiens de pierre parmi ceux créés à la fin de la Guerre de la magie sème le trouble. Neutralisez-le pour de bon.,12229633,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
52,Défi : magie taboue,"Arbatel, un puissant familier recelant d'anciens sorts interdits dans ses pages, a fait son apparition. Empêchez-le de nuire.",12229647,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
53,Défi : dragon en décomposition,Un dragon maudit ayant autrefois servi de cobaye pour les expériences d'un magicien est revenu d'entre les morts. Apportez-lui la paix éternelle.,12229673,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
54,Défi : Algol l'insatiable,Un sinistre démon invoqué grâce à un maléfice sème la terreur en dévorant tout sur son passage. Terrassez-le au plus vite.,12229685,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
55,Défi : cruelles chasseresses,"Une arachné a décidé de se lancer dans une cruelle partie de chasse, entourée de sa nombreuse progéniture. N'ayez aucune pitié pour elles.",12229696,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
56,Défi : le familier se rebelle,"Après lui avoir insufflé une puissance démesurée, un Carbuncle a subi une réversion, puis a fui son horrible maître. Mettez fin à ses souffrances.",12229712,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
57,Défi : croisade pour un cadavre,Le spectre d'un nécromancien ayant sévi durant la Guerre de la magie avec son armée de morts-vivants a refait son apparition. Montrez-lui qu'on ne joue pas avec la mort.,12229732,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
58,Défi : la voie de l'orme,Un familier auquel son créateur a insufflé l'esprit d'un combattant inflexible a choisi la voie de la guerre. Faites usage de la force pour avoir la paix.,12229748,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
59,Défi : vert de rancœur,"Cette créature au teint verdâtre tire son pouvoir d'une rancœur ancienne, exacerbée au long des siècles. Mettez fin à sa malédiction.",12229763,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
60,Défi : petits mais costauds,Un golem de taille réduite versé dans la magie s'est mis en tête de jouer de mauvais tours avec ses apprentis. Faites-leur comprendre que la blague a assez duré.,12229786,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
61,Défi : alerte enlèvement,Un dangereux familier s'est spécialisé dans l'enlèvement des intrus pour fournir à son maître l'énergie nécessaire au maintien de l'île. Empêchez-le de récidiver.,12229799,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
62,Défi : têtes à claques,Une hydre autrefois sujette à des expériences magiques étranges est sortie de son long sommeil. Faites-lui les têtes au carré.,12229810,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
63,Défi : attention aux contrefaçons,Un familier capable de changer d'apparence à sa guise sème la pagaille dans l'île de Lunule septentrionale. Passez-lui ses mauvaises habitudes d'usurpation d'identité.,12229824,0,0,0,0,0,0,0,0,1,4,72,20,0,0,0,True
64,Tour fourchue de la Magie,Votre persévérance a payé et vous vous trouvez désormais dans la Tour fourchue de la Magie. Franchissez les obstacles sur votre route pour atteindre son sommet et défier le maître de l'île.,0,0,71053,0,63978,63978,-320,11,422,4,6,48,60,0,0,1,False
65,Tour fourchue de la Magie (extrême),Votre persévérance a payé et vous vous trouvez désormais dans la Tour fourchue de la Magie. Franchissez les obstacles sur votre route pour atteindre son sommet et défier le maître de l'île.,0,0,71053,0,63978,63978,-320,11,422,4,6,48,30,0,0,2,False
