#,CostGCSeals,Item,RequiredGrandCompanyRank,SortKey
7.36,20000,36636,11,200
7.37,40000,38642,11,95
7.38,40000,38645,11,95
7.39,0,0,0,0
8.0,7040,1668,9,50
8.1,7040,1738,9,50
8.2,7040,1808,9,50
8.3,7040,1877,9,50
8.4,7040,1947,9,50
8.5,7040,1990,9,50
8.6,7040,2100,9,50
8.7,7040,2197,9,50
8.8,7040,2198,9,50
8.9,7040,9222,9,50
8.10,7040,10432,9,50
8.11,7040,10494,9,50
8.12,7040,10556,9,50
8.13,7500,7523,9,80
8.14,7500,7524,9,80
8.15,7500,7525,9,80
8.16,7500,7526,9,80
8.17,7500,7527,9,80
8.18,7500,7528,9,80
8.19,7500,7529,9,80
8.20,7500,7530,9,80
8.21,7500,7531,9,80
8.22,7500,7532,9,80
8.23,7500,7533,9,80
8.24,35000,23918,11,90
8.25,35000,23921,11,90
8.26,35000,23924,11,90
8.27,35000,23927,11,90
8.28,35000,23930,11,90
8.29,35000,23933,11,90
8.30,35000,23936,11,90
8.31,35000,23939,11,90
8.32,35000,23942,11,90
8.33,35000,23945,11,90
8.34,35000,23948,11,90
8.35,35000,23951,11,90
8.36,35000,23954,11,90
8.37,35000,23957,11,90
8.38,35000,23960,11,90
8.39,0,0,0,0
9.0,4800,2917,9,50
9.1,7340,3246,9,50
9.2,4650,3703,9,50
9.3,5100,3924,9,50
9.4,12000,15495,10,100
9.5,21000,15496,10,100
9.6,5000,7521,9,80
9.7,5000,7522,9,80
9.8,5000,10047,9,80
9.9,5000,10048,9,80
9.10,6500,10053,9,80
9.11,5000,10145,9,80
9.12,0,0,0,0
10.0,12,5594,1,50
10.1,34,5595,1,50
10.2,70,5596,1,50
10.3,120,4564,1,50
10.4,290,4566,1,50
10.5,200,21072,1,40
10.6,200,6018,1,50
10.7,500,15855,1,50
10.8,500,15856,1,50
10.9,1010,4568,2,100
10.10,1710,4567,2,100
10.11,1440,4632,3,150
10.12,1440,4633,3,150
10.13,138,5597,4,200
10.14,230,5598,4,200
10.15,0,0,0,0
11.0,1060,1618,1,50
11.1,1060,1690,1,50
11.2,1060,1760,1,50
11.3,1060,1829,1,50
11.4,1060,1902,1,50
11.5,1060,2007,1,50
11.6,1060,2113,1,50
11.7,1060,2153,1,50
11.8,1060,9190,1,50
11.9,1770,1629,4,200
11.10,1770,1702,4,200
11.11,1770,1772,4,200
11.12,1770,1841,4,200
11.13,1770,1911,4,200
11.14,1770,2017,4,200
11.15,1770,2073,4,200
11.16,1770,2162,4,200
11.17,1770,9199,4,200
11.18,1770,10419,4,200
11.19,1770,10481,4,200
11.20,1770,10543,4,200
11.21,0,0,0,0
12.0,680,2715,1,50
12.1,1040,3047,1,50
12.2,660,3565,1,50
12.3,730,3796,1,50
12.4,1390,3071,2,100
12.5,1390,3070,2,100
12.6,970,3812,2,100
12.7,970,3811,2,100
12.8,970,3813,2,100
12.9,540,4436,2,100
12.10,1520,2252,3,150
12.11,1470,3080,3,150
12.12,1470,3081,3,150
12.13,1470,3078,3,150
12.14,1470,3079,3,150
12.15,1050,3589,3,150
12.16,1050,3588,3,150
12.17,1050,3590,3,150
12.18,1080,3357,3,150
12.19,1080,3358,3,150
12.20,720,4319,3,150
12.21,1280,2760,4,200
12.22,1960,3110,4,200
12.23,1960,3109,4,200
12.24,1960,3111,4,200
12.25,1360,3374,4,200
12.26,1210,4123,4,200
12.27,0,0,0,0
13.0,4000,6023,5,50
13.1,2850,4562,5,50
13.2,6000,6024,6,100
13.3,2300,4634,7,150
13.4,2300,4635,7,150
13.5,2730,4636,8,200
13.6,8000,6025,8,200
13.7,500,6141,8,200
13.8,1000,7060,8,200
13.9,1500,7059,8,200
13.10,5050,6528,8,200
13.11,6900,6554,8,200
13.12,8300,6539,8,200
13.13,6700,6557,8,200
13.14,9070,6546,8,200
13.15,1100,6662,8,200
13.16,4900,6657,8,200
13.17,6800,6472,8,200
13.18,200,7621,8,200
13.19,200,21800,8,200
13.20,0,0,0,0
13.21,0,0,0,0
13.22,0,0,0,0
13.23,0,0,0,0
13.24,0,0,0,0
13.25,0,0,0,0
13.26,0,0,0,0
14.0,2970,1645,6,100
14.1,2970,1713,6,100
14.2,2970,1783,6,100
14.3,2970,1852,6,100
14.4,2970,1922,6,100
14.5,2970,2028,6,100
14.6,2970,2081,6,100
14.7,2970,2171,6,100
14.8,2970,9206,6,100
14.9,2970,10422,6,100
14.10,2970,10484,6,100
14.11,2970,10546,6,100
14.12,3530,1653,7,150
14.13,3530,1720,7,150
14.14,3530,1719,7,150
14.15,3530,1789,7,150
14.16,3530,1858,7,150
14.17,3530,1928,7,150
14.18,3530,1980,7,150
14.19,3530,2033,7,150
14.20,3530,2129,7,150
14.21,3530,2178,7,150
14.22,3530,9211,7,150
14.23,3530,10425,7,150
14.24,3530,10487,7,150
14.25,3530,10549,7,150
14.26,4200,1725,8,200
14.27,4200,1793,8,200
14.28,4200,1864,8,200
14.29,4200,1934,8,200
14.30,4200,2036,8,200
14.31,4200,2090,8,200
14.32,4200,2181,8,200
14.33,4200,9216,8,200
14.34,4200,10428,8,200
14.35,4200,10490,8,200
14.36,4200,10552,8,200
14.37,0,0,0,0
15.0,1620,3390,5,50
15.1,1620,3388,5,50
15.2,1620,3389,5,50
15.3,1190,4228,5,50
15.4,2540,2265,6,100
15.5,1960,3630,6,100
15.6,1960,3632,6,100
15.7,1960,3631,6,100
15.8,1710,4127,6,100
15.9,3380,2273,7,150
15.10,3380,2274,7,150
15.11,3280,3153,7,150
15.12,3280,3151,7,150
15.13,3280,3152,7,150
15.14,2710,3873,7,150
15.15,2710,3874,7,150
15.16,2710,3872,7,150
15.17,1710,4354,7,150
15.18,4020,2281,8,200
15.19,4020,2282,8,200
15.20,2860,2839,8,200
15.21,2860,2838,8,200
15.22,2860,2841,8,200
15.23,2860,2840,8,200
15.24,3040,3434,8,200
15.25,3040,3433,8,200
15.26,3040,3435,8,200
15.27,2500,4251,8,200
15.28,1900,4488,8,200
15.29,1900,4489,8,200
15.30,2010,4494,8,200
15.31,0,0,0,0
16.0,345,10386,9,10
16.1,20000,6171,9,90
16.2,48000,7799,9,90
16.3,19150,7097,9,90
16.4,10950,7134,9,90
16.5,10950,7144,9,90
16.6,14470,6600,9,90
16.7,20000,9539,9,30
16.8,4000,10124,9,40
16.9,600,10120,9,50
16.10,600,10121,9,50
16.11,600,10122,9,50
16.12,5000,13589,9,20
16.13,5000,13591,9,20
16.14,5000,13593,9,20
16.15,5000,13595,9,20
16.16,2000,14945,10,100
16.17,3000,15772,10,100
16.18,3000,15773,10,100
16.19,3000,15774,10,100
16.20,575,17837,9,10
16.21,500,20790,10,100
16.22,2000,21070,10,95
16.23,600,12858,9,15
16.24,550,13743,9,15
16.25,900,12844,9,15
16.26,550,12849,9,15
16.27,700,12847,9,15
16.28,800,12854,9,15
16.29,500,4720,9,15
16.30,500,4715,9,15
16.31,40000,21319,9,93
16.32,40000,21320,9,93
16.33,10000,22498,9,93
16.34,600,33916,9,10
16.35,20000,36635,11,200
16.36,20000,36636,11,200
16.37,40000,38641,11,95
16.38,40000,38644,11,95
16.39,0,0,0,0
17.0,7040,1667,9,50
17.1,7040,1737,9,50
17.2,7040,1807,9,50
17.3,7040,1876,9,50
17.4,7040,1946,9,50
17.5,7040,1989,9,50
17.6,7040,2099,9,50
17.7,7040,2195,9,50
17.8,7040,2196,9,50
17.9,7040,9221,9,50
17.10,7040,10431,9,50
17.11,7040,10493,9,50
17.12,7040,10555,9,50
17.13,7500,7523,9,80
17.14,7500,7524,9,80
17.15,7500,7525,9,80
17.16,7500,7526,9,80
17.17,7500,7527,9,80
17.18,7500,7528,9,80
17.19,7500,7529,9,80
17.20,7500,7530,9,80
17.21,7500,7531,9,80
17.22,7500,7532,9,80
17.23,7500,7533,9,80
17.24,35000,23917,11,90
17.25,35000,23920,11,90
17.26,35000,23923,11,90
17.27,35000,23926,11,90
17.28,35000,23929,11,90
17.29,35000,23932,11,90
17.30,35000,23935,11,90
17.31,35000,23938,11,90
17.32,35000,23941,11,90
17.33,35000,23944,11,90
17.34,35000,23947,11,90
17.35,35000,23950,11,90
17.36,35000,23953,11,90
17.37,35000,23956,11,90
17.38,35000,23959,11,90
17.39,0,0,0,0
18.0,4800,2916,9,50
18.1,7340,3245,9,50
18.2,4650,3702,9,50
18.3,5100,3923,9,50
18.4,12000,15499,10,100
18.5,21000,15500,10,100
18.6,5000,7521,9,80
18.7,5000,7522,9,80
18.8,5000,10047,9,80
18.9,5000,10048,9,80
18.10,6500,10053,9,80
18.11,5000,10145,9,80
18.12,0,0,0,0
19.0,12,5594,1,50
19.1,34,5595,1,50
19.2,70,5596,1,50
19.3,120,4564,1,50
19.4,290,4566,1,50
19.5,200,21072,1,40
19.6,200,6019,1,50
19.7,500,15855,1,50
19.8,500,15856,1,50
19.9,1010,4568,2,100
19.10,1710,4567,2,100
19.11,1440,4632,3,150
19.12,1440,4633,3,150
19.13,138,5597,4,200
19.14,230,5598,4,200
19.15,0,0,0,0
20.0,1060,1620,1,50
20.1,1060,1692,1,50
20.2,1060,1762,1,50
20.3,1060,1831,1,50
20.4,1060,1904,1,50
20.5,1060,2009,1,50
20.6,1060,2115,1,50
20.7,1060,2155,1,50
20.8,1060,9192,1,50
20.9,1770,1631,4,200
20.10,1770,1704,4,200
20.11,1770,1774,4,200
20.12,1770,1843,4,200
20.13,1770,1913,4,200
20.14,1770,2019,4,200
20.15,1770,2075,4,200
20.16,1770,2164,4,200
20.17,1770,9201,4,200
20.18,1770,10421,4,200
20.19,1770,10483,4,200
20.20,1770,10545,4,200
20.21,0,0,0,0
21.0,680,2717,1,50
21.1,1040,3049,1,50
21.2,660,3567,1,50
21.3,730,3798,1,50
21.4,1390,3074,2,100
21.5,1390,3075,2,100
21.6,970,3818,2,100
21.7,970,3819,2,100
21.8,970,3820,2,100
21.9,970,3817,2,100
21.10,540,4438,2,100
21.11,1520,2254,3,150
21.12,1470,3088,3,150
21.13,1470,3089,3,150
21.14,1470,3087,3,150
21.15,1470,3086,3,150
21.16,1050,3595,3,150
21.17,1050,3594,3,150
21.18,1050,3596,3,150
21.19,1080,3362,3,150
21.20,1080,3361,3,150
21.21,720,4319,3,150
21.22,1280,2762,4,200
21.23,1960,3116,4,200
21.24,1960,3115,4,200
21.25,1960,3117,4,200
21.26,1360,3376,4,200
21.27,1210,4123,4,200
21.28,0,0,0,0
22.0,4000,6026,5,50
22.1,2850,4563,5,50
22.2,6000,6027,6,100
22.3,2300,4634,7,150
22.4,2300,4635,7,150
22.5,2730,4636,8,200
22.6,8000,6028,8,200
22.7,500,6141,8,200
22.8,1000,7060,8,200
22.9,1500,7059,8,200
22.10,5050,6527,8,200
22.11,6900,6555,8,200
22.12,8300,6540,8,200
22.13,6700,6558,8,200
22.14,9070,6547,8,200
22.15,1100,6662,8,200
22.16,4900,6658,8,200
22.17,6800,6471,8,200
22.18,200,7621,8,200
22.19,200,21800,8,200
22.20,0,0,0,0
22.21,0,0,0,0
22.22,0,0,0,0
22.23,0,0,0,0
22.24,0,0,0,0
22.25,0,0,0,0
22.26,0,0,0,0
23.0,2970,1647,6,100
23.1,2970,1715,6,100
23.2,2970,1785,6,100
23.3,2970,1854,6,100
23.4,2970,1924,6,100
23.5,2970,1973,6,100
23.6,2970,2082,6,100
23.7,2970,2173,6,100
23.8,2970,9208,6,100
23.9,2970,10424,6,100
23.10,2970,10486,6,100
23.11,2970,10548,6,100
23.12,3530,1655,7,150
23.13,3530,1656,7,150
23.14,3530,1722,7,150
23.15,3530,1792,7,150
23.16,3530,1861,7,150
23.17,3530,1931,7,150
23.18,3530,1930,7,150
23.19,3530,2035,7,150
23.20,3530,2087,7,150
23.21,3530,2180,7,150
23.22,3530,9213,7,150
23.23,3530,10427,7,150
23.24,3530,10489,7,150
23.25,3530,10551,7,150
23.26,4200,1727,8,200
23.27,4200,1795,8,200
23.28,4200,1866,8,200
23.29,4200,1936,8,200
23.30,4200,2038,8,200
23.31,4200,2092,8,200
23.32,4200,2183,8,200
23.33,4200,9218,8,200
23.34,4200,10430,8,200
23.35,4200,10492,8,200
23.36,4200,10554,8,200
23.37,0,0,0,0
24.0,1620,3396,5,50
24.1,1620,3394,5,50
24.2,1620,3395,5,50
24.3,1190,4230,5,50
24.4,2540,2267,6,100
24.5,1960,3636,6,100
24.6,1960,3638,6,100
24.7,1960,3637,6,100
24.8,1710,4129,6,100
24.9,3380,2276,7,150
24.10,3380,2277,7,150
24.11,3280,3159,7,150
24.12,3280,3157,7,150
24.13,3280,3158,7,150
24.14,2710,3878,7,150
24.15,2710,3880,7,150
24.16,2710,3879,7,150
24.17,1710,4356,7,150
24.18,4020,2285,8,200
24.19,4020,2286,8,200
24.20,2860,2847,8,200
24.21,2860,2846,8,200
24.22,2860,2849,8,200
24.23,2860,2848,8,200
24.24,3040,3439,8,200
24.25,3040,3440,8,200
24.26,3040,3441,8,200
24.27,2500,4253,8,200
24.28,1900,4492,8,200
24.29,1900,4493,8,200
24.30,2010,4496,8,200
24.31,0,0,0,0
25.0,345,10386,9,10
25.1,20000,6172,9,90
25.2,48000,7799,9,90
25.3,19150,7152,9,90
25.4,19150,7096,9,90
25.5,10950,7135,9,90
25.6,10950,7145,9,90
25.7,14470,6600,9,90
25.8,20000,9539,9,30
25.9,4000,10124,9,40
25.10,600,10120,9,50
25.11,600,10121,9,50
25.12,600,10122,9,50
25.13,5000,13589,9,20
25.14,5000,13591,9,20
25.15,5000,13593,9,20
25.16,5000,13595,9,20
25.17,2000,14945,10,100
25.18,3000,15772,10,100
25.19,3000,15773,10,100
25.20,3000,15774,10,100
25.21,575,17837,9,10
25.22,500,20790,10,100
25.23,2000,21071,10,95
25.24,600,12858,9,15
25.25,550,13743,9,15
25.26,900,12844,9,15
25.27,550,12849,9,15
25.28,700,12847,9,15
25.29,800,12854,9,15
25.30,500,4720,9,15
25.31,500,4715,9,15
25.32,40000,21319,9,93
25.33,40000,21320,9,93
25.34,10000,22498,9,93
25.35,600,33916,9,10
25.36,20000,36635,11,200
25.37,20000,36636,11,200
25.38,40000,38643,11,95
25.39,40000,38646,11,95
25.40,0,0,0,0
26.0,7040,1669,9,50
26.1,7040,1739,9,50
26.2,7040,1809,9,50
26.3,7040,1878,9,50
26.4,7040,1948,9,50
26.5,7040,1991,9,50
26.6,7040,2101,9,50
26.7,7040,2199,9,50
26.8,7040,2200,9,50
26.9,7040,9223,9,50
26.10,7040,10433,9,50
26.11,7040,10495,9,50
26.12,7040,10557,9,50
26.13,7500,7523,9,80
26.14,7500,7524,9,80
26.15,7500,7525,9,80
26.16,7500,7526,9,80
26.17,7500,7527,9,80
26.18,7500,7528,9,80
26.19,7500,7529,9,80
26.20,7500,7530,9,80
26.21,7500,7531,9,80
26.22,7500,7532,9,80
26.23,7500,7533,9,80
26.24,35000,23919,11,90
26.25,35000,23922,11,90
26.26,35000,23925,11,90
26.27,35000,23928,11,90
26.28,35000,23931,11,90
26.29,35000,23934,11,90
26.30,35000,23937,11,90
26.31,35000,23940,11,90
26.32,35000,23943,11,90
26.33,35000,23946,11,90
26.34,35000,23949,11,90
26.35,35000,23952,11,90
26.36,35000,23955,11,90
26.37,35000,23958,11,90
26.38,35000,23961,11,90
26.39,0,0,0,0
27.0,4800,2918,9,50
27.1,7340,3247,9,50
27.2,4650,3704,9,50
27.3,5100,3925,9,50
27.4,12000,15503,10,100
27.5,21000,15504,10,100
27.6,5000,7521,9,80
27.7,5000,7522,9,80
27.8,5000,10047,9,80
27.9,5000,10048,9,80
27.10,6500,10053,9,80
27.11,5000,10145,9,80
27.12,0,0,0,0
28.0,200,5357,4,200
28.1,200,5358,4,200
28.2,200,5558,4,200
28.3,0,0,0,0
29.0,0,0,0,0
30.0,20,6151,9,40
30.1,20,6153,9,40
30.2,20,6154,9,40
30.3,200,5530,9,40
30.4,200,5531,9,40
30.5,200,5502,9,40
30.6,200,5501,9,40
30.7,200,5261,9,40
30.8,200,5119,9,40
30.9,200,5274,9,40
30.10,200,5532,9,40
30.11,1500,7596,9,30
30.12,1500,7597,9,30
30.13,1500,7598,9,30
30.14,1500,7599,9,30
30.15,1500,7600,9,30
30.16,1500,7601,9,30
30.17,450,7806,9,30
30.18,30,7602,9,30
30.19,30,7603,9,30
30.20,30,7604,9,30
30.21,30,7605,9,30
30.22,2250,9367,9,20
30.23,2250,9368,9,20
30.24,2250,9370,9,20
30.25,250,9366,9,20
30.26,250,9369,9,20
30.27,250,9371,9,20
30.28,250,9372,9,20
30.29,600,10112,9,50
30.30,600,10113,9,51
30.31,600,10114,9,52
30.32,600,10115,9,53
30.33,600,10116,9,54
30.34,600,10117,9,55
30.35,600,10118,9,56
30.36,600,10119,9,57
30.37,4000,16933,9,10
30.38,2300,9356,9,15
30.39,7000,15649,9,15
30.40,2500,9357,11,60
30.41,0,0,0,0
31.0,200,5357,4,200
31.1,200,5358,4,200
31.2,200,5558,4,200
31.3,0,0,0,0
32.0,0,0,0,0
33.0,20,6151,9,40
33.1,20,6153,9,40
33.2,20,6154,9,40
33.3,200,5530,9,40
33.4,200,5531,9,40
33.5,200,5502,9,40
33.6,200,5501,9,40
33.7,200,5261,9,40
33.8,200,5119,9,40
33.9,200,5274,9,40
33.10,200,5532,9,40
33.11,1500,7596,9,30
33.12,1500,7597,9,30
33.13,1500,7598,9,30
33.14,1500,7599,9,30
33.15,1500,7600,9,30
33.16,1500,7601,9,30
33.17,450,7806,9,30
33.18,30,7602,9,30
33.19,30,7603,9,30
33.20,30,7604,9,30
33.21,30,7605,9,30
33.22,2250,9367,9,20
33.23,2250,9368,9,20
33.24,2250,9370,9,20
33.25,250,9366,9,20
33.26,250,9369,9,20
33.27,250,9371,9,20
33.28,250,9372,9,20
33.29,600,10112,9,50
33.30,600,10113,9,51
33.31,600,10114,9,52
33.32,600,10115,9,53
33.33,600,10116,9,54
33.34,600,10117,9,55
33.35,600,10118,9,56
33.36,600,10119,9,57
33.37,4000,16933,9,10
33.38,2300,9356,9,15
33.39,7000,15649,9,15
33.40,2500,9357,11,60
33.41,0,0,0,0
34.0,200,5357,4,200
34.1,200,5358,4,200
34.2,200,5558,4,200
34.3,0,0,0,0
35.0,0,0,0,0
36.0,20,6151,9,40
36.1,20,6153,9,40
36.2,20,6154,9,40
36.3,200,5530,9,40
36.4,200,5531,9,40
36.5,200,5502,9,40
36.6,200,5501,9,40
36.7,200,5261,9,40
36.8,200,5119,9,40
36.9,200,5274,9,40
36.10,200,5532,9,40
36.11,1500,7596,9,30
36.12,1500,7597,9,30
36.13,1500,7598,9,30
36.14,1500,7599,9,30
36.15,1500,7600,9,30
36.16,1500,7601,9,30
36.17,450,7806,9,30
36.18,30,7602,9,30
36.19,30,7603,9,30
36.20,30,7604,9,30
36.21,30,7605,9,30
36.22,2250,9367,9,20
36.23,2250,9368,9,20
36.24,2250,9370,9,20
36.25,250,9366,9,20
36.26,250,9369,9,20
36.27,250,9371,9,20
36.28,250,9372,9,20
36.29,600,10112,9,50
36.30,600,10113,9,51
36.31,600,10114,9,52
36.32,600,10115,9,53
36.33,600,10116,9,54
36.34,600,10117,9,55
36.35,600,10118,9,56
36.36,600,10119,9,57
36.37,4000,16933,9,10
36.38,2300,9356,9,15
36.39,7000,15649,9,15
36.40,2500,9357,11,60
36.41,0,0,0,0
