#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
74,Ishgard 1,114,497,0,498,499,0,1020,55,0
75,Ishgard 2,115,500,0,501,502,0,1021,56,0
76,Idyllée 1,116,503,0,504,505,0,1022,57,0
77,Idyllée 2,117,506,0,507,508,0,1023,58,0
78,Kugane 1,118,509,0,510,511,0,1024,59,0
79,Kugane 2,119,512,0,513,514,0,1025,60,0
80,L'Étendue de Rhalgr 1,120,515,0,516,517,0,1026,61,0
81,L'Étendue de Rhalgr 2,121,518,0,519,520,0,1027,62,0
82,Cristarium 1,122,521,0,522,523,0,1028,63,0
83,Cristarium 2,123,524,0,525,526,0,1029,64,0
84,Eulmore 1,124,527,0,528,529,0,1030,65,0
85,Eulmore 2,125,530,0,531,532,0,1031,66,0
86,Vieille Sharlayan 1,126,533,0,534,535,0,1032,67,0
87,Vieille Sharlayan 2,127,536,0,537,538,0,1033,68,0
88,Radz-at-Han 1,128,539,0,540,541,0,1034,69,0
89,Radz-at-Han 2,129,542,0,543,544,0,1035,70,0
90,Quêtes des Pelupelu,113,0,0,0,0,496,2317,54,54
91,Futures Rewritten,130,575,0,576,577,578,2505,71,0
92,Quêtes des Mamool Ja,131,0,0,0,0,579,2318,72,72
93,Palais des morts 1,132,0,0,580,0,0,2354,0,0
94,Palais des morts 2,133,0,0,581,0,0,2355,0,0
95,Pilier des Cieux 1,134,0,0,582,0,0,2356,0,0
96,Pilier des Cieux 2,135,0,0,583,0,0,2357,0,0
97,Île de Lunule,136,584,0,585,586,0,2406,73,0
98,Exploration cosmique 1,137,587,0,0,588,589,2343,74,0
99,Monster Hunter Wilds 1,138,622,621,623,624,625,3955,75,0
100,Monster Hunter Wilds 2,139,626,0,627,628,629,3956,76,0
101,Quêtes des Yok Huy,140,0,0,0,0,630,2319,77,77
102,Sanctuaire des pèlerins 1,141,0,0,631,0,0,2400,0,0
103,Sanctuaire des pèlerins 2,142,0,0,632,0,0,2401,0,0
104,Exploration cosmique 2,143,633,0,0,634,635,2344,78,0
105,Félicité insulaire 3,144,0,0,636,637,638,2342,79,79
106,Companion 1,52,158,0,152,154,156,4000,0,0
107,Companion 2,53,159,0,153,155,157,4001,0,0
108,Exploration cosmique 3,145,669,0,0,670,0,2345,80,0
109,,0,0,0,0,0,0,0,0,0
110,Style épuré 1,146,0,0,0,673,0,16,81,0
111,Style épuré 2,147,0,0,0,674,0,17,82,0
112,Style épuré 3,148,0,0,0,675,0,18,83,0
113,Style épuré 4,149,0,0,0,676,0,19,84,0
114,Style épuré 5,150,0,0,0,677,0,20,85,0
115,Style épuré 6,151,0,0,0,678,0,21,86,0
116,Style épuré 7,152,0,0,0,679,0,22,87,0
117,Style épuré 8,153,0,0,0,680,0,23,88,0
118,,0,0,0,0,0,0,0,0,0
119,,0,0,0,0,0,0,0,0,0
120,,0,0,0,0,0,0,0,0,0
