#,Unknown0,Text,Unknown2,Unknown3,Unknown4
80.5,39505,6,1,4,True
80.6,39506,6,1,4,True
80.7,39501,1,0,6,True
80.8,39507,6,1,7,True
80.9,39508,6,1,7,True
80.10,39509,6,1,7,True
80.11,39510,6,1,7,True
81.0,40093,6,1,1,True
81.1,40086,6,1,2,True
81.2,40057,6,1,3,True
81.3,40060,6,1,4,True
81.4,40062,6,1,5,True
81.5,40066,6,1,6,True
81.6,40086,6,1,7,True
81.7,40091,6,1,8,True
81.8,40075,6,1,9,True
81.9,40076,6,1,9,True
81.10,40077,6,1,9,True
81.11,40085,6,1,10,True
82.0,40622,6,1,0,False
83.0,39129,6,1,0,False
84.0,40200,6,1,0,False
85.0,40337,6,1,0,False
86.0,39900,1,1,0,True
86.1,39930,1,1,1,True
86.2,39931,1,1,2,True
86.3,39930,1,1,3,True
86.4,39931,1,1,4,True
86.5,39932,1,1,5,True
86.6,39933,1,1,6,True
86.7,39930,1,1,7,True
86.8,39931,1,1,8,True
86.9,39934,1,1,9,True
87.0,40900,6,1,0,False
87.1,40901,6,1,1,False
87.2,40902,6,1,2,False
87.3,40903,6,1,3,False
87.4,40904,6,1,4,False
87.5,40905,6,1,5,False
88.0,41000,1,1,0,True
88.1,41001,1,1,1,True
88.2,41002,1,1,2,True
88.3,41003,1,1,3,True
88.4,41004,1,1,4,True
89.0,7,8,6,0,False
89.1,41100,6,1,0,True
89.2,41101,6,1,1,True
89.3,41102,6,1,2,True
89.4,41103,6,1,3,True
89.5,41104,6,1,4,True
89.6,41105,6,4,5,True
89.7,41106,6,1,5,True
89.8,41107,6,1,5,True
89.9,41108,6,1,5,True
89.10,41109,6,1,5,True
90.0,7,8,7,0,False
90.1,41200,6,1,0,True
90.2,41201,6,1,1,True
90.3,41202,6,1,2,True
90.4,41203,6,1,3,True
90.5,41204,6,1,4,True
90.6,41205,6,1,5,True
90.7,41206,6,4,6,True
90.8,41207,6,1,6,True
90.9,41208,6,1,6,True
90.10,41209,6,1,6,True
90.11,41210,6,1,6,True
91.0,7,8,6,0,False
91.1,41300,6,1,0,True
91.2,41301,6,1,1,True
91.3,41302,6,1,2,True
91.4,41303,6,1,3,True
91.5,41304,6,1,4,True
91.6,41305,6,4,5,True
91.7,41306,6,1,5,True
91.8,41307,6,1,5,True
91.9,41308,6,1,5,True
91.10,41309,6,1,5,True
92.0,42400,6,1,0,False
93.0,42227,6,1,0,False
94.0,42016,6,1,0,False
95.0,41933,6,1,0,False
96.0,42114,6,1,0,False
96.1,42115,6,1,1,False
96.2,42116,6,1,2,False
96.3,42117,6,1,3,False
96.4,42118,6,1,4,False
96.5,42119,6,1,5,False
97.0,42603,6,1,0,False
97.1,42604,6,1,1,False
97.2,42605,6,1,2,False
97.3,42606,6,1,3,False
97.4,42607,6,1,4,False
97.5,42608,6,1,5,False
98.0,7,8,6,0,False
98.1,42500,6,1,0,True
98.2,42501,6,1,1,True
98.3,42502,6,1,2,True
98.4,42503,6,1,3,True
98.5,42504,6,1,4,True
98.6,42505,6,1,5,True
99.0,43100,6,1,0,False
99.1,43101,6,1,1,False
99.2,43102,6,1,2,False
99.3,43103,6,1,3,False
99.4,43104,6,1,4,False
99.5,43105,6,1,5,False
100.0,43500,6,1,0,False
101.0,44200,6,1,0,False
102.0,44130,6,1,0,False
103.0,43938,6,1,0,False
104.0,43646,1,0,0,False
105.0,43651,1,0,0,False
