#,SupplyItem[0],SupplyItem[1],SupplyItem[2],SupplyItem[3],SupplyItem[4],SupplyItem[5],SupplyItem[6],SupplyItem[7],SupplyItem[8],SupplyItem[9],SupplyItem[10],SupplyItem[11],SetQuantity[0],SetQuantity[1],SetQuantity[2],SetQuantity[3],SetQuantity[4],SetQuantity[5],SetQuantity[6],SetQuantity[7],SetQuantity[8],SetQuantity[9],SetQuantity[10],SetQuantity[11],SetsRequired[0],SetsRequired[1],SetsRequired[2],SetsRequired[3],SetsRequired[4],SetsRequired[5],SetsRequired[6],SetsRequired[7],SetsRequired[8],SetsRequired[9],SetsRequired[10],SetsRequired[11]
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,127,240,359,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0
111,23,238,646,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0
112,22,365,364,420,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,3,2,2,3,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5,8,104,220,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
501,10,102,219,340,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
502,112,226,405,510,628,621,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0
503,6,10,104,237,0,0,0,0,0,0,0,0,6,6,6,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
504,15,105,219,340,621,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
505,110,111,346,628,0,0,0,0,0,0,0,0,6,6,7,6,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
506,7,10,107,237,0,0,0,0,0,0,0,0,8,8,8,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
507,12,105,212,340,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
508,112,220,408,527,628,640,0,0,0,0,0,0,8,8,8,3,6,3,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0
509,6,10,104,237,0,0,0,0,0,0,0,0,8,8,8,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
510,16,112,222,346,640,0,0,0,0,0,0,0,4,8,8,8,4,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
511,112,232,362,628,0,0,0,0,0,0,0,0,10,6,3,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
512,9,12,113,237,0,0,0,0,0,0,0,0,8,8,8,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
513,17,102,226,357,0,0,0,0,0,0,0,0,4,8,8,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
514,115,232,422,527,628,644,0,0,0,0,0,0,7,4,3,3,8,3,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0
515,19,12,113,237,0,0,0,0,0,0,0,0,8,4,8,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
516,21,115,235,346,640,0,0,0,0,0,0,0,3,8,8,8,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
517,112,234,362,422,628,0,0,0,0,0,0,0,8,4,3,3,8,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
518,17,19,113,238,0,0,0,0,0,0,0,0,4,4,4,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
519,22,235,359,644,0,0,0,0,0,0,0,0,1,2,4,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
520,115,234,422,628,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,9,114,104,206,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
551,103,206,210,213,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
552,116,213,413,412,510,517,0,0,0,0,0,0,2,4,2,2,4,2,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0
553,11,114,104,206,0,0,0,0,0,0,0,0,4,7,7,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
554,106,213,229,224,0,0,0,0,0,0,0,0,7,7,4,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
555,116,125,213,340,0,0,0,0,0,0,0,0,4,3,7,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
556,11,125,107,213,0,0,0,0,0,0,0,0,4,3,7,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
557,106,108,220,228,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
558,116,218,417,527,0,0,0,0,0,0,0,0,6,6,6,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
559,12,107,114,218,0,0,0,0,0,0,0,0,4,10,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
560,106,108,224,229,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
561,125,120,228,362,0,0,0,0,0,0,0,0,3,4,4,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
562,12,125,113,224,0,0,0,0,0,0,0,0,4,3,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
563,106,108,220,228,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
564,116,228,418,422,527,0,0,0,0,0,0,0,4,4,6,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
565,21,113,114,224,0,0,0,0,0,0,0,0,3,10,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
566,123,112,229,228,0,0,0,0,0,0,0,0,10,10,6,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
567,120,122,228,237,362,0,0,0,0,0,0,0,5,5,5,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
568,22,119,126,224,0,0,0,0,0,0,0,0,1,4,2,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
569,112,123,228,232,0,0,0,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
570,122,238,420,527,0,0,0,0,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,106,108,223,220,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
601,105,106,214,229,0,0,0,0,0,0,0,0,8,8,8,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
602,110,226,319,0,0,0,0,0,0,0,0,0,10,2,10,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
603,106,108,223,237,0,0,0,0,0,0,0,0,10,10,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
604,108,214,229,0,0,0,0,0,0,0,0,0,10,10,4,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
605,12,110,319,0,0,0,0,0,0,0,0,0,3,10,10,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
606,106,112,223,237,0,0,0,0,0,0,0,0,10,10,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
607,108,120,214,229,0,0,0,0,0,0,0,0,10,6,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
608,110,226,329,346,619,0,0,0,0,0,0,0,10,3,10,6,10,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
609,108,106,223,237,0,0,0,0,0,0,0,0,10,10,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
610,108,120,223,229,0,0,0,0,0,0,0,0,10,6,10,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
611,16,115,362,346,0,0,0,0,0,0,0,0,4,10,3,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
612,108,229,223,237,0,0,0,0,0,0,0,0,10,7,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
613,112,120,223,229,0,0,0,0,0,0,0,0,10,6,10,6,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
614,112,221,226,362,358,0,0,0,0,0,0,0,6,6,6,3,5,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
615,110,123,223,237,0,0,0,0,0,0,0,0,10,10,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
616,115,122,223,229,0,0,0,0,0,0,0,0,10,6,10,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
617,21,115,357,362,0,0,0,0,0,0,0,0,3,10,6,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
618,112,123,232,238,0,0,0,0,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
619,115,122,233,360,0,0,0,0,0,0,0,0,4,4,2,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
620,22,115,362,359,0,0,0,0,0,0,0,0,1,4,2,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,108,111,210,223,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
651,106,116,206,214,0,0,0,0,0,0,0,0,10,2,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
652,110,226,319,0,0,0,0,0,0,0,0,0,10,4,10,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
653,108,125,210,223,0,0,0,0,0,0,0,0,8,3,8,8,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
654,106,116,214,220,0,0,0,0,0,0,0,0,10,3,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
655,12,110,111,319,0,0,0,0,0,0,0,0,3,10,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
656,108,111,210,237,0,0,0,0,0,0,0,0,8,8,8,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
657,110,120,223,229,0,0,0,0,0,0,0,0,10,6,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
658,110,117,226,329,619,0,0,0,0,0,0,0,10,6,6,10,10,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
659,108,106,223,237,0,0,0,0,0,0,0,0,10,10,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
660,108,120,223,229,0,0,0,0,0,0,0,0,10,6,10,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
661,16,112,116,362,346,0,0,0,0,0,0,0,4,6,6,3,4,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
662,110,109,223,237,0,0,0,0,0,0,0,0,10,10,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
663,112,120,223,229,0,0,0,0,0,0,0,0,10,6,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
664,112,117,226,358,362,0,0,0,0,0,0,0,10,3,10,6,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
665,112,123,223,237,0,0,0,0,0,0,0,0,10,10,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
666,115,122,223,229,0,0,0,0,0,0,0,0,10,6,10,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
667,21,115,360,362,422,0,0,0,0,0,0,0,3,6,6,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
668,112,123,234,238,0,0,0,0,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
669,115,122,223,232,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
670,22,360,422,527,0,0,0,0,0,0,0,0,1,4,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,6,10,104,220,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
701,15,105,219,340,621,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
702,110,111,346,628,0,0,0,0,0,0,0,0,6,6,7,6,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
703,7,10,107,237,0,0,0,0,0,0,0,0,8,8,8,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
704,12,105,212,340,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
705,112,220,408,527,628,640,0,0,0,0,0,0,8,8,8,3,6,3,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0
706,6,10,104,237,0,0,0,0,0,0,0,0,8,8,8,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
707,16,112,222,346,640,0,0,0,0,0,0,0,4,8,8,8,4,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
708,112,232,362,628,0,0,0,0,0,0,0,0,10,6,3,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
709,112,222,357,237,0,0,0,0,0,0,0,0,10,6,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
710,115,232,17,640,0,0,0,0,0,0,0,0,10,6,10,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
711,122,223,358,360,0,0,0,0,0,0,0,0,10,10,6,6,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
712,127,226,358,126,0,0,0,0,0,0,0,0,5,3,6,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
713,120,19,17,640,0,0,0,0,0,0,0,0,10,7,10,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
714,133,228,22,360,0,0,0,0,0,0,0,0,3,5,2,6,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
715,31,238,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
716,36,108,219,346,640,0,0,0,0,0,0,0,3,8,6,8,6,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
717,139,355,628,378,643,0,0,0,0,0,0,0,3,8,10,5,6,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
718,32,126,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
719,36,108,222,346,0,0,0,0,0,0,0,0,3,8,8,8,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
720,252,115,423,527,644,378,643,0,0,0,0,0,3,8,8,3,4,5,6,0,0,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0
721,33,126,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
722,36,26,115,355,644,0,0,0,0,0,0,0,3,4,8,8,4,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
723,252,240,628,378,643,0,0,0,0,0,0,0,3,6,10,5,6,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
724,34,238,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
725,36,140,240,644,0,0,0,0,0,0,0,0,3,10,6,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
726,139,377,360,378,643,0,0,0,0,0,0,0,3,6,6,5,6,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
727,35,126,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
728,36,240,18,644,0,0,0,0,0,0,0,0,3,6,10,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
729,252,253,22,378,643,0,0,0,0,0,0,0,3,10,2,5,6,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,108,111,210,223,0,0,0,0,0,0,0,0,8,6,8,8,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
751,106,116,214,220,0,0,0,0,0,0,0,0,10,3,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
752,12,110,111,319,0,0,0,0,0,0,0,0,3,10,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
753,108,111,210,237,0,0,0,0,0,0,0,0,8,8,8,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
754,110,120,223,229,0,0,0,0,0,0,0,0,10,6,10,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
755,110,117,226,329,619,0,0,0,0,0,0,0,10,6,6,10,10,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0
756,12,107,114,218,0,0,0,0,0,0,0,0,4,10,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
757,106,108,224,229,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0
