#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
22,ATH,"Permet de modifier l'affichage, l'emplacement et la taille de tous les composants de l'interface utilisateur, et de sauvegarder plusieurs configurations.",31,7,7,73,2
23,Déconnexion,Permet de se déconnecter et retourner à l'écran titre.,27,10,7,77,7
24,Quitter le jeu,Permet de se déconnecter et quitter le jeu.,26,11,7,78,8
25,Arsenal,"Affiche l'équipement rangé dans votre arsenal. Tout l'équipement obtenu y est au­to­ma­ti­que­ment placé et classé par type. De là, vous pouvez vous en équiper, le réparer ou le déplacer vers votre inventaire.",32,7,1,7,1
26,,,0,0,0,0,0
27,Compagnie libre,"Ouvre l'interface de votre compagnie libre à partir de laquelle vous pouvez accéder aux in­for­ma­tions de la compagnie, consulter ou laisser des messages, et effectuer diverses actions.",8,4,6,56,1
28,Linkshells,Affiche une liste de tous les membres de toutes vos linkshells.,11,7,6,59,4
29,Carnet de pêche,Affiche des in­for­ma­tions sur vos prises précédentes ainsi que l'emplacement des lieux de pêche classés par zone.,24,5,3,36,2
30,Tutoriel,Affiche une liste des tutoriels pour les fonctions de jeu disponibles.,33,4,7,70,-1
31,Recommandations,"Affiche une liste des quêtes, missions ou ALÉA accessibles au niveau de votre personnage et ac­tu­el­le­ment disponibles dans les environs.",25,1,2,19,-3
32,Services et aide,"Permet de consulter des annonces relatives au jeu ou les réponses aux questions les plus fréquemment posées, de signaler des problèmes et de vérifier les messages de l'équipe d'assistance de FINAL FANTASY XIV.",13,1,7,67,-4
33,Outil de mission,"Ouvre la fenêtre qui permet de consulter la description et les critères des missions instanciées, comme les donjons ou les opérations de guilde, et de s'enregistrer en vue d'y participer. Une équipe avec d'autres joueurs sera formée par groupement automatique si vous êtes en solo ou en nombre insuffisant de par­ti­ci­pants.",46,5,2,23,1
34,Configuration personnage,"Ouvre la fenêtre qui permet de changer les paramètres liés au personnage comme le type de maniement, l'interface, les barres/croix de raccourcis ou la fenêtre de log.",48,5,7,71,0
35,Téléportation,Permet de se téléporter vers une éthérite avec laquelle vous êtes harmonisée en échange de gils. Il est possible de se déplacer avec les membres de son équipe.,0,0,4,44,1
36,Rapatriement,"Permet de retourner im­mé­dia­te­ment à votre point de retour actuel. Vous n'aurez pas à payer, mais vous ne pouvez utiliser ce sort qu'une fois toutes les 15 minutes (temps réel). Lors des missions instanciées, permet de retourner au point de départ.",0,0,4,45,2
37,Licence,Affiche la licence de FINAL FANTASY XIV.,0,0,7,76,6
38,Carnets,（ヘルプ無し）,0,0,0,0,0
39,Réseau social,（ヘルプ無し）,0,0,0,0,0
40,Système,（ヘルプ無し）,0,0,0,0,0
41,Nomenclature,"Affiche la nomenclature du carnet de pêche, où sont notés les détails des poissons que vous avez attrapés. Le contenu change à mesure que vous pêchez plus de poissons.",50,6,3,37,3
42,Compagnon,"Ouvre l'interface de votre compagnon, à partir de laquelle vous pouvez consulter entre autres son état, le temps qu'il lui reste à vos côtés, ou ses actions.",49,10,1,10,4
43,Missions,（ヘルプ無し）,0,0,0,0,0
44,Logement,"Ouvre l'interface de logement, à partir de laquelle vous pouvez gérer votre terrain et votre maison.",52,5,6,57,2
45,Paramètres d'affichage,"Permet de régler différentes options d'affichage comme le choix de l'écran principal, la résolution, le taux de rafraîchissement, etc.",35,0,0,0,0
46,Paramètres de son,"Permet de régler différentes options sonores comme le volume, la position d'écoute, la musique à dos de monture, etc.",36,0,0,0,0
47,Paramètres graphiques,"Permet de régler différentes options graphiques comme l'affichage des ombres, la qualité des textures, les opérations physiques, etc.",37,0,0,0,0
48,Paramètres souris,"Permet de régler différentes options liées à la souris comme la sensibilité de la caméra lors des déplacements, le redimensionnement de la fenêtre de jeu, etc.",38,0,0,0,0
49,Paramètres manette,"Permet d'activer/désactiver la manette en plus de paramétrer différentes options comme l'attribution des touches, les vibrations, la sensibilité des sticks, etc.",39,0,0,0,0
50,Autres paramètres,Permet de choisir le format des captures d'écran ainsi que la langue des voix des séquences vidéos.,51,0,0,0,0
51,Type de maniement,"Permet de régler différentes options liées au maniement de la caméra comme la vitesse de rotation, l'inversion des axes ainsi que le mode de ciblage.",41,0,0,0,0
52,Interface et fenêtres,"Permet de régler différentes options liées à l'interface comme la transparence de la carte, l'affichage des infobulles, les in­for­ma­tions de personnage, la liste des équipiers, etc.",42,0,0,0,0
53,Plaques de nom,Permet de régler différentes options d'affichage liées aux plaques de nom.,43,0,0,0,0
54,Barres de raccourcis,"Permet d'afficher/masquer les barres de raccourcis, de paramétrer le maniement des croix, etc.",44,0,0,0,0
55,Fenêtre de log,"Permet de paramétrer l'apparence de la fenêtre de log comme la taille de la police, l'horodatage des messages, mais aussi d'activer différentes options de filtrage.",45,0,0,0,0
56,Profil JcJ,"Permet d'afficher les résultats de combats contre d'autres joueurs, de consulter des actions spécifiques au JcJ et de les placer dans la barre de raccourcis JcJ.",53,16,1,16,10
57,Recherche d'équipe,Permet de rechercher des joueurs pour former une équipe en spécifiant certaines conditions comme les rôles ou le type de mission.,54,2,5,47,1
58,Marques au sol,Permet de placer sur le sol des marques visibles par tous les membres d'équipe ou d'alliance.,55,4,5,49,3
59,Appel de préparation,Permet de lancer un appel aux équipiers et/ou aux membres de l'alliance afin de s'assurer qu'ils sont prêts à agir.,56,7,5,51,6
60,Carnet d'objectifs,Permet d'obtenir des récompenses en ac­com­plis­sant des objectifs divers liés à des éléments de jeu. La limite de temps est réinitialisée tous les mardis à 17h (temps réel).,57,8,3,39,5
61,Montures,Permet de consulter l'encyclopédie des montures obtenues et d'en appeler une.,58,11,1,11,5
62,Mascottes,Permet de consulter l'encyclopédie des mascottes obtenues et d'en appeler une.,59,12,1,12,6
63,Accessibilité,Ouvre l'interface d'accessibilité permettant d'activer et de paramétrer la repré­sen­ta­tion visuelle des sons.,60,0,0,0,0
64,Carnet d'exploration,"Affiche des indices sur divers lieux notoires, et donne la description de ceux que vous avez découverts au cours de vos pérégrinations en Éorzéa.",61,2,3,33,-1
65,Gold Saucer,"Affiche différentes in­for­ma­tions relatives au Gold Saucer. Permet entre autres de modifier l'équipement des chocobos de course, de gérer vos jeux de Triple Triade, d'éditer vos barres CdM et de changer les paramètres du mahjong domien.",62,17,1,17,11
66,Devises,Permet de voir les différentes devises ac­tu­el­le­ment en votre possession.,63,5,1,5,-1
67,Vents éthérés,Permet de voir les vents éthérés avec lesquels vous vous êtes harmonisée.,64,1,4,40,-3
68,Guides du jeu,"Affiche la fenêtre qui permet d'accéder aux guides de jeu sur The Lodestone, le site officiel des joueurs de FFXIV.",65,3,7,69,-2
69,Morceaux de l'orchestrion,Affiche les morceaux de musique dont vous avez obtenu les rouleaux et qu'il est possible de jouer avec l'orchestrion.,67,7,3,38,4
70,Salle des novices,Permet d'apprendre les rudiments du combat avec les différents types de classes de combattant et de mage (tank/soigneur/DPS). L'en­traî­ne­ment proposé dépend de votre classe ou job actuel et de votre avancement.,66,12,2,30,8
71,Objets et inventaire,"Permet de régler différentes options liées aux objets, à l'inventaire et aux marchands.",68,0,0,0,0
72,Outil de raid,"Ouvre la fenêtre qui permet de s'enregistrer pour participer aux missions à difficulté élevée les plus récentes. Si vous êtes en solo ou en nombre insuffisant de par­ti­ci­pants, une équipe avec d'autres joueurs ayant sélectionné les mêmes critères sera formée par groupement automatique.",69,6,2,24,2
73,Compte à rebours,"Permet de commencer un compte à rebours, dont la durée peut être choisie, afin de donner le signal du combat aux membres de l'équipe ou de l'alliance.",70,8,5,52,7
74,Liste de contacts,Affiche la liste des personnages avec lesquels vous avez der­niè­re­ment formé une équipe. Il est possible d'envoyer une requête d'ami à chacun d'entre eux.,71,11,6,63,8
75,Vitesse des montures,Affiche la vitesse au sol des montures dans les différentes zones.,72,2,4,41,-2
76,Visionnage de mission,Permet de lire les données enregistrées lors de missions et de paramétrer leur visionnage.,73,10,2,28,6
77,Sacoche chocobo,Permet de vérifier les objets confiés au compagnon et de les déplacer entre la sacoche chocobo et votre inventaire ou celui des servants. (Inaccessible en cours de mission),74,9,1,9,3
78,Équipe JcJ,Permet d'accéder à diverses fonctions et in­for­ma­tions relatives à l'équipe JcJ.,75,6,6,58,3
79,Appel d'enregistrement,Permet d'effectuer un appel de préparation et un compte à rebours avant d'enregistrer une mission en vue d'un futur visionnage.,76,6,5,50,5
80,Linkshells inter-Monde,Permet de créer une linkshell inter-Monde ou de consulter la liste de ses membres. Il est d'ailleurs possible d'inviter ces joueurs à rejoindre une équipe inter-Monde.,77,8,6,60,5
81,Grimoire de magie bleue,"Permet d'afficher la liste des actions de magie bleue que vous avez débloquées, mais aussi d'en ajouter ou d'en retirer à votre set actif.",78,15,1,15,9
82,Adjuration,Permet d'enrôler des alter ego des personnages de l'histoire pour participer à un donjon.,79,9,2,27,5
83,Thème visuel,Permet de modifier l'apparence générale de l'interface du jeu.,80,0,0,0,0
84,ALÉA,"Affiche des in­for­ma­tions sur les ALÉA de certaines régions. Pour les consulter, il faut néanmoins réussir un ALÉA avec le meilleur score possible dans la zone concernée.",81,3,4,42,-1
85,Communautés,"Affiche la liste des communautés dont vous faites partie, les in­for­ma­tions qui leur sont relatives, et vous permet d'en créer vous-même.",82,9,6,61,6
86,Recherche de communautés,Affiche la liste des communautés qui recrutent ac­tu­el­le­ment et vous permet de les rejoindre.,83,2,6,54,-1
87,Objets précieux,Affiche la liste des objets précieux que vous possédez.,85,2,2,20,-2
88,Nouvelle partie +,Permet de rejouer à certaines parties du jeu tout en conservant votre progression actuelle.,84,11,2,29,7
89,Accessoires de mode,Permet de consulter l'encyclopédie des accessoires de mode obtenus et d'en équiper un.,86,14,1,14,8
90,Liens vers le site officiel,Affiche des liens utiles vers différentes pages du site officiel.,87,2,7,68,-3
91,Renforts,Permet d'enrôler des PNJ alliés pour participer à un donjon.,89,8,2,26,4
92,Portraits,Permet de créer des portraits associés à chacune de vos tenues.,88,4,1,3,-2
93,Carte de personnage,Permet de créer une carte personnalisée pour vous présenter.,90,3,1,4,-3
94,Donjons spéciaux,"Ouvre la fenêtre qui permet de s'enregistrer pour explorer un donjon spécial, de modifier certains paramètres de par­ti­ci­pa­tion et d'ouvrir le journal d'exploration des donjons à embranchements.",91,7,2,25,3
95,Accessoires de visage,"Permet de consulter la liste des accessoires de visages obtenus, d'en modifier le style et la couleur, et de s'en équiper.",92,13,1,13,7
96,Liste muette,Affiche les joueurs présents dans votre liste muette. Les messages des personnages concernés sont cachés.,93,13,6,65,10
97,Filtre de mots,Ouvre la fenêtre du filtre de mots qui permet de cacher les messages contenant des mots déterminés.,94,14,6,66,11
98,Tableaux stratégiques,Permet de créer et consulter des schémas explicatifs pour aider à l'accomplissement des missions.,95,5,5,79,4
99,,,0,0,0,0,0
