#,Name,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
4026,DONN.ALC II,0,0,0,0,1,0,0
4027,DONN.ALC III,0,0,0,0,1,0,0
4028,DONN.ALC IV,0,0,0,0,1,0,0
4029,DONN.CUI I,0,0,0,0,1,0,0
4030,DONN.CUI II,0,0,0,0,1,0,0
4031,DONN.CUI III,0,0,0,0,1,0,0
4032,DONN.CUI IV,0,0,0,0,1,0,0
4033,DONN.MIN I,0,0,0,0,1,0,0
4034,DONN.MIN II,0,0,0,0,1,0,0
4035,DONN.MIN III,0,0,0,0,1,0,0
4036,DONN.MIN IV,0,0,0,0,1,0,0
4037,DONN.BOT I,0,0,0,0,1,0,0
4038,DONN.BOT II,0,0,0,0,1,0,0
4039,DONN.BOT III,0,0,0,0,1,0,0
4040,DONN.BOT IV,0,0,0,0,1,0,0
4041,DONN.PÊC I,0,0,0,0,1,0,0
4042,DONN.PÊC II,0,0,0,0,1,0,0
4043,DONN.PÊC III,0,0,0,0,1,0,0
4044,DONN.PÊC IV,0,0,0,0,1,0,0
4045,DONN.MEN V,0,0,0,0,1,0,0
4046,DONN.FRG V,0,0,0,0,1,0,0
4047,DONN.ARM V,0,0,0,0,1,0,0
4048,DONN.ORF V,0,0,0,0,1,0,0
4049,DONN.TAN V,0,0,0,0,1,0,0
4050,DONN.COU V,0,0,0,0,1,0,0
4051,DONN.ALC V,0,0,0,0,1,0,0
4052,DONN.CUI V,0,0,0,0,1,0,0
4053,DONN.MIN V,0,0,0,0,1,0,0
4054,DONN.BOT V,0,0,0,0,1,0,0
4055,DONN.PÊC V,0,0,0,0,1,0,0
4056,DONN.MEN VI,0,0,0,0,1,0,0
4057,DONN.FRG VI,0,0,0,0,1,0,0
4058,DONN.ARM VI,0,0,0,0,1,0,0
4059,DONN.ORF VI,0,0,0,0,1,0,0
4060,DONN.TAN VI,0,0,0,0,1,0,0
4061,DONN.COU VI,0,0,0,0,1,0,0
4062,DONN.ALC VI,0,0,0,0,1,0,0
4063,DONN.CUI VI,0,0,0,0,1,0,0
4064,DONN.MIN VI,0,0,0,0,1,0,0
4065,DONN.BOT VI,0,0,0,0,1,0,0
4066,DONN.PÊC VI,0,0,0,0,1,0,0
5000,,,0,0,0,0,0,0
5001,Données de menuisier I-1,0,0,0,0,1,0,0
5002,Données de menuisier I-2,0,0,0,0,1,0,0
5003,Données de menuisier I-3,0,0,0,0,1,0,0
5004,Données de menuisier I-4,0,0,0,0,1,0,0
5005,Données de menuisier I-5,0,0,0,0,1,0,0
5006,Données de forgeron I-1,0,0,0,0,1,0,0
5007,Données de forgeron I-2,0,0,0,0,1,0,0
5008,Données de forgeron I-3,0,0,0,0,1,0,0
5009,Données de forgeron I-4,0,0,0,0,1,0,0
5010,Données de forgeron I-5,0,0,0,0,1,0,0
5011,Données d'armurier I-1,0,0,0,0,1,0,0
5012,Données d'armurier I-2,0,0,0,0,1,0,0
5013,Données d'armurier I-3,0,0,0,0,1,0,0
5014,Données d'armurier I-4,0,0,0,0,1,0,0
5015,Données d'armurier I-5,0,0,0,0,1,0,0
5016,Données d'orfèvre I-1,0,0,0,0,1,0,0
5017,Données d'orfèvre I-2,0,0,0,0,1,0,0
5018,Données d'orfèvre I-3,0,0,0,0,1,0,0
5019,Données d'orfèvre I-4,0,0,0,0,1,0,0
5020,Données d'orfèvre I-5,0,0,0,0,1,0,0
5021,Données de tanneur I-1,0,0,0,0,1,0,0
5022,Données de tanneur I-2,0,0,0,0,1,0,0
5023,Données de tanneur I-3,0,0,0,0,1,0,0
5024,Données de tanneur I-4,0,0,0,0,1,0,0
5025,Données de tanneur I-5,0,0,0,0,1,0,0
5026,Données de couturier I-1,0,0,0,0,1,0,0
5027,Données de couturier I-2,0,0,0,0,1,0,0
5028,Données de couturier I-3,0,0,0,0,1,0,0
5029,Données de couturier I-4,0,0,0,0,1,0,0
5030,Données de couturier I-5,0,0,0,0,1,0,0
5031,Données d'alchimiste I-1,0,0,0,0,1,0,0
5032,Données d'alchimiste I-2,0,0,0,0,1,0,0
5033,Données d'alchimiste I-3,0,0,0,0,1,0,0
5034,Données d'alchimiste I-4,0,0,0,0,1,0,0
5035,Données d'alchimiste I-5,0,0,0,0,1,0,0
5036,Données de cuisinier I-1,0,0,0,0,1,0,0
5037,Données de cuisinier I-2,0,0,0,0,1,0,0
5038,Données de cuisinier I-3,0,0,0,0,1,0,0
5039,Données de cuisinier I-4,0,0,0,0,1,0,0
5040,Données de cuisinier I-5,0,0,0,0,1,0,0
5041,Données de mineur I-1,0,0,0,0,1,0,0
5042,Données de mineur I-2,0,0,0,0,1,0,0
5043,Données de mineur I-3,0,0,0,0,1,0,0
5044,Données de mineur I-4,0,0,0,0,1,0,0
5045,Données de mineur I-5,0,0,0,0,1,0,0
5046,Données de botaniste I-1,0,0,0,0,1,0,0
5047,Données de botaniste I-2,0,0,0,0,1,0,0
5048,Données de botaniste I-3,0,0,0,0,1,0,0
5049,Données de botaniste I-4,0,0,0,0,1,0,0
5050,Données de botaniste I-5,0,0,0,0,1,0,0
5051,Données de pêcheur I-1,0,0,0,0,1,0,0
5052,Données de pêcheur I-2,0,0,0,0,1,0,0
5053,Données de pêcheur I-3,0,0,0,0,1,0,0
5054,Données de pêcheur I-4,0,0,0,0,1,0,0
5055,Données de pêcheur I-5,0,0,0,0,1,0,0
5056,Données de menuisier A-1,0,0,0,0,1,0,0
5057,Données de menuisier A-2,0,0,0,0,1,0,0
5058,Données de menuisier A-3,0,0,0,0,1,0,0
5059,Données de forgeron A-1,0,0,0,0,1,0,0
5060,Données de forgeron A-2,0,0,0,0,1,0,0
5061,Données de forgeron A-3,0,0,0,0,1,0,0
5062,Données d'armurier A-1,0,0,0,0,1,0,0
5063,Données d'armurier A-2,0,0,0,0,1,0,0
5064,Données d'armurier A-3,0,0,0,0,1,0,0
5065,Données d'orfèvre A-1,0,0,0,0,1,0,0
5066,Données d'orfèvre A-2,0,0,0,0,1,0,0
5067,Données d'orfèvre A-3,0,0,0,0,1,0,0
5068,Données de tanneur A-1,0,0,0,0,1,0,0
5069,Données de tanneur A-2,0,0,0,0,1,0,0
5070,Données de tanneur A-3,0,0,0,0,1,0,0
5071,Données de couturier A-1,0,0,0,0,1,0,0
5072,Données de couturier A-2,0,0,0,0,1,0,0
5073,Données de couturier A-3,0,0,0,0,1,0,0
5074,Données d'alchimiste A-1,0,0,0,0,1,0,0
5075,Données d'alchimiste A-2,0,0,0,0,1,0,0
5076,Données d'alchimiste A-3,0,0,0,0,1,0,0
5077,Données de cuisinier A-1,0,0,0,0,1,0,0
5078,Données de cuisinier A-2,0,0,0,0,1,0,0
5079,Données de cuisinier A-3,0,0,0,0,1,0,0
5080,Données de mineur A-1,0,0,0,0,1,0,0
5081,Données de mineur A-2,0,0,0,0,1,0,0
5082,Données de mineur A-3,0,0,0,0,1,0,0
5083,Données de botaniste A-1,0,0,0,0,1,0,0
5084,Données de botaniste A-2,0,0,0,0,1,0,0
5085,Données de botaniste A-3,0,0,0,0,1,0,0
5086,Données de pêcheur A-1,0,0,0,0,1,0,0
5087,Données de pêcheur A-2,0,0,0,0,1,0,0
5088,Données de pêcheur A-3,0,0,0,0,1,0,0
