#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Quest,Icon,Action,StackSize,Category,CastTime,CastTimeline,Timeline
2000035,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000036,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000037,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000038,bonbon de feu,bonbons de feu,Bonbon de feu,0,0,0,1,0,0,False,66704,22624,1,1,1,3,0,0
2000039,bonbon de vent,bonbons de vent,Bonbon de vent,0,0,0,1,0,0,False,66704,22625,1,1,1,3,0,0
2000040,bonbon de terre,bonbons de terre,Bonbon de terre,0,0,0,1,0,0,False,66704,22626,1,1,1,3,0,0
2000041,pouce de bombo,pouces de bombo,Pouce de bombo,0,0,0,1,0,0,False,66705,30351,1,5,1,3,0,0
2000042,citrouille lanterne,citrouilles lanternes,Citrouille lanterne,0,0,0,1,1,0,False,66706,24153,1,1,1,5,0,0
2000043,pouce de bombo,pouces de bombo,Pouce de bombo,0,0,0,1,0,0,False,66706,30351,1,1,1,3,0,0
2000044,artifice de farce,artifices de farce,Artifice de farce,0,0,1,1,0,0,False,66706,22647,1,1,1,3,0,0
2000045,bonbon de feu,bonbons de feu,Bonbon de feu,0,0,0,1,0,0,False,66700,22624,1,1,1,3,0,0
2000046,bonbon de vent,bonbons de vent,Bonbon de vent,0,0,0,1,0,0,False,66700,22625,1,1,1,3,0,0
2000047,bonbon de terre,bonbons de terre,Bonbon de terre,0,0,0,1,0,0,False,66700,22626,1,1,1,3,0,0
2000048,pouce de bombo,pouces de bombo,Pouce de bombo,0,0,0,1,0,0,False,66701,30351,1,5,1,3,0,0
2000049,citrouille lanterne,citrouilles lanternes,Citrouille lanterne,0,0,0,1,1,0,False,66702,24153,1,1,1,5,0,0
2000050,pouce de bombo,pouces de bombo,Pouce de bombo,0,0,0,1,0,0,False,66702,30351,1,1,1,3,0,0
2000051,artifice de farce,artifices de farce,Artifice de farce,0,0,1,1,0,0,False,66702,22646,1,1,1,3,0,0
2000052,bonbon de feu,bonbons de feu,Bonbon de feu,0,0,0,1,0,0,False,66708,22624,1,1,1,3,0,0
2000053,bonbon de vent,bonbons de vent,Bonbon de vent,0,0,0,1,0,0,False,66708,22625,1,1,1,3,0,0
2000054,bonbon de terre,bonbons de terre,Bonbon de terre,0,0,0,1,0,0,False,66708,22626,1,1,1,3,0,0
2000055,pouce de bombo,pouces de bombo,Pouce de bombo,0,0,0,1,0,0,False,66709,30351,1,5,1,3,0,0
2000056,citrouille lanterne,citrouilles lanternes,Citrouille lanterne,0,0,0,1,1,0,False,66710,24153,1,1,1,5,0,0
2000057,pouce de bombo,pouces de bombo,Pouce de bombo,0,0,0,1,0,0,False,66710,30351,1,1,1,3,0,0
2000058,artifice de farce,artifices de farce,Artifice de farce,0,0,1,1,0,0,False,66710,22645,1,1,1,3,0,0
2000059,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000060,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000061,fiole de solution ambrée,fioles de solutions ambrées,Solution ambrée,0,0,0,1,1,0,False,65663,20661,1,3,1,3,0,0
2000062,paire de gonades de chigoe,paires de gonades de chigoe,Gonades de chigoe,0,0,0,1,1,0,False,65664,22623,1,8,1,3,0,0
2000063,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000064,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000065,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000066,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000067,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000068,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000069,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000070,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000071,œuf d'anolis,œufs d'anolis,Œuf d'anolis,0,0,1,1,0,0,False,65661,25251,1,4,1,3,0,0
2000072,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000073,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000074,tarte à l'anguille maison,tartes à l'anguille maison,Tarte à l'anguille maison,0,0,0,1,1,0,False,65621,24305,1,1,1,3,0,0
2000075,sac de fèves,sacs de fèves,Sac de fèves,0,0,0,1,0,0,False,65639,22623,1,6,1,3,0,0
2000076,lettre parfumée,lettres parfumées,Lettre parfumée,0,0,0,1,1,0,False,65635,26151,1,1,1,3,0,0
2000077,jeune feuille de microtyugh,jeunes feuilles de microtyugh,Jeune feuille de microtyugh,0,0,0,1,1,0,False,65634,25201,1,4,1,0,0,0
2000078,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000079,lettre cachetée,lettres cachetées,Lettre cachetée,0,0,0,1,1,0,False,65560,25918,0,1,1,0,0,0
2000080,sac de rations,sacs de rations,Sac de rations,0,0,0,1,0,0,False,65570,22623,0,1,1,0,0,0
2000081,pointe en os,pointes en os,Pointe en os,0,0,0,1,1,0,False,65574,22303,0,1,1,0,0,0
2000082,pot d'huile de cire d'abeille,pots d'huile de cire d'abeille,Huile de cire d'abeille,0,0,0,1,0,0,False,65574,22636,0,1,1,0,0,0
2000083,rouleau de corde robuste,rouleaux de corde robuste,Corde robuste,0,0,0,1,0,0,False,65574,26103,0,1,1,0,0,0
2000084,baie de rosier d'Azeyma,baies de rosier d'Azeyma,Baie de rosier d'Azeyma,0,0,0,1,1,0,False,65577,25302,1,6,1,0,0,0
2000085,botte de légumes de Gysahl frais,bottes de légumes de Gysahl frais,Légume de Gysahl frais,0,0,0,1,1,0,False,66698,25218,1,1,1,3,0,0
2000086,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000087,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000088,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000089,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000090,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000091,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000092,graine de roselette,graines de roselette,Graine de roselette,0,0,0,1,1,0,False,65692,22623,1,6,1,3,0,0
2000093,toile d'acarus fraîche,toiles d'acarus fraîches,Toile d'acarus fraîche,0,0,0,1,1,0,False,65693,21664,1,6,1,3,0,0
2000094,bouteille de liqueur de frelon,bouteilles de liqueur de frelon,Liqueur de frelon,0,0,0,1,1,0,False,65694,24403,1,1,1,3,0,0
2000095,petite flammèche,petites flammèches,Petite flammèche,0,0,0,1,1,0,False,65695,30352,1,1,1,3,0,0
2000096,œuf de Leia,œufs de Leia,Œuf de Leia,0,0,1,1,0,0,False,65697,25252,1,1,1,3,0,0
2000097,lettre de Keitha,lettres de Keitha,Lettre de Keitha,0,0,0,1,1,0,False,0,25918,1,1,1,3,0,0
2000098,pot d'huile chitineuse écarlate,pots d'huile chitineuse écarlate,Huile chitineuse écarlate,0,0,0,1,0,0,False,65567,20641,1,6,1,0,0,0
2000099,sac de carcasses de frelons,sacs de carcasses de frelons,Carcasses de frelons,0,0,0,1,0,0,False,65694,22623,1,4,1,3,0,0
2000100,ale éventée,ales éventées,Ale éventée,0,0,1,1,1,0,False,65696,20643,1,3,1,3,0,0
2000101,fiole d'huile de rose d'Azeyma,fioles d'huile de rose d'Azeyma,Huile de rose d'Azeyma,0,0,0,1,1,0,False,65556,20663,1,2,1,3,0,0
2000102,pierre du courage,pierres du courage,Pierre du courage,0,0,0,1,1,0,False,65571,21451,1,1,1,0,0,0
2000103,flacon d'huile brune,flacons d'huile brune,Huile brune,0,0,0,1,0,0,False,0,22636,1,1,1,3,0,0
2000104,octant rouillé,octants rouillés,Octant rouillé,0,0,1,1,0,0,False,65644,21002,1,1,1,3,0,0
2000105,octant rouillé,octants rouillés,Octant rouillé,0,0,1,1,0,0,False,65645,21002,1,1,1,3,0,0
2000106,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000107,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000108,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000109,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000110,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000111,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000112,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000113,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000114,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000115,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000116,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000117,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000118,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000119,tarte à l'anguille maison,tartes à l'anguille maison,Tarte à l'anguille maison,0,0,0,1,1,0,False,65659,24305,1,1,1,3,0,0
2000120,tarte à l'anguille maison,tartes à l'anguille maison,Tarte à l'anguille maison,0,0,0,1,1,0,False,65660,24305,1,1,1,3,0,0
2000121,flasque d'eau claire,flasques d'eau claire,Eau claire,0,0,0,1,1,0,False,65628,22614,1,1,1,3,0,0
2000122,pierre du courage,pierres du courage,Pierre du courage,0,0,0,1,1,0,False,65679,21451,1,1,1,0,0,0
2000123,cellule magitek,cellules magitek,Cellule magitek,0,0,0,1,1,0,False,0,22625,1,99,1,0,0,0
2000124,sac d'œufs de chigoes charognards,sacs d'œufs de chigoes charognards,Sac d'œufs de chigoes charognards,0,0,0,1,0,0,False,0,22623,0,99,1,0,0,0
2000125,effet personnel du mort-vivant,effets personnels du mort-vivant,Effet personnel du mort-vivant,0,0,1,1,0,0,False,0,22623,0,99,1,0,0,0
2000126,abeille charnue,abeilles charnues,Abeille charnue,0,0,1,1,1,0,False,0,27002,0,99,1,0,0,0
2000127,feuille gluante,feuilles gluantes,Feuille gluante,0,0,0,1,1,0,False,0,25201,0,99,1,0,0,0
2000128,peau d'animal,peaux d'animaux,Peau d'animal,0,0,0,1,1,0,False,0,21002,0,99,1,0,0,0
2000129,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000130,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000131,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000132,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000133,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000134,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000135,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000136,enveloppe vierge,enveloppes vierges,Enveloppe vierge,0,0,1,1,1,0,False,65685,25918,1,1,1,3,0,0
2000137,affiche de Franz le gladiateur,affiches de Franz le gladiateur,Affiche de Franz le gladiateur,0,0,1,1,1,0,False,65689,25906,1,3,1,3,1,1
2000138,peau de musaraigne agressive,peaux de musaraigne agressive,Peau de musaraigne agressive,0,0,0,1,1,0,False,65699,21809,1,5,1,3,0,0
2000139,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000140,pile de sacs de jute tièdes,piles de sacs de jute tièdes,Sacs de jute tièdes,0,0,0,1,1,0,False,65709,22628,1,1,1,3,0,0
2000141,carnet de mesures,carnets de mesures,Carnet de mesures,0,0,0,1,0,0,False,65711,26151,1,1,1,3,0,0
2000142,céphalothorax de yarzon,céphalothorax de yarzon,Céphalothorax de yarzon,0,0,0,1,0,0,False,65733,22252,1,4,1,0,0,0
2000143,agaricus luxaeterna,agaricus luxaeterna,Agaricus luxaeterna,0,0,1,1,0,0,False,65731,25402,1,1,1,3,0,0
2000144,amas de pucerons des bois,amas de pucerons des bois,Pucerons des bois,0,0,1,1,0,0,False,65707,27003,1,1,1,3,0,0
2000145,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000146,caisse d'outils d'arpentage,caisses d'outils d'arpentage,Caisse d'outils d'arpentage,0,0,0,1,1,0,False,65711,21002,1,2,1,3,0,0
2000147,corde à treize nœuds,cordes à treize nœuds,Corde à treize nœuds,0,0,0,1,1,0,False,65711,26103,1,1,1,3,0,0
2000148,caisse de la F.C.A.O.,caisses de la F.C.A.O.,Caisse de la F.C.A.O.,0,0,0,1,1,0,False,65758,21003,1,3,1,3,0,0
2000149,bouteille d'eau de cactus,bouteilles d'eau de cactus,Eau de cactus,0,0,0,1,1,0,False,65759,20642,1,4,1,3,0,0
2000150,colis de Fafafono,colis de Fafafono,Colis de Fafafono,0,0,0,1,0,0,False,65761,21003,1,3,1,3,0,0
2000151,sac de spores de fungi empoisonnées,sacs de spores de fungi empoisonnées,Spores de fungi empoisonnées,0,0,0,1,0,0,False,0,25403,0,99,1,0,0,0
2000152,sarment rigide de microtyugh,sarments rigides de microtyugh,Sarment rigide de microtyugh,0,0,0,1,0,0,False,0,26103,0,99,1,0,0,0
2000153,aimant naturel,aimants naturels,Aimant naturel,0,0,1,1,0,0,False,65764,21209,1,3,1,3,0,0
2000154,appât en cuivre,appâts en cuivre,Appât en cuivre,0,0,1,1,0,0,False,65765,27055,1,2,1,3,0,0
2000155,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000156,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000157,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000158,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000159,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000160,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000161,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000162,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000163,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000164,pot d'huile chitineuse de coblyn,pots d'huile chitineuse de coblyn,Huile chitineuse de coblyn,0,0,0,1,0,0,False,65763,20663,1,4,1,3,0,0
2000165,lettre pour Momodi,lettres pour Momodi,Lettre pour Momodi,0,0,0,1,1,0,False,65766,25918,1,1,1,3,0,0
2000166,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000167,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000168,mandibule de fourmi ouvrière,mandibules de fourmi ouvrière,Mandibule de fourmi ouvrière,0,0,0,1,1,0,False,65841,22205,1,5,1,3,0,0
2000169,fragment d'os de bec-marteau,fragments d'os de bec-marteau,Fragment d'os de bec-marteau,0,0,0,1,0,0,False,0,22202,1,1,1,3,0,0
2000170,morceau de minerai d'argent souillé,morceaux de minerai d'argent souillés,Minerai d'argent souillé,0,0,0,1,0,0,False,0,21211,1,1,1,3,0,0
2000171,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000172,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000173,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000174,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000175,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000176,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000177,fragment d'os de bec-marteau,fragments d'os de bec-marteau,Fragment d'os de bec-marteau,0,0,0,1,0,0,False,65862,22202,1,8,1,3,0,0
2000178,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000179,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000180,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000181,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000182,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000183,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000184,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000185,vieille canne à pêche,vieilles cannes à pêche,Vieille canne à pêche,0,0,0,1,1,0,False,65921,38201,1,1,1,3,0,0
2000186,lettre d'ordres de Roseline,lettres d'ordres de Roseline,Ordres de Roseline,0,0,0,1,1,0,False,65916,26151,1,1,1,3,0,0
2000187,lettre d'ordres de Roseline,lettres d'ordres de Roseline,Ordres de Roseline,0,0,0,1,1,0,False,65916,26151,1,1,1,3,0,0
2000188,lettre d'ordres de Roseline,lettres d'ordres de Roseline,Ordres de Roseline,0,0,0,1,1,0,False,65916,26151,1,1,1,3,0,0
2000189,cruche d'eau,cruches d'eau,Cruche d'eau,0,0,0,1,1,0,False,0,25055,1,1,1,3,0,0
2000190,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000191,musette en cuir,musettes en cuir,Musette en cuir,0,0,0,1,1,0,False,65915,25919,1,1,1,3,0,0
2000192,bouquet de lys de Nymeia,bouquets de lys de Nymeia,Lys de Nymeia,0,0,0,1,0,0,False,65919,22627,1,3,1,3,0,0
2000193,prune millénaire,prunes millénaires,Prune millénaire,0,0,0,1,1,0,False,0,25308,0,99,1,0,0,0
2000194,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000195,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000196,remède d'Alewyn,remèdes d'Alewyn,Remède d'Alewyn,0,0,0,1,0,0,False,65930,20661,1,1,1,3,0,0
2000197,poterie ancienne,poteries anciennes,Poterie ancienne,0,0,0,1,1,0,False,65931,25055,1,1,1,3,0,0
2000198,pièce de petite monnaie,pièces de petite monnaie,Pièce de petite monnaie,0,0,0,1,1,0,False,65932,25919,1,5,1,3,0,0
2000199,reçu du potager royal,reçus du potager royal,Reçu du potager royal,0,0,0,1,0,0,False,65839,25906,1,1,1,3,0,0
2000200,tranche de viande d'antilope salée,tranches de viande d'antilope salée,Viande d'antilope salée,0,0,0,1,1,0,False,0,24353,1,1,1,3,0,0
2000201,bon de commande pour diadème,bons de commande pour diadème,Bon de commande pour diadème,0,0,0,1,0,0,False,65701,26151,1,1,1,3,0,0
2000202,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000203,caisse de haricots secs,caisses de haricots secs,Caisse de haricots secs,0,0,0,1,1,0,False,0,21003,1,1,1,3,0,0
2000204,petite radicelle,petites radicelles,Petite radicelle,0,0,0,1,1,0,False,0,32412,1,1,1,3,0,0
2000205,petite radicelle,petites radicelles,Petite radicelle,0,0,0,1,1,0,False,0,32412,1,1,1,3,0,0
2000206,boîte à outils de chasse,boîtes à outils de chasse,Outils de chasse,0,0,0,1,1,0,False,0,21002,1,3,1,3,0,0
2000207,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000208,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000209,tas d'entrailles d'antilope biche,tas d'entrailles d'antilope biche,Entrailles d'antilope biche,0,0,0,1,0,0,False,0,29002,1,4,1,3,0,0
2000210,jeune feuille d'otyugh,jeunes feuilles d'otyugh,Jeune feuille d'otyugh,0,0,0,1,1,0,False,0,25201,1,4,1,3,0,0
2000211,morceau de viande de musaraigne fraîche,morceaux de viande de musaraigne fraîche,Viande de musaraigne fraîche,0,0,0,1,0,0,False,65840,25155,1,2,1,3,0,0
2000212,morceau de minerai d'argent souillé,morceaux de minerai d'argent souillés,Minerai d'argent souillé,0,0,0,1,0,0,False,65843,21215,1,1,1,3,0,0
2000213,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000214,morceau de chair blanche d'orobon,morceaux de chair blanche d'orobon,Chair blanche d'orobon,0,0,0,1,0,0,False,65858,29002,1,4,1,3,0,0
2000215,bouteille de sang de conscient,bouteilles de sang de conscient,Sang de conscient,0,0,0,1,1,0,False,0,22601,1,4,1,3,0,0
2000216,caisse d'Amajina,caisses d'Amajina,Caisse d'Amajina,0,0,0,1,1,0,False,65844,21002,1,3,1,3,0,0
2000217,lettre de H'naanza,lettres de H'naanza,Lettre de H'naanza,0,0,0,1,1,0,False,65942,25918,1,1,1,3,0,0
2000218,casse-croûte de Wafufu,casse-croûtes de Wafufu,Casse-croûte de Wafufu,0,0,0,1,0,0,False,65945,22641,1,4,1,3,0,0
2000219,noyau d'élémentaire de foudre,noyaux d'élémentaire de foudre,Noyau d'élémentaire de foudre,0,0,0,1,0,0,False,65946,21265,1,3,1,3,0,0
2000220,croc de chacal en bon état,crocs de chacal en bon état,Croc de chacal en bon état,0,0,0,1,0,0,False,65947,22303,1,4,1,3,0,0
2000221,morceau de viande de dodo avariée,morceaux de viande de dodo avariée,Morceau de viande de dodo avariée,0,0,0,1,0,0,False,65952,24353,1,1,1,3,0,0
2000222,voilure du Victoire,voilures du Victoire,Voilure du Victoire,0,0,0,1,1,0,False,65951,21602,1,1,1,3,0,0
2000223,barre à roue du Victoire,barres à roue du Victoire,Barre à roue du Victoire,0,0,0,1,1,0,False,65951,21003,1,1,1,3,0,0
2000224,cordage du Victoire,cordages du Victoire,Cordage du Victoire,0,0,0,1,0,0,False,65951,20910,1,1,1,3,0,0
2000225,clochette noscéenne,clochettes noscéennes,Clochette noscéenne,0,0,0,1,1,0,False,65953,25022,1,1,1,3,0,0
2000226,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000227,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000228,tesson de poterie maculé,tessons de poterie maculés,Tesson de poterie,0,0,0,1,0,0,False,0,25054,1,5,1,3,0,0
2000229,épée mystique,épées mystiques,Épée mystique,0,0,1,1,1,0,False,65981,30426,1,1,1,3,0,0
2000230,sac d'appâts nauséabonds,sacs d'appâts nauséabonds,Appât nauséabond,0,0,0,1,0,0,False,65583,21005,1,2,1,3,0,0
2000231,sifflet en os,sifflets en os,Sifflet en os,0,0,0,1,0,0,False,0,25919,1,3,1,3,0,0
2000232,bouteille d'hydromel de Pleinefleur,bouteilles d'hydromel de Pleinefleur,Hydromel de Pleinefleur,0,0,0,1,1,0,False,65974,25057,1,1,1,3,0,0
2000233,doigt de ballon,doigts de ballon,Doigt de ballon,0,0,0,1,0,0,False,65974,25911,1,6,1,3,0,0
2000234,bon de commande froissé,bons de commande froissés,Bon de commande froissé,0,0,0,1,0,0,False,65860,26153,1,4,1,3,0,0
2000235,décoction grisâtre,décoctions grisâtre,Décoction grisâtre,0,0,0,1,1,0,False,65591,24403,1,1,1,3,0,0
2000236,défense de sanglier ensanglantée,défenses de sanglier ensanglantées,Défense de sanglier ensanglantée,0,0,0,1,1,0,False,65592,22301,1,10,1,3,0,0
2000237,caisse de marchandises,caisses de marchandises,Caisse de marchandises,0,0,0,1,1,0,False,65923,21003,1,2,1,3,0,0
2000238,citrouille royale,citrouilles royales,Citrouille royale,0,0,0,1,1,0,False,65839,25210,1,1,1,3,0,0
2000239,biscuit fantaisie au gingembre,biscuits fantaisie au gingembre,Biscuit fantaisie au gingembre,0,0,0,1,0,0,False,65856,24051,1,4,1,3,0,0
2000240,lettre de Luquelot,lettres de Luquelot,Lettre de Luquelot,0,0,0,1,1,0,False,65982,25918,1,1,1,3,0,0
2000241,tableau d'horaires des Bons filons,tableaux d'horaires des Bons filons,Tableau d'horaire des Bons filons,0,0,0,1,0,0,False,65925,26151,1,1,1,3,0,0
2000242,botte de légumes de Gysahl,bottes de légumes de Gysahl,Légumes de Gysahl,0,0,0,1,1,0,False,65910,25218,1,3,1,3,0,0
2000243,bouteille de sang de conscient,bouteilles de sang de conscient,Sang de conscient,0,0,0,1,1,0,False,65974,22601,1,1,1,3,0,0
2000244,rosaire de culte,rosaires de culte,Rosaire de culte,0,0,0,1,0,0,False,0,21265,1,99,1,0,0,0
2000245,anneau étincelant,anneaux étincelants,Anneau étincelant,0,0,1,1,0,0,False,65687,54421,1,1,1,3,0,0
2000246,caisse de boulettes d'écrevisse fumée,caisses de boulettes d'écrevisse fumée,Boulettes d'écrevisse fumée,0,0,0,1,1,0,False,65922,21003,1,1,1,3,0,0
2000247,sac de fèves de Mun-Tuy,sacs de fèves de Mun-Tuy,Fèves de Mun-Tuy,0,0,0,1,0,0,False,65922,22628,1,1,1,3,0,0
2000248,armure de plates neuve,armures de plates neuves,Armure de plates neuve,0,0,1,1,1,0,False,65922,48008,1,1,1,3,0,0
2000249,lettre de Miounne,lettres de Miounne,Lettre de Miounne,0,0,0,1,1,0,False,65983,25918,1,1,1,3,0,0
2000250,boîte en paulownia,boîtes en paulownia,Boîte en paulownia,0,0,0,1,1,0,False,65984,21002,1,1,1,3,0,0
2000251,fourrure d'animal,fourrures d'animaux,Fourrure d'animal,0,0,0,1,1,0,False,0,23001,0,99,1,0,0,0
