#,Name,SeparateType,DataType,JournalSection,MapCondition
105,Mandats d'armurier,3,2,8,0
106,Mandats d'orfèvre,3,2,8,0
107,Mandats de tanneur,3,2,8,0
108,Mandats de couturier,3,2,8,0
109,Mandats d'alchimiste,3,2,8,0
110,Mandats de cuisinier,3,2,8,0
111,Mandats ishgardais de mercenariat,3,2,8,0
112,Mandats ishgardais de mineur,3,2,8,0
113,Mandats ishgardais de botaniste,3,2,8,0
114,Mandats ishgardais de pêcheur,3,2,8,0
115,Mandats ishgardais de menuisier,3,2,8,0
116,Mandats ishgardais de forgeron,3,2,8,0
117,Mandats ishgardais d'armurier,3,2,8,0
118,Mandats ishgardais d'orfèvre,3,2,8,0
119,Mandats ishgardais de tanneur,3,2,8,0
120,Mandats ishgardais de couturier,3,2,8,0
121,Mandats ishgardais d'alchimiste,3,2,8,0
122,Mandats ishgardais de cuisinier,3,2,8,0
123,Mandats de faction,2,2,8,0
124,Mandats de compagnie,2,2,8,0
125,Missions de A Real Reborn,2,3,9,0
126,Missions de Heavensward,2,3,9,0
127,Missions de Stormblood,2,3,9,0
128,Missions de Shadowbringers,2,3,9,0
129,Missions d'Endwalker,2,3,9,0
130,Missions de Dawntrail,2,3,9,0
131,Quêtes Legacy,2,4,7,0
