#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
7.0,0.201,0.349,0.056,0.301,0,0.197,27,2,0,255,255,255,1
7.1,0.257,0.27,0.057,0.251,0,0.169,28,2,0,255,255,0,2
7.2,0.346,0.268,0.055,0.213,0,0.15,29,2,0,255,255,1,3
7.3,0.495,0.22,0.052,0.23,0,0.157,30,2,0,255,255,2,4
7.4,0.574,0.322,0.051,0.175,0,0.127,31,2,0,255,255,3,5
7.5,0.73,0.062,0.178,0.433,0,0.263,32,2,0,255,255,4,255
8.0,0.235,0.42,0.1,0.13,-0.01,0.05,33,2,0,255,255,255,1
8.1,0.375,0.375,0.155,0.195,0,0.1,34,2,0,255,255,0,2
8.2,0.668,0.38,0.075,0.225,0,0.125,35,2,0,255,255,1,3
8.3,0.83,0.25,0.175,0.725,0,0.39,36,2,0,255,255,2,255
9.0,0.196,0.128,0.217,0.475,-0.023,0.238,37,2,0,255,4,255,2
9.1,0.46,0.507,0.083,0.116,0,0.08,38,2,1,2,5,4,5
9.2,0.523,0.161,0.107,0.096,0.019,0.071,39,2,0,255,1,0,3
9.3,0.666,0.225,0.141,0.216,0.008,0.152,40,2,0,2,5,2,5
9.4,0.323,0.568,0.448,0.183,-0.132,0.132,41,2,0,0,5,0,1
9.5,0.79,0.686,0.096,0.244,0,0.136,42,2,0,3,255,1,255
10.0,0.526,0.547,0.131,0.186,-0.002,0.12,43,2,0,255,255,1,2
10.1,0.271,0.317,0.305,0.27,-0.034,0.154,44,2,0,255,0,255,3
10.2,0.685,0.451,0.225,0.216,0.02,0.124,45,2,0,3,255,0,255
10.3,0.68,0.203,0.192,0.181,0.004,0.079,46,2,0,255,2,1,255
11.0,0.425,0.319,0.063,0.097,0,0.017,48,2,0,12,3,255,1
11.1,0.5,0.319,0.063,0.097,0,0.017,49,2,0,12,4,0,2
11.2,0.572,0.319,0.063,0.097,0,0.017,50,2,0,12,5,1,255
11.3,0.425,0.45,0.063,0.097,0,0.017,51,2,0,0,6,255,4
11.4,0.5,0.45,0.063,0.097,0,0.017,52,2,0,1,7,3,5
11.5,0.572,0.45,0.063,0.097,0,0.017,53,2,0,2,8,4,255
11.6,0.425,0.581,0.063,0.097,0,0.017,54,2,0,3,9,255,7
11.7,0.5,0.581,0.063,0.097,0,0.017,55,2,0,4,10,6,8
11.8,0.572,0.581,0.063,0.097,0,0.017,56,2,0,5,11,7,255
11.9,0.425,0.724,0.063,0.097,0,0.017,58,2,0,6,255,255,10
11.10,0.5,0.724,0.063,0.097,0,0.017,47,2,0,7,255,9,11
11.11,0.572,0.724,0.063,0.097,0,0.017,59,2,0,8,13,10,13
11.12,0.501,0.189,0.173,0.078,0,0.017,57,2,0,255,1,0,2
11.13,0.666,0.907,0.129,0.265,0.108,0.522,60,1,0,11,255,11,255
12.0,0.492,0.206,0.078,0.121,0,0.034,61,2,0,255,1,255,2
12.1,0.502,0.596,0.078,0.121,0,0.034,62,2,0,0,255,255,3
12.2,0.611,0.32,0.065,0.121,0,0.034,63,2,0,255,3,0,255
12.3,0.599,0.699,0.139,0.056,-0.014,0.017,64,2,0,2,4,1,4
12.4,0.666,0.907,0.129,0.265,0.108,0.522,65,1,0,3,255,3,255
13.0,0.258,0.118,0.169,0.25,0,0.139,66,2,0,255,1,255,255
13.1,0.331,0.448,0.065,0.105,0,0.071,67,2,0,0,4,255,2
13.2,0.43,0.448,0.129,0.105,0,0.071,68,2,0,0,4,1,3
13.3,0.635,0.519,0.057,0.124,0,0.09,69,2,0,0,4,2,5
13.4,0.443,0.677,0.482,0.237,0,0.144,70,2,0,2,255,255,255
13.5,0.758,0.551,0.123,0.336,0,0.186,71,2,0,0,4,3,255
14.0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
14.2,0,0,0,0,0,0,0,0,0,0,0,0,0
14.3,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.1,0,0,0,0,0,0,0,0,0,0,0,0,0
15.2,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,0.524,0.712,0.396,0.268,0.001,0.152,81,2,0,3,255,4,7
16.1,0.517,0.149,0.375,0.319,-0.031,0.07,82,2,0,255,3,3,6
16.2,0.168,0.248,0.166,0.424,0,0.228,83,2,0,255,4,255,3
16.3,0.391,0.354,0.066,0.124,0,0.106,84,2,0,1,0,2,1
16.4,0.247,0.697,0.136,0.108,0.005,0.08,85,2,0,2,255,255,0
16.5,0.83,0.228,0.052,0.125,0,0.101,86,2,0,6,7,6,255
16.6,0.767,0.166,0.062,0.104,0,0.086,87,2,0,255,5,1,5
16.7,0.79,0.539,0.147,0.423,0.014,0.239,88,2,0,5,255,0,255
17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3,0,0,0,0,0,0,0,0,0,0,0,0,0
17.4,0,0,0,0,0,0,0,0,0,0,0,0,0
