#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
69,Harmonie,harmonieux,,,,,60267
70,Harmonie,harmonieux,,,,,60267
71,Hors du temps,atemporel,,,,,60268
72,Hors du temps,atemporel,,,,,60268
73,Hors du temps,atemporel,,,,,60268
74,Infini démoniaque,démoniaquement infini,,,,,60269
75,Infini démoniaque,démoniaquement infini,,,,,60269
76,Infini démoniaque,démoniaquement infini,,,,,60269
77,Perturbation dimensionnelle,perturbé sur le plan dimensionnel,,,,,60274
78,Perturbation dimensionnelle,perturbé sur le plan dimensionnel,,,,,60274
79,Perturbation dimensionnelle,perturbé sur le plan dimensionnel,,,,,60274
80,Tempête festive,tempêtueusement festif,,,,,60271
81,Tempête festive,tempêtueusement festif,,,,,60271
82,Béatitude éternelle,baigné par la béatitude éternelle,,,,,60270
83,Béatitude éternelle,baigné par la béatitude éternelle,,,,,60270
84,Tempête draconique,anormalement tempêtueux,,,,,60272
85,Tempête draconique,anormalement tempêtueux,,,,,60272
86,Tempête festive,tempêtueusement festif,,,,,60271
87,Vif-orage,vif-orageux,,,,,60273
88,Orages,orageux,,,,,60209
89,Perturbation dimensionnelle,perturbé sur le plan dimensionnel,,,,,60274
90,Clair,ensoleillé,,,,,60202
91,Dégagé,radieux,,,,,60201
92,Tempête blanche,tempêtueux,,,,,60275
93,Tempête blanche,tempêtueux,,,,,60275
94,Tempête blanche,tempêtueux,,,,,60275
95,Fantasmagorique,fantasmagorique,,,,,60277
96,Tempête blanche,tempêtueux,,,,,60275
97,Clair de lune,baigné par un beau clair de lune,,,,,60276
98,Clair de lune,baigné par un beau clair de lune,,,,,60276
99,Clair de lune,baigné par un beau clair de lune,,,,,60276
100,Clair de lune,baigné par un beau clair de lune,,,,,60276
101,Lune rouge,baigné par le clair d'une lune rougeoyante,,,,,60293
102,Vermillon,vermillon,,,,,60278
103,Vermillon,vermillon,,,,,60278
104,Vermillon,vermillon,,,,,60278
105,Clair,ensoleillé,,,,,60202
106,Clair,ensoleillé,,,,,60202
107,Clair,ensoleillé,,,,,60202
108,Clair,ensoleillé,,,,,60202
109,Flammes,enflammé,,,,,60279
110,Raz-de-marée,détrempé,,,,,60280
111,Tornade,tourbillonant,,,,,60281
112,Séisme,tremblant,,,,,60282
113,Azur,azur,,,,,60283
114,Azur,azur,,,,,60283
115,Azur,azur,,,,,60283
116,Turbulences ombrales,affecté par des turbulences ombrales,,,,,60284
117,Azur,azur,,,,,60283
118,Clarté éternelle,nimbé de Lumière,,,,,60221
119,Vents violents,très venteux,,,,,60253
120,Apocalypse,apocalyptique,,,,,60287
121,Apocalypse,apocalyptique,,,,,60287
122,Rêverie,onirique,,,,,60285
123,Rêverie,onirique,,,,,60285
124,Rêverie,onirique,,,,,60285
125,Radiance divine,divin,,,,,60286
126,Radiance divine,divin,,,,,60286
127,Apocalypse,apocalyptique,,,,,60287
128,Apocalypse,apocalyptique,,,,,60287
129,Clarté éternelle,nimbé de Lumière,,,,,60221
130,Éruptions,éruptif,,,,,60254
131,Apocalypse,apocalyptique,,,,,60287
132,Clair,ensoleillé,,,,,60202
133,Vent ombral de feu,venteux et nimbé de feu,,,,,60288
134,Vent ombral de terre,venteux et nimbé de terre,,,,,60289
135,Vent ombral de foudre,venteux et nimbé de foudre,,,,,60290
136,Vent ombral des tempêtes,venteux et tempétueux,,,,,60291
137,Pluie d'étoiles,météoritique,,,,,60296
138,Tempête de souvenirs,bouillonnant de souvenirs,,,,,60294
139,Couvert,couvert,,,,,60203
140,Couvert,couvert,,,,,60203
141,Rayonnement,rayonnant,,,,,60260
142,Rayonnement,rayonnant,,,,,60260
143,Orageux,menaçant,,,,,60259
144,Tempête de feu,tempêteux,,,,,60295
145,Courant spectral,spectral,,,,,60292
146,,,,,,,0
147,Fatidique,fatidique,,,,,60297
148,Tempêtes de régolithe,tempêteux,,,,,60222
149,Astromagnétique,astromagnétique,,,,,60223
150,Apocalypse,apocalyptique,,,,,60224
151,Polarisation,polarisé,,,,,60298
152,Polarisation,polarisé,,,,,60298
153,Polarisation,polarisé,,,,,60298
154,Polarisation,polarisé,,,,,60298
155,Polarisation,polarisé,,,,,60298
156,Virtuel,virtuel,,,,,60225
157,Pandæmonium,pandæmoniaque,,,,,60228
158,Pandæmonium,pandæmoniaque,,,,,60228
159,Pandæmonium,pandæmoniaque,,,,,60228
160,Eschatologique,eschatologique,,,,,60299
161,Désespoir,désespérant,,,,,60229
162,Mythologique,mythologique,,,,,60230
163,Mythologique,mythologique,,,,,60230
164,Mythologique,mythologique,,,,,60230
165,Mythologique,mythologique,,,,,60230
166,Mythologique,mythologique,,,,,60230
167,Mythologique,mythologique,,,,,60230
168,Mythologique,mythologique,,,,,60230
169,Mythologique,mythologique,,,,,60230
170,Tempête de haine,frappé par une tempête de haine,,,,,60266
171,Néant,vide,,,,,60231
172,Néant,vide,,,,,60231
173,Néant,vide,,,,,60231
174,Perturbation dimensionnelle,perturbé sur le plan dimensionnel,,,,,60274
175,Perturbation dimensionnelle,perturbé sur le plan dimensionnel,,,,,60274
176,Perturbation dimensionnelle,perturbé sur le plan dimensionnel,,,,,60274
177,Pandæmonium,pandæmoniaque,,,,,60228
178,Pandæmonium,pandæmoniaque,,,,,60228
179,Imaginaire,imaginaire,,,,,60232
180,Néant,vide,,,,,60231
181,Ombrageux,ombrageux,,,,,60233
182,Ombrageux,ombrageux,,,,,60233
183,Virtuel,virtuel,,,,,60234
184,Virtuel,virtuel,,,,,60234
185,Virtuel,virtuel,,,,,60234
186,Virtuel,virtuel,,,,,60234
187,Mémoriel,mémoriel,,,,,60235
188,Brume spectrale,fantomatique,,,,,60236
189,Virtuel,virtuel,,,,,60234
190,Fantasmes,fantasmatique,,,,,60238
191,Illusions,illusoire,,,,,60239
192,Mirages,miragineux,,,,,60240
193,Malsain,malsain,,,,,60237
194,Pluie de météorites,météorique,,,,,60241
195,Pluie de météorites,météorique,,,,,60241
196,Tempête magnétique,astromagnétique,,,,,60223
197,Nuages de spores,sporagineux,,,,,60242
198,Atmosphère mortifère,mortifère,,,,,60243
199,Atmosphère mortifère,mortifère,,,,,60243
200,Atmosphère mortifère,mortifère,,,,,60243
201,Courants glaciaux,glacial,,,,,60244
202,Pluie de verre,frappé par une pluie de débris de verre,,,,,60245
203,Orages,orageux,,,,,60209
204,Orages,orageux,,,,,60209
205,Fluctuations gravitationnelles,affecté par des fluctuations gravitationnelles,,,,,60246
206,Tempête de bulles,frappé par une tempête de bulles,,,,,60247
