#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
25,Honneurs,Attribuer 5 fois des honneurs à un équipier.,0,61817,5,10,1000,1083800,0,160,1,5,5,3
26,Récolte,Récolter un total de 100 objets de niveau proche en tant que botaniste ou mineur.,0,61815,100,5,1000,0,0,0,5,4,5,3
27,Récoltes supplémentaires,Obtenir 30 fois une récolte supplémentaire sur un point de récolte de niveau proche en tant que botaniste ou mineur.,0,61815,30,5,2000,0,0,0,5,5,5,3
28,Pêche,Totaliser 30 prises en pêche.,0,61815,30,5,1000,0,0,0,5,6,5,3
29,Pêche énorme,Totaliser 10 prises énormes en pêche.,0,61815,10,5,2000,0,0,0,5,7,5,3
30,Synthèse,Réaliser 30 synthèses.,0,61816,30,10,1000,0,0,0,5,1,5,3
31,Synthèse (HQ),Réaliser 20 synthèses de haute qualité.,0,61816,20,10,2000,0,0,0,5,2,5,3
32,,,0,0,0,0,0,0,0,0,0,0,0,0
33,Servants : tâches accomplies,Faire accomplir un total de 10 tâches à ses servants.,0,61818,10,0,1000,0,0,168,9,1,0,3
34,Servants : missions d'exploration,Faire accomplir un total de 15 missions d'exploration à ses servants.,0,61818,15,0,4000,0,0,169,9,2,0,3
35,Front : participations,Participer 7 fois au Front.,0,61806,7,0,1000,0,0,176,2,3,0,9
36,Front : victoires,Gagner 3 fois une bataille au Front.,0,61806,3,0,1000,0,0,176,2,4,0,9
37,Mini-jeux : réussites,Réussir 3 fois aux mini-jeux.,0,61820,3,0,1000,0,0,201,10,1,0,8
38,Mini-jeux : PGS obtenus,Obtenir 100 PGS en jouant aux mini-jeux.,0,61820,100,0,1500,0,0,201,10,2,0,8
39,JACTA : participations,Participer 5 fois aux JACTA.,0,61820,5,0,5000,0,0,201,10,3,0,8
40,JACTA : réussites,Réussir 3 JACTA.,0,61820,3,0,8000,0,0,201,10,4,0,8
41,Courses de chocobos : participations I,Participer 3 fois aux courses de chocobos.,0,61820,3,0,5000,0,0,196,10,5,0,8
42,Courses de chocobos : participations II,Participer 20 fois aux courses de chocobos.,0,61820,20,0,8000,0,0,196,10,6,0,8
43,Courses de chocobos : victoires I,Gagner 1 course de chocobos.,0,61820,1,0,5000,0,0,196,10,7,0,8
44,Courses de chocobos : victoires II,Gagner 10 courses de chocobos.,0,61820,10,0,8000,0,0,196,10,8,0,8
45,Triple Triade : matches,Faire 10 matches de Triple Triade.,0,61820,10,0,5000,0,0,199,10,9,0,8
46,Triple Triade : victoires,Gagner 10 matches de Triple Triade.,0,61820,10,0,8000,0,0,199,10,10,0,8
47,Choc des mascottes : matchs II,Faire 3 matchs de Choc des mascottes.,0,61820,3,0,10000,0,0,224,10,15,0,8
48,Carnet d'objectifs V,Réussir 30 objectifs différents du carnet.,0,61810,30,0,15000,0,30,0,12,5,0,3
49,Arène Triple Triade : matches,Faire 5 matches à l'intérieur de l'arène Triple Triade.,0,61820,5,0,2500,0,0,200,10,11,0,8
50,Arène Triple Triade : victoires,Gagner 3 matches à l'intérieur de l'arène Triple Triade.,0,61820,3,0,3000,0,0,200,10,12,0,8
51,Commandes spéciales,Livrer 6 commandes spéciales.,0,61827,6,0,1000,0,60,219,5,10,0,3
52,Pêche au harpon,Totaliser 50 prises en pêche au harpon.,0,61815,50,5,1000,0,0,241,5,8,5,3
53,Pêche au harpon énorme,Totaliser 20 prises énormes en pêche au harpon.,0,61815,20,5,2000,0,0,241,5,9,5,3
54,Ailes rivales : participations,Participer à 10 batailles des Ailes rivales.,0,61806,10,0,1000,0,0,240,2,5,0,9
55,Ailes rivales : victoires,Remporter 5 victoires aux Ailes rivales.,0,61806,5,0,1000,0,0,240,2,6,0,9
56,"Eurêka : Foudre interdite, glace interdite I",Vaincre 30 ennemis de foudre ou de glace dont le niveau élémentaire n'est pas inférieur au sien de plus de deux niveaux.,0,61833,30,5,1000,0,0,251,13,9,10,3
57,"Eurêka : Foudre interdite, glace interdite II",Vaincre 60 ennemis de foudre ou de glace dont le niveau élémentaire n'est pas inférieur au sien de plus de deux niveaux.,0,61833,60,15,1000,0,0,251,13,10,10,3
58,"Eurêka : Feu interdit, terre interdite I",Vaincre 30 ennemis de feu ou de terre dont le niveau élémentaire n'est pas inférieur au sien de plus de deux niveaux.,0,61833,30,5,1000,0,0,251,13,11,10,3
59,"Eurêka : Feu interdit, terre interdite II",Vaincre 60 ennemis de feu ou de terre dont le niveau élémentaire n'est pas inférieur au sien de plus de deux niveaux.,0,61833,60,15,1000,0,0,251,13,12,10,3
60,"Eurêka : Eau interdite, vent interdit I",Vaincre 30 ennemis d'eau ou de vent dont le niveau élémentaire n'est pas inférieur au sien de plus de deux niveaux.,0,61833,30,5,1000,0,0,251,13,13,10,3
61,"Eurêka : Eau interdite, vent interdit II",Vaincre 60 ennemis d'eau ou de vent dont le niveau élémentaire n'est pas inférieur au sien de plus de deux niveaux.,0,61833,60,15,1000,0,0,251,13,14,10,3
62,"Eurêka : Os interdit, cendre interdite I",Vaincre 20 ennemis morts-vivants ou de cendre dont le niveau élémentaire est égal ou supérieur au sien.,0,61833,20,5,1000,0,0,251,13,15,10,3
63,"Eurêka : Os interdit, cendre interdite II",Vaincre 40 ennemis morts-vivants ou de cendre dont le niveau élémentaire est égal ou supérieur au sien.,0,61833,40,15,1000,0,0,251,13,16,10,3
64,Eurêka : Élémentaire interdit I,Vaincre 10 élémentaires dont le niveau élémentaire est égal ou supérieur au sien.,0,61833,10,5,1000,0,0,251,13,17,10,3
65,Eurêka : Élémentaire interdit II,Vaincre 20 élémentaires dont le niveau élémentaire est égal ou supérieur au sien.,0,61833,20,15,1000,0,0,251,13,18,10,3
66,Choc des mascottes : matchs I,Faire 1 match de Choc des mascottes.,0,61820,1,0,5000,0,0,224,10,14,0,8
67,Choc des mascottes : matchs III,Faire 5 matchs de Choc des mascottes.,0,61820,5,0,12000,0,0,224,10,16,0,8
68,Missions d'incursion : réussites,Accomplir un total de 3 missions d'incursion.,372,61812,3,0,5000,0,0,0,8,3,0,6
69,Mahjong domien : parties,Participer à 2 parties classées de mahjong domien.,68737,61820,2,0,5000,0,0,0,10,17,0,8
70,ALÉA : médaille d'or I,Accomplir 5 ALÉA en obtenant la meilleure évaluation.,0,61809,5,15,1000,1625700,0,0,3,1,5,3
71,ALÉA : médaille d'or II,Accomplir 10 ALÉA en obtenant la meilleure évaluation.,0,61809,10,15,2000,1625700,0,0,3,2,5,3
72,Recyclage,"Recycler 5 objets.
* Bonus d'expérience octroyé uniquement aux classes d'artisanat.",95,61816,5,10,2000,0,0,0,5,3,5,3
73,Triple Triade : tournoi officiel,Participer à un tournoi officiel de Triple Triade et recevoir une récompense.,69566,61820,1,0,3000,0,0,0,10,13,0,8
74,Félicité insulaire : matériaux obtenus,Obtenir 100 matériaux sur la Félicité insulaire.,70179,61847,100,0,1000,0,0,0,11,11,0,11
75,Félicité insulaire : biens insulaires produits,Avoir produit et vendu 20 biens insulaires.,70179,61847,20,0,1000,0,0,0,11,12,0,11
76,Croissant déchiré I,Vaincre 30 ennemis d'un niveau de savoir égal ou supérieur au sien.,70847,61851,30,30,140,0,0,0,13,1,12,13
77,Croissant déchiré II,Vaincre 60 ennemis d'un niveau de savoir égal ou supérieur au sien.,70847,61851,60,70,240,0,0,0,13,2,12,13
78,Critique facile I,Remporter 8 confrontations critiques sur l'île de Lunule.,70847,61851,8,30,140,0,0,0,13,3,12,13
79,Critique facile II,Remporter 15 confrontations critiques sur l'île de Lunule.,70847,61851,15,70,240,0,0,0,13,4,12,13
80,Aléas insulaires I,Accomplir 10 ALÉA sur l'île de Lunule.,70847,61851,10,30,140,0,0,0,13,5,12,13
81,Aléas insulaires II,Accomplir 20 ALÉA sur l'île de Lunule.,70847,61851,20,70,240,0,0,0,13,6,12,13
82,Lunule déchaînée I,Réussir une chaîne de 20 sur l'île de Lunule.,70847,61851,1,30,140,0,0,0,13,7,12,13
83,Lunule déchaînée II,Réussir une chaîne de 40 sur l'île de Lunule.,70847,61851,1,70,240,0,0,0,13,8,12,13
84,Sanctuaire des pèlerins : progression I,Conquérir la 20e zone du Sanctuaire des pèlerins.,70941,61824,1,7,0,0,0,0,14,1,14,0
85,Sanctuaire des pèlerins : progression II,Conquérir la 30e zone du Sanctuaire des pèlerins.,70941,61824,1,2,0,0,0,0,14,2,15,0
86,Sanctuaire des pèlerins : progression III,Conquérir la 50e zone du Sanctuaire des pèlerins.,70942,61824,1,8,0,0,0,0,14,3,14,0
87,Sanctuaire des pèlerins : progression IV,Conquérir la 70e zone du Sanctuaire des pèlerins.,70942,61824,1,3,0,0,0,0,14,4,15,0
88,Sanctuaire des pèlerins : progression V,Conquérir la 100e zone du Sanctuaire des pèlerins.,70942,61824,1,10,0,0,0,0,14,5,14,0
89,,,0,0,0,0,0,0,0,0,0,0,0,0
90,,,0,0,0,0,0,0,0,0,0,0,0,0
91,,,0,0,0,0,0,0,0,0,0,0,0,0
92,,,0,0,0,0,0,0,0,0,0,0,0,0
93,,,0,0,0,0,0,0,0,0,0,0,0,0
94,,,0,0,0,0,0,0,0,0,0,0,0,0
95,,,0,0,0,0,0,0,0,0,0,0,0,0
96,,,0,0,0,0,0,0,0,0,0,0,0,0
97,,,0,0,0,0,0,0,0,0,0,0,0,0
98,,,0,0,0,0,0,0,0,0,0,0,0,0
99,,,0,0,0,0,0,0,0,0,0,0,0,0
100,,,0,0,0,0,0,0,0,0,0,0,0,0
101,,,0,0,0,0,0,0,0,0,0,0,0,0
102,,,0,0,0,0,0,0,0,0,0,0,0,0
103,,,0,0,0,0,0,0,0,0,0,0,0,0
