#,BackImage,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
6.7,71838,200,245,0,False,True,False
6.8,71839,245,274,0,False,True,False
6.9,71840,274,300,0,False,True,False
6.10,71841,300,326,0,False,True,False
6.11,71842,326,350,0,False,True,False
6.12,71843,350,372,0,False,True,False
6.13,71844,372,412,0,False,True,False
6.14,71845,412,451,0,False,True,False
6.15,71846,451,474,0,False,True,False
6.16,71847,474,514,0,False,True,False
6.17,71848,514,544,0,False,True,False
6.18,71849,544,571,0,False,True,False
6.19,71850,571,601,0,False,True,False
6.20,71851,601,621,0,False,True,False
6.21,71852,621,648,0,False,True,False
6.22,71853,648,677,0,False,True,False
6.23,71854,677,712,0,False,True,False
6.24,71855,712,734,0,False,True,False
6.25,71856,734,770,0,False,True,False
6.26,71875,770,810,0,False,True,False
6.27,71876,810,847,0,False,True,False
6.28,71877,847,869,0,False,True,False
6.29,71878,869,891,0,False,True,False
6.30,71879,891,918,0,False,True,False
6.31,71880,918,946,0,False,True,False
6.32,71881,946,980,0,False,True,False
6.33,71882,980,1013,0,False,True,False
6.34,71883,1013,1039,0,False,True,False
6.35,71884,1039,1070,0,False,True,False
6.36,71885,1070,1099,0,False,True,False
6.37,71886,1099,1138,0,False,True,False
6.38,71887,1138,1170,0,False,True,False
6.39,71762,1170,1200,0,False,True,False
6.40,71764,1200,1240,0,False,True,False
6.41,71774,1240,1268,0,False,True,False
6.42,71780,1268,1308,0,False,True,False
6.43,71784,1308,1336,0,False,True,False
6.44,71789,1336,1354,0,False,True,False
6.45,71796,1354,1402,0,False,True,False
6.46,71795,1402,1436,0,False,True,False
6.47,71794,1436,1470,0,False,True,False
6.48,71811,1470,1498,0,False,True,False
6.49,71816,1498,1527,0,False,True,False
6.50,71818,1527,1556,0,False,True,False
6.51,71821,1556,1590,0,False,True,False
6.52,71857,1590,1617,0,False,True,False
6.53,71858,1617,1654,0,False,True,False
6.54,71859,1654,1673,0,False,True,False
6.55,71860,1673,1692,0,False,True,False
6.56,71861,1692,1710,0,False,True,False
6.57,71862,1710,1733,0,False,True,False
6.58,71863,1733,1751,0,False,True,False
6.59,71864,1751,1769,0,False,True,False
6.60,71865,1769,1796,0,False,True,False
6.61,71866,1796,1820,0,False,True,False
6.62,71867,1820,1853,0,False,True,False
6.63,71868,1853,1874,0,False,True,False
6.64,71869,1874,1894,0,False,True,False
6.65,71870,1894,1915,0,False,True,False
6.66,71871,1915,1936,0,False,True,False
6.67,71872,1936,1967,0,False,True,False
6.68,71873,1967,2003,0,False,True,False
6.69,71874,2003,2028,0,False,True,False
6.70,0,2028,2069,0,False,True,False
7.0,0,1,85,4,True,True,False
7.1,0,0,0,0,False,True,False
7.2,0,0,0,0,False,True,False
8.0,71891,17,34,5,False,True,False
8.1,71892,34,52,0,False,True,False
8.2,71893,52,68,0,False,True,False
8.3,71894,68,86,0,False,True,False
8.4,71895,86,102,0,False,True,False
8.5,71896,102,119,0,False,True,False
8.6,71897,119,135,0,False,True,False
8.7,71898,135,151,0,False,True,False
8.8,71899,151,170,0,False,True,False
8.9,71900,170,195,0,False,True,False
8.10,71901,195,212,0,False,True,False
8.11,0,212,216,6,False,True,False
8.12,0,216,220,1,False,True,False
8.13,71902,220,262,0,False,True,False
8.14,71903,262,296,0,False,True,False
8.15,71904,296,334,0,False,True,False
8.16,71905,334,379,0,False,True,False
8.17,71906,379,416,0,False,True,False
8.18,71907,416,443,0,False,True,False
8.19,71908,443,476,0,False,True,False
8.20,71909,476,520,0,False,True,False
8.21,71910,520,557,0,False,True,False
8.22,71911,557,599,0,False,True,False
8.23,71912,599,638,0,False,True,False
8.24,71913,638,685,0,False,True,False
8.25,71914,685,728,0,False,True,False
8.26,71915,728,769,0,False,True,False
8.27,71916,769,820,0,False,True,False
8.28,71917,820,860,0,False,True,False
8.29,71918,860,907,0,False,True,False
8.30,71919,907,939,0,False,True,False
8.31,71920,939,979,0,False,True,False
8.32,71921,979,1020,0,False,True,False
8.33,71922,1020,1052,0,False,True,False
8.34,71923,1052,1090,0,False,True,False
8.35,71924,1090,1129,0,False,True,False
8.36,71925,1129,1170,0,False,True,False
8.37,71926,1170,1206,0,False,True,False
8.38,71927,1206,1252,0,False,True,False
9.0,71931,21,59,38,False,True,False
9.1,71932,59,100,41,False,True,False
9.2,71933,100,136,36,False,True,False
9.3,71934,136,174,38,False,True,False
9.4,71935,174,210,36,False,True,False
9.5,71936,210,268,58,False,True,False
9.6,71937,268,318,50,False,True,False
9.7,71938,318,365,47,False,True,False
9.8,71939,365,403,38,False,True,False
9.9,71940,403,440,37,False,True,False
9.10,71941,440,479,39,False,True,False
9.11,71942,479,512,33,False,True,False
9.12,71943,512,560,48,False,True,False
9.13,71944,560,612,52,False,True,False
9.14,71945,612,643,31,False,True,False
9.15,71946,643,685,42,False,True,False
9.16,71947,685,715,30,False,True,False
9.17,71948,715,751,36,False,True,False
9.18,71949,751,806,55,False,True,False
9.19,71950,806,849,43,False,True,False
9.20,71951,849,899,50,False,True,False
9.21,71952,899,932,33,False,True,False
9.22,71953,932,973,41,False,True,False
9.23,71954,973,1007,34,False,True,False
9.24,71955,1007,1041,34,False,True,False
9.25,71956,1041,1087,46,False,True,False
9.26,71957,1101,1160,59,False,True,False
9.27,71958,1160,1222,62,False,True,False
