#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
35,Ferveur des anciens,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
36,Charge énergétique,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
37,Progression du piratage,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
38,Déluge de Lumière,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
39,Charge énergétique,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
40,Éther de Dalamud,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
41,Transcendance,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
42,Puissance magique de la mère porxie,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
43,Souvenirs de Gaïa,,35,50,0,0,2,3,1,1,1,False
44,Résistance de Za Da,,-1,-1,0,0,3,0,0,1,1,False
45,Éther accumulé,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
46,Chaos,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
47,Désespoir,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
48,Déploiement de la Lice cardinale,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
49,Méfiance des soldats,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
50,Puissance de Zordiarche,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
51,Éther accumulé,ContentGaugeMax_negative,100,-1,0,0,4,2,0,1,1,True
52,,,0,0,0,0,0,0,0,0,0,False
53,Emprise de Nidhogg,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
54,,,600,900,0,1,0,0,0,1,1,True
55,Puissance magique de Fafner,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
56,Puissance magique du protophénix,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
57,Éther de Venat,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
58,Énergie de l'épée de Gaius,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
59,Éther de Midgardsormr,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
60,Puissance magique de Scarmiglione,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
61,Puissance magique de Lahabrea,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
62,Puissance magique de Nidhogg,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
63,Estomac de Proto-Carbuncle,,30,50,0,0,2,3,1,1,1,False
64,Résistance de la couche externe de la barrière magique,,30,70,0,0,2,3,1,1,1,False
65,Résistance des troupes,,30,70,0,0,2,3,1,1,1,False
66,Puissance magique de Cagnazzo,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
67,Résistance de la couche intermédiaire de la barrière magique,,30,70,0,0,2,3,1,1,1,False
68,Résistance de la couche interne de la barrière magique,,30,70,0,0,2,3,1,1,1,False
69,Puissance magique de Rubicante,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
70,Puissance magique d'Andromalius,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
71,Puissance magique du Primo-Ascien,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
72,Gel de Halone,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
73,Puissance magique de Menphina,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
74,Puissance magique d'Athéna,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
75,Énergie accumulée,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
76,Éther condensé,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
77,Démon à neuf queues,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
78,,,60,180,0,1,0,0,0,1,1,True
79,Énergie électrique de Gwyddrud,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
80,Résistance d'Otis,,30,70,0,0,2,3,1,1,1,False
81,Marque de calamité,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
82,Puissance magique d'Iq Soq Xmajun,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
83,Énergie du sceau magique,,100,-1,0,0,3,1,0,1,1,True
84,Énergie de l'épée de Howling Blade,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
85,Sens du groove,,-1,-1,0,0,1,0,0,1,1,True
86,Éther de Zelenia,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
87,Peur du trépas,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
88,,,-1,-1,0,1,0,0,0,1,1,True
89,Puissance magique de Glasya-Labolas,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
90,Puissance magique de Krile,ContentGaugeMax_positive,-1,-1,0,0,1,0,0,1,1,True
91,Âme d'élagueur,,50,100,0,0,1,3,2,1,1,True
92,,,0,0,0,0,0,0,0,0,0,False
93,Sphère-Gravité géante,,-1,-1,0,0,2,0,0,1,1,False
94,,,0,0,0,0,0,0,0,0,0,False
