#,Unknown_70_1,ENpcResident,Item,Unknown_70_2,Unknown_70_3,Unknown1,Unknown2,ClassJobCategory,Unknown0,AmountRequired,Unknown3,ItemHQ
18.3,1,1025602,22687,0,0,0,0,19,0,1,255,False
19.0,0,1025814,22740,0,0,0,0,33,0,2,255,False
19.1,2,1025814,22636,0,0,0,0,17,0,2,255,False
19.2,2,1025814,22662,0,0,0,0,18,0,2,255,False
19.3,1,1025814,22688,0,0,0,0,19,0,1,255,False
20.0,0,1025602,22741,0,0,0,0,33,0,1,255,True
20.1,2,1025602,22637,0,0,0,0,17,0,1,255,False
20.2,2,1025602,22663,0,0,0,0,18,0,1,255,False
20.3,1,1025602,22689,0,0,0,0,19,0,1,255,False
21.0,0,1025820,22742,0,0,0,0,33,0,2,255,False
21.1,2,1025820,22638,0,0,0,0,17,0,1,255,False
21.2,2,1025820,22664,0,0,0,0,18,0,1,255,False
21.3,1,1025820,22690,0,0,0,0,19,0,1,255,False
22.0,0,1025822,22743,0,0,0,0,33,0,1,255,True
22.1,2,1025822,22639,0,0,0,0,17,0,1,255,False
22.2,2,1025822,22665,0,0,0,0,18,0,1,255,False
22.3,1,1025822,22691,0,0,0,0,19,0,1,255,False
23.0,0,1025831,22744,0,0,0,0,33,0,2,255,False
23.1,2,1025831,22640,0,0,0,0,17,0,1,255,False
23.2,2,1025831,22666,0,0,0,0,18,0,1,255,False
23.3,1,1025831,22692,0,0,0,0,19,0,1,255,False
24.0,0,1021784,22745,0,0,0,0,33,0,1,255,True
24.1,2,1021784,22641,0,0,0,0,17,0,1,255,False
24.2,2,1021784,22667,0,0,0,0,18,0,1,255,False
24.3,1,1021784,22693,0,0,0,0,19,0,1,255,False
25.0,0,1025699,22720,0,0,0,0,33,0,3,255,False
25.1,2,1025699,22616,0,0,0,0,17,0,3,255,False
25.2,2,1025699,22642,0,0,0,0,18,0,3,255,False
25.3,1,1025699,22668,0,0,0,0,19,0,1,255,False
26.0,0,1025704,22721,0,0,0,0,33,0,2,255,False
26.1,2,1025704,22617,0,0,0,0,17,0,3,255,False
26.2,2,1025704,22643,0,0,0,0,18,0,3,255,False
26.3,1,1025704,22669,0,0,0,0,19,0,1,255,False
27.0,0,1025708,22722,0,0,0,0,33,0,2,255,False
27.1,2,1025708,22618,0,0,0,0,17,0,2,255,False
27.2,2,1025708,22644,0,0,0,0,18,0,2,255,False
27.3,1,1025708,22670,0,0,0,0,19,0,1,255,False
28.0,0,1025842,22723,0,0,0,0,33,0,1,255,True
28.1,2,1025842,22619,0,0,0,0,17,0,1,255,False
28.2,2,1025842,22645,0,0,0,0,18,0,1,255,False
28.3,1,1025842,22671,0,0,0,0,19,0,1,255,False
29.0,0,1025845,22724,0,0,0,0,33,0,1,255,True
29.1,2,1025845,22620,0,0,0,0,17,0,1,255,False
29.2,2,1025845,22646,0,0,0,0,18,0,1,255,False
29.3,1,1025845,22672,0,0,0,0,19,0,1,255,False
30.0,0,1025777,22729,0,0,0,0,33,0,1,255,False
30.1,2,1025777,22625,0,0,0,0,17,0,3,255,False
30.2,2,1025777,22651,0,0,0,0,18,0,3,255,False
30.3,1,1025777,22677,0,0,0,0,19,0,1,255,False
31.0,0,1025837,23173,0,0,0,0,33,0,3,255,False
31.1,2,1025837,23169,0,0,0,0,17,0,1,255,False
31.2,2,1025837,23170,0,0,0,0,18,0,1,255,False
31.3,1,1025837,23171,0,0,0,0,19,0,1,255,False
32.0,1,1032724,29512,12008664,0,0,0,17,255,1,4,False
32.1,2,1032724,29538,12008671,0,0,0,18,255,1,4,False
32.2,1,1032724,29564,12008682,0,0,0,19,255,1,4,False
33.0,1,1032734,29513,12008665,0,0,0,17,2,1,1,False
33.1,2,1032734,29539,12008672,0,0,0,18,2,1,1,False
33.2,1,1032734,29565,12008712,0,0,0,19,2,1,1,False
34.0,2,1032660,29514,12008666,0,0,0,17,3,1,2,False
34.1,2,1032660,29540,12008676,0,0,0,18,3,1,2,False
34.2,1,1032660,29566,12008684,0,0,0,19,3,1,2,False
35.0,2,1032862,29515,12008667,0,0,0,17,2,3,1,False
35.1,2,1032862,29541,12008678,0,0,0,18,2,3,1,False
35.2,1,1032862,29567,12008721,0,0,0,19,2,1,1,False
36.0,2,1032967,29516,12008670,0,0,0,17,5,3,4,False
36.1,2,1032967,29542,12008681,0,0,0,18,5,3,4,False
36.2,1,1032967,29568,12008685,0,0,0,19,5,1,4,False
37.0,1,1032643,29517,12008664,0,0,0,17,255,3,0,False
37.1,2,1032643,29543,12008671,0,0,0,18,255,3,0,False
37.2,1,1032643,29569,12008682,0,0,0,19,255,1,0,False
38.0,2,1032643,29518,12008666,0,0,0,17,255,3,0,False
38.1,2,1032643,29544,12008676,0,0,0,18,255,3,0,False
38.2,1,1032643,29570,12008685,0,0,0,19,255,1,0,False
39.0,2,1032643,29519,12008667,0,0,0,17,255,3,0,False
39.1,2,1032643,29545,12008678,0,0,0,18,255,3,0,False
39.2,1,1032643,29571,12008721,0,0,0,19,255,1,0,False
40.0,1,1032643,29520,12008665,0,0,0,17,255,3,0,False
40.1,2,1032643,29546,12008672,0,0,0,18,255,3,0,False
40.2,1,1032643,29572,12008684,0,0,0,19,255,1,0,False
41.0,2,1032643,29521,12008670,0,0,0,17,255,3,0,False
41.1,2,1032643,29547,12008681,0,0,0,18,255,3,0,False
41.2,2,1032643,29573,12008723,0,0,0,19,255,1,0,False
42.0,1,1032643,29522,12008665,0,0,0,17,255,3,0,False
42.1,2,1032643,29548,12008672,0,0,0,18,255,3,0,False
42.2,2,1032643,29574,12008725,0,0,0,19,255,1,0,False
43.0,2,1032643,29523,12008670,0,0,0,17,255,3,0,False
43.1,2,1032643,29549,12008681,0,0,0,18,255,3,0,False
43.2,1,1032643,29575,12008712,0,0,0,19,255,1,0,False
44.0,2,1032643,29524,12008666,0,0,0,17,255,3,0,False
44.1,2,1032643,29550,12008676,0,0,0,18,255,3,0,False
44.2,1,1032643,29576,12008684,0,0,0,19,255,1,0,False
45.0,1,1032643,29525,12008664,0,0,0,17,255,3,0,False
45.1,2,1032643,29551,12008671,0,0,0,18,255,3,0,False
45.2,1,1032643,29577,12008682,0,0,0,19,255,1,0,False
46.0,2,1032643,29526,12008667,0,0,0,17,255,3,0,False
46.1,2,1032643,29552,12008678,0,0,0,18,255,3,0,False
46.2,2,1032643,29578,12008723,0,0,0,19,255,1,0,False
47.0,1,1032643,29527,12008665,0,0,0,17,255,3,0,False
47.1,2,1032643,29553,12008672,0,0,0,18,255,3,0,False
47.2,2,1032643,29579,12008725,0,0,0,19,255,1,0,False
48.0,1,1032643,29528,12008664,0,0,0,17,255,3,0,False
48.1,2,1032643,29554,12008671,0,0,0,18,255,3,0,False
48.2,1,1032643,29580,12008685,0,0,0,19,255,1,0,False
49.0,2,1032643,29529,12008666,0,0,0,17,255,3,0,False
49.1,2,1032643,29555,12008676,0,0,0,18,255,3,0,False
49.2,2,1032643,29581,12008725,0,0,0,19,255,1,0,False
50.0,2,1032643,29530,12008670,0,0,0,17,255,3,0,False
50.1,2,1032643,29556,12008681,0,0,0,18,255,3,0,False
50.2,1,1032643,29582,12008712,0,0,0,19,255,1,0,False
51.0,2,1032643,29531,12008667,0,0,0,17,255,3,0,False
51.1,2,1032643,29557,12008678,0,0,0,18,255,3,0,False
51.2,1,1032643,29583,12008721,0,0,0,19,255,1,0,False
52.0,1,1032643,29532,12008665,0,0,0,17,255,3,0,False
52.1,2,1032643,29558,12008672,0,0,0,18,255,3,0,False
52.2,1,1032643,29584,12008684,0,0,0,19,255,1,0,False
53.0,2,1032643,29533,12008666,0,0,0,17,255,3,0,False
53.1,2,1032643,29559,12008676,0,0,0,18,255,3,0,False
53.2,1,1032643,29585,12008712,0,0,0,19,255,1,0,False
54.0,1,1032643,29534,12008664,0,0,0,17,255,3,0,False
54.1,2,1032643,29560,12008671,0,0,0,18,255,3,0,False
54.2,1,1032643,29586,12008685,0,0,0,19,255,1,0,False
55.0,2,1032643,29535,12008667,0,0,0,17,255,3,0,False
55.1,2,1032643,29561,12008678,0,0,0,18,255,3,0,False
55.2,1,1032643,29587,12008721,0,0,0,19,255,1,0,False
56.0,2,1032643,29536,12008670,0,0,0,17,255,3,0,False
56.1,2,1032643,29562,12008681,0,0,0,18,255,3,0,False
56.2,1,1032643,29588,12008682,0,0,0,19,255,1,0,False
57.0,1,1032643,29537,12008665,0,0,0,17,255,3,0,False
57.1,2,1032643,29563,12008672,0,0,0,18,255,3,0,False
57.2,2,1032643,29589,12008723,0,0,0,19,255,1,0,False
58.0,1,1044190,38276,9414631,0,0,0,17,4,3,3,False
58.1,2,1044190,38300,9414632,0,0,0,18,4,3,3,False
58.2,1,1044190,38324,9414633,0,0,0,19,4,1,3,False
59.0,2,1043585,38277,9414672,0,0,0,17,7,3,6,False
59.1,2,1043585,38301,9414673,0,0,0,18,7,3,6,False
59.2,1,1043585,38325,9414674,0,0,0,19,7,1,6,False
60.0,1,1043585,38278,9414850,0,0,0,17,6,3,5,False
60.1,2,1043585,38302,9414851,0,0,0,18,6,3,5,False
60.2,1,1043585,38326,9414852,0,0,0,19,6,1,5,False
61.0,2,1043585,38279,9414298,0,0,0,17,4,3,3,False
61.1,2,1043585,38303,9414299,0,0,0,18,4,3,3,False
61.2,1,1043585,38327,9414300,0,0,0,19,4,1,3,False
62.0,1,1043586,38280,9414676,0,0,0,17,6,3,5,False
62.1,1,1043586,38304,9414677,0,0,0,18,6,3,5,False
62.2,1,1043586,38328,9414678,0,0,0,19,6,1,5,False
63.0,2,1044042,38281,9406560,0,0,14,17,1,3,0,False
63.1,2,1044042,38305,9406562,0,0,14,18,1,3,0,False
63.2,1,1044042,38329,9406563,0,0,14,19,1,1,0,False
64.0,2,1043417,38282,9415894,0,0,0,17,255,3,0,False
64.1,2,1043417,38306,9415895,0,0,0,18,255,3,0,False
64.2,1,1043417,38330,9415891,0,0,0,19,255,1,0,False
65.0,1,1043417,38283,9415914,0,0,0,17,255,3,0,False
65.1,2,1043417,38307,9415915,0,0,0,18,255,3,0,False
65.2,1,1043417,38331,9415896,0,0,0,19,255,1,0,False
66.0,2,1043936,38284,9406560,0,0,14,17,1,3,0,False
66.1,2,1043936,38308,9406562,0,0,14,18,1,3,0,False
66.2,1,1043936,38332,9406563,0,0,14,19,1,1,0,False
67.0,2,1044050,38285,9415868,0,0,14,17,1,3,0,False
67.1,2,1044050,38309,9415871,0,0,14,18,1,3,0,False
67.2,1,1044050,38333,9415872,0,0,14,19,1,1,0,False
68.0,1,1043417,38286,9415889,0,0,0,17,255,3,0,False
68.1,2,1043417,38310,9415890,0,0,0,18,255,3,0,False
68.2,1,1043417,38334,9415896,0,0,0,19,255,1,0,False
69.0,2,1044057,38287,9415873,0,0,14,17,1,3,0,False
69.1,2,1044057,38311,9415874,0,0,14,18,1,3,0,False
69.2,1,1044057,38335,9415875,0,0,14,19,1,1,0,False
70.0,2,1043936,38288,9415868,0,0,14,17,1,3,0,False
70.1,2,1043936,38312,9415871,0,0,14,18,1,3,0,False
70.2,1,1043936,38336,9415872,0,0,14,19,1,1,0,False
71.0,2,1044059,38289,9415873,0,0,14,17,2,3,1,False
71.1,2,1044059,38313,9415874,0,0,14,18,2,3,1,False
71.2,1,1044059,38337,9415875,0,0,14,19,2,1,1,False
72.0,2,1044064,38290,9406560,0,0,14,17,1,3,0,False
72.1,2,1044064,38314,9406562,0,0,14,18,1,3,0,False
72.2,1,1044064,38338,9406563,0,0,14,19,1,1,0,False
73.0,1,1044065,38291,9415876,0,0,14,17,1,3,0,False
73.1,1,1044065,38315,9415877,0,0,14,18,1,3,0,False
73.2,1,1044065,38339,9415878,0,0,14,19,1,1,0,False
74.0,2,1044070,38292,9415868,0,0,14,17,1,3,0,False
74.1,2,1044070,38316,9415871,0,0,14,18,1,3,0,False
74.2,1,1044070,38340,9415872,0,0,14,19,1,1,0,False
75.0,1,1043936,38293,9415880,0,0,14,17,1,3,0,False
75.1,2,1043936,38317,9415881,0,0,14,18,1,3,0,False
75.2,1,1043936,38341,9415882,0,0,14,19,1,1,0,False
76.0,1,1044071,38294,9415876,0,0,14,17,1,3,0,False
76.1,1,1044071,38318,9415877,0,0,14,18,1,3,0,False
76.2,1,1044071,38342,9415878,0,0,14,19,1,1,0,False
77.0,2,1044074,38295,9406560,0,0,14,17,1,3,0,False
77.1,2,1044074,38319,9406562,0,0,14,18,1,3,0,False
77.2,1,1044074,38343,9406563,0,0,14,19,1,1,0,False
78.0,1,1044075,38296,9415880,0,0,14,17,2,3,1,False
78.1,2,1044075,38320,9415881,0,0,14,18,2,3,1,False
78.2,1,1044075,38344,9415882,0,0,14,19,2,1,1,False
79.0,1,1044076,38297,9415876,0,0,14,17,1,3,0,False
79.1,1,1044076,38321,9415877,0,0,14,18,1,3,0,False
79.2,1,1044076,38345,9415878,0,0,14,19,1,1,0,False
80.0,2,1044077,38298,9415880,0,0,14,17,1,3,0,False
80.1,2,1044077,38322,9415881,0,0,14,18,1,3,0,False
80.2,1,1044077,38346,9415882,0,0,14,19,1,1,0,False
81.0,1,1044081,38299,9415873,0,0,14,17,1,3,0,False
81.1,2,1044081,38323,9415874,0,0,14,18,1,3,0,False
81.2,1,1044081,38347,9415875,0,0,14,19,1,1,0,False
82.0,1,1047097,43903,10489623,0,0,0,19,255,6,255,False
83.0,1,1047097,43904,10494566,0,0,0,19,255,6,255,False
84.0,1,1047097,43905,10494559,0,0,0,19,255,6,255,False
85.0,1,1047097,43906,10494568,0,0,0,19,255,6,255,False
86.0,1,1047132,43899,10489945,10745649,10745650,0,17,255,6,255,False
86.1,2,1047132,43899,10489948,10745656,10745657,0,18,255,6,255,False
87.0,1,1047132,43900,10744086,10765778,10765784,0,17,255,6,255,False
87.1,1,1047132,43900,10744088,10765742,10765746,0,18,255,6,255,False
88.0,1,1047132,43901,10744091,10765790,10765791,0,17,255,6,255,False
88.1,2,1047132,43901,10744101,10765788,10765789,0,18,255,6,255,False
89.0,1,1047132,43902,10744128,10766085,10766086,0,17,255,6,255,False
89.1,2,1047132,43902,10744129,10765798,10765799,0,18,255,6,255,False
90.0,1,1047103,43915,10559120,0,0,0,19,3,1,255,False
91.0,1,1047132,43913,10744125,10765795,10765796,0,17,255,1,255,False
91.1,2,1047132,43913,10744126,10765793,10765794,0,18,255,1,255,False
92.0,1,1047160,43914,10744131,10766135,10766140,0,17,6,1,255,False
92.1,2,1047160,43914,10744132,10766127,10766130,0,18,6,1,255,False
93.0,1,1047097,43916,10559144,0,0,0,19,2,1,255,False
94.0,1,1052560,48024,11724070,0,0,0,17,255,3,0,False
94.1,1,1052560,48025,11724702,0,0,0,18,255,3,0,False
94.2,1,1052560,48026,11724791,0,0,0,19,255,1,0,False
95.0,0,0,0,0,0,0,0,0,0,0,0,False
95.1,0,0,0,0,0,0,0,0,0,0,0,False
95.2,0,0,0,0,0,0,0,0,0,0,0,False
96.0,2,1052560,48027,11724692,0,0,0,17,255,3,0,False
96.1,1,1052560,48028,11724766,0,0,0,18,255,3,0,False
96.2,1,1052560,48029,11724826,0,0,0,19,255,1,0,False
97.0,1,1052570,48030,11724070,0,0,0,17,1,3,0,False
97.1,1,1052570,48031,11724702,0,0,0,18,1,3,0,False
97.2,1,1052570,48032,11724791,0,0,0,19,1,1,0,False
98.0,1,1052570,48033,11724695,0,0,0,17,1,3,0,False
98.1,1,1052570,48034,11724781,0,0,0,18,1,3,0,False
98.2,1,1052570,48035,11724846,0,0,0,19,1,1,0,False
99.0,2,1052560,48036,11724693,0,0,0,17,255,3,0,False
99.1,1,1052560,48037,11724780,0,0,0,18,255,3,0,False
99.2,1,1052560,48038,11724839,0,0,0,19,255,1,0,False
100.0,1,1052560,48039,11724070,0,0,0,17,255,3,0,False
100.1,1,1052560,48040,11724702,0,0,0,18,255,3,0,False
100.2,1,1052560,48041,11724791,0,0,0,19,255,1,0,False
101.0,1,1052560,48042,11724695,0,0,0,17,255,3,0,False
101.1,1,1052560,48043,11724781,0,0,0,18,255,3,0,False
101.2,1,1052560,48044,11724846,0,0,0,19,255,1,0,False
102.0,2,1052560,48045,11724692,0,0,0,17,255,3,0,False
102.1,1,1052560,48046,11724766,0,0,0,18,255,3,0,False
102.2,1,1052560,48047,11724826,0,0,0,19,255,1,0,False
103.0,1,1052560,48048,11724700,0,0,0,17,255,3,0,False
103.1,2,1052560,48049,11724784,0,0,0,18,255,3,0,False
103.2,1,1052560,48050,11724848,0,0,0,19,255,1,0,False
104.0,2,1052560,48051,11724693,0,0,0,17,255,3,0,False
104.1,1,1052560,48052,11724780,0,0,0,18,255,3,0,False
104.2,1,1052560,48053,11724839,0,0,0,19,255,1,0,False
105.0,2,1052560,48054,11724692,0,0,0,17,255,3,0,False
105.1,1,1052560,48055,11724766,0,0,0,18,255,3,0,False
105.2,1,1052560,48056,11724826,0,0,0,19,255,1,0,False
106.0,2,1052560,48057,11724690,0,0,0,17,255,3,0,False
106.1,2,1052560,48058,11724758,0,0,0,18,255,3,0,False
106.2,1,1052560,48059,11724813,0,0,0,19,255,1,0,False
107.0,1,1052560,48060,11724070,0,0,0,17,255,3,0,False
107.1,1,1052560,48061,11724702,0,0,0,18,255,3,0,False
107.2,1,1052560,48062,11724849,0,0,0,19,255,1,0,False
108.0,1,1052560,48063,11724695,0,0,0,17,255,3,0,False
108.1,1,1052560,48064,11724781,0,0,0,18,255,3,0,False
108.2,1,1052560,48065,11724846,0,0,0,19,255,1,0,False
109.0,2,1052560,48066,11724690,0,0,0,17,255,3,0,False
109.1,2,1052560,48067,11724758,0,0,0,18,255,3,0,False
109.2,1,1052560,48068,11724813,0,0,0,19,255,1,0,False
110.0,2,1052560,48069,11724693,0,0,0,17,255,3,0,False
110.1,1,1052560,48070,11724780,0,0,0,18,255,3,0,False
110.2,1,1052560,48071,11724839,0,0,0,19,255,1,0,False
111.0,2,1052560,48072,11724690,0,0,0,17,255,3,0,False
111.1,2,1052560,48073,11724758,0,0,0,18,255,3,0,False
111.2,1,1052560,48074,11724813,0,0,0,19,255,1,0,False
112.0,1,1052560,48075,11724700,0,0,0,17,255,3,0,False
112.1,2,1052560,48076,11724784,0,0,0,18,255,3,0,False
112.2,1,1052560,48077,11724848,0,0,0,19,255,1,0,False
113.0,1,1052560,48081,11724695,0,0,0,17,255,3,0,False
113.1,1,1052560,48082,11724781,0,0,0,18,255,3,0,False
113.2,1,1052560,48083,11724846,0,0,0,19,255,1,0,False
114.0,2,1052566,48009,11724693,0,0,0,17,255,3,5,False
114.1,1,1052566,48010,11724780,0,0,0,18,255,3,5,False
114.2,1,1052566,48011,11724839,0,0,0,19,255,1,5,False
115.0,1,1053761,48012,11724070,0,0,0,17,2,3,1,False
115.1,1,1053761,48013,11724702,0,0,0,18,2,3,1,False
115.2,1,1053761,48014,11724791,0,0,0,19,2,1,1,False
116.0,2,1053790,48015,11724690,0,0,0,17,255,3,4,False
116.1,2,1053790,48016,11724758,0,0,0,18,255,3,4,False
116.2,1,1053790,48017,11724813,0,0,0,19,255,1,4,False
117.0,2,1053775,48018,11724692,0,0,0,17,255,3,6,False
117.1,1,1053775,48019,11724766,0,0,0,18,255,3,6,False
117.2,1,1053775,48020,11724826,0,0,0,19,255,1,6,False
118.0,1,1053780,48021,11724700,0,0,0,17,6,3,5,False
118.1,2,1053780,48022,11724784,0,0,0,18,6,3,5,False
118.2,1,1053780,48023,11724848,0,0,0,19,6,1,5,False
