#,Image,Unknown1,Type,Unknown0
300,181103,0,26,-1
301,181104,0,26,-1
302,181105,0,26,-1
303,181106,0,26,-1
304,181107,0,26,-1
305,181108,0,26,-1
306,181109,0,26,-1
307,181110,0,26,-1
308,128273,0,32,-1
309,127955,0,31,-1
310,127143,0,25,147
311,127145,0,5,-1
312,120532,0,4,30
313,124124,0,33,-1
314,127956,0,31,-1
315,128277,0,1,-1
316,128278,0,1,-1
317,181112,0,26,-1
318,181113,0,26,-1
319,181114,0,26,-1
320,181115,0,26,-1
321,181116,0,26,-1
322,181117,0,26,-1
323,181118,0,26,-1
324,181119,0,26,-1
325,181120,0,26,-1
326,181121,0,26,-1
327,181122,0,26,-1
328,181123,0,26,-1
329,181124,0,26,-1
330,181125,0,26,-1
331,181126,0,26,-1
332,181127,0,26,-1
333,181128,0,26,-1
334,181129,0,26,-1
335,181130,0,26,-1
336,181131,0,26,-1
337,120535,0,25,147
338,86,0,12,-1
339,87,0,12,-1
340,88,0,12,-1
341,89,0,12,-1
342,90,0,12,-1
343,91,0,12,-1
344,92,0,12,-1
345,93,0,12,-1
346,94,0,12,-1
347,95,0,12,-1
348,96,0,12,-1
349,97,0,12,-1
350,98,0,12,-1
351,99,0,12,-1
352,100,0,12,-1
353,101,0,12,-1
354,102,0,12,-1
355,103,0,12,-1
356,104,0,12,-1
357,105,0,12,-1
358,106,0,12,-1
359,107,0,12,-1
360,128324,0,1,-1
361,128325,0,1,-1
362,181133,0,26,-1
363,181134,0,26,-1
364,181135,0,26,-1
365,181136,0,26,-1
366,181137,0,26,-1
367,127958,0,31,-1
368,127151,0,25,147
369,124091,0,23,-1
370,128335,0,1,-1
371,128336,0,1,-1
372,128337,0,1,-1
373,181139,0,26,-1
374,181140,0,26,-1
375,181141,0,26,-1
376,181142,0,26,-1
377,181143,0,26,-1
378,181144,0,26,-1
379,181145,0,26,-1
380,127959,0,31,-1
381,127153,0,25,147
382,2653,0,38,-1
383,128424,0,1,-1
384,128425,0,1,-1
385,181147,0,26,-1
386,181148,0,26,-1
387,181149,0,26,-1
388,127960,0,31,-1
389,127155,0,25,147
390,181150,0,26,-1
391,181151,0,26,-1
392,128476,0,1,-1
393,128477,0,1,-1
394,181153,0,26,-1
395,181154,0,26,-1
396,181155,0,26,-1
397,181156,0,26,-1
398,181157,0,26,-1
399,181158,0,26,-1
400,181159,0,26,-1
401,181160,0,26,-1
402,181161,0,26,-1
403,181162,0,26,-1
404,128533,0,32,-1
405,127961,0,31,-1
406,127157,0,25,147
407,128536,0,1,-1
408,128537,0,1,-1
409,128538,0,1,-1
410,128539,0,1,-1
411,122106,0,23,-1
412,122107,0,23,-1
413,181164,0,26,-1
414,181165,0,26,-1
415,181166,0,26,-1
416,0,0,0,-1
417,181168,0,26,-1
418,181169,0,26,-1
419,181170,0,26,-1
420,181171,0,26,-1
421,181172,0,26,-1
422,127962,0,31,-1
423,127075,0,47,-1
424,127159,0,25,147
425,120536,0,4,30
426,128556,0,42,-1
427,128601,0,39,-1
428,181173,0,26,-1
429,0,0,0,-1
430,0,0,0,-1
