#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelMain,ModelSub,DamagePhys,DamageMag,Delayms,BlockRate,Block,DefensePhys,DefenseMag,BaseParamValue[0],BaseParamValue[1],BaseParamValue[2],BaseParamValue[3],BaseParamValue[4],BaseParamValue[5],BaseParamValueSpecial[0],BaseParamValueSpecial[1],BaseParamValueSpecial[2],BaseParamValueSpecial[3],BaseParamValueSpecial[4],BaseParamValueSpecial[5],LevelEquip,RequiredPvpRank,EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,BaseParamModifier,ClassJobUse,Unknown2,DefaultActionRange,BaseParam[0],BaseParam[1],BaseParam[2],BaseParam[3],BaseParam[4],BaseParam[5],ItemSpecialBonus,ItemSpecialBonusParam,BaseParamSpecial[0],BaseParamSpecial[1],BaseParamSpecial[2],BaseParamSpecial[3],BaseParamSpecial[4],BaseParamSpecial[5],MaterializeType,MateriaSlotCount,SubStatCategory,IsAdvancedMeldingPermitted,IsPvP,IsGlamorous,AdditionalData,StackSize,PriceMid,PriceLow,ItemRepair,ItemGlamour,Icon,LevelItem,SubcategorySort,ItemAction,Cooldowns,Desynth,AetherialReduce,Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,DyeCount,CastTimeSeconds,ClassJobRepair,IsUnique,IsUntradable,IsIndisposable,Lot,CanBeHq,IsCrestWorthy,IsCollectable,AlwaysCollectable
19,agrégat d'eau,agrégats d'eau,Un agrégat de cristaux d'eau.,Agrégat d'eau,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20014,50,30060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
20,sceau de compagnie limséen,sceaux de compagnie limséens,"Crédit militaire émis par la grande compagnie limséenne, le Maelstrom. Les sceaux de compagnie peuvent être échangés contre des pièces d'équipement et objets.",Sceau de compagnie limséen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65004,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
21,sceau de compagnie gridanien,sceaux de compagnie gridaniens,"Crédit militaire émis par la grande compagnie gridanienne, l'ordre des Deux Vipères. Les sceaux de compagnie peuvent être échangés contre des pièces d'équipement et objets.",Sceau de compagnie gridanien,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65005,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
22,sceau de compagnie uldien,sceaux de compagnie uldiens,"Crédit militaire émis par la grande compagnie uldienne, les Immortels. Les sceaux de compagnie peuvent être échangés contre des pièces d'équipement et objets.",Sceau de compagnie uldien,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65006,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
23,mémoquartz allagois philosophal,mémoquartz allagois philosophaux,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets philosophiques.,Mémoquartz allagois philosophal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65012,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
24,mémoquartz allagois mythologique,mémoquartz allagois mythologiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble parler de mythologie.,Mémoquartz allagois mythologique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65013,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
25,marque de loup,marques de loup,"Un crédit utilisé en commun par les grandes compagnies, qui peut être échangé dans l'Antre des loups contre des équipements et du matériel.",Marque de loup,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,20000,1,0,0,0,65014,55,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
26,mémoquartz allagois martial,mémoquartz allagois martiaux,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble relater des chroniques de guerre.,Mémoquartz allagois martial,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65022,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
27,insigne allié,insignes alliés,Cet emblème a été émis par l'Alliance éorzéenne pour récompenser ses éléments les plus méritoires.,Insigne allié,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,4000,1,0,0,0,65024,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
28,mémoquartz allagois poétique,mémoquartz allagois poétiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble parler de principes sur la poésie.,Mémoquartz allagois poétique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65023,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
29,point du Gold Saucer,points du Gold Saucer,"Communément appelé PGS, ce jeton ne peut être utilisé que dans l'enceinte du Gold Saucer. Le profil de Godbert Manderville est gravé sur l'une des faces.",Point du Gold Saucer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999999,1,0,0,0,65025,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
30,mémoquartz allagois juridique,mémoquartz allagois juridiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets se rapportant au Droit.,Mémoquartz allagois juridique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65032,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
31,mémoquartz allagois ésotérique,mémoquartz allagois ésotériques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets en rapport avec l'ésotérisme.,Mémoquartz allagois ésotérique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65033,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
32,mémoquartz allagois traditionnel,mémoquartz allagois traditionnels,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets en rapport avec la tradition.,Mémoquartz allagois traditionnel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65038,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
33,mémoquartz allagois théologique,mémoquartz allagois théologiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets en rapport avec la théologie.,Mémoquartz allagois théologique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65041,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
34,mémoquartz allagois véridique,mémoquartz allagois véridiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets sur la vérité.,Mémoquartz allagois véridique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65045,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
35,mémoquartz allagois cosmogonique,mémoquartz allagois cosmogoniques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets cosmogoniques.,Mémoquartz allagois cosmogonique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65046,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
36,mémoquartz allagois mensonger,mémoquartz allagois mensongers,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets mensongers.,Mémoquartz allagois mensonger,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65062,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
37,mémoquartz allagois génésiaque,mémoquartz allagois génésiaques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets génésiaques.,Mémoquartz allagois génésiaque,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65065,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
38,mémoquartz allagois goétique,mémoquartz allagois goétiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets goétiques.,Mémoquartz allagois goétique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65066,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
39,mémoquartz allagois fantasmagorique,mémoquartz allagois fantasmagoriques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets fantasmagoriques.,Mémoquartz allagois fantasmagorique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65067,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
40,mémoquartz allagois fabuleux,mémoquartz allagois fabuleux,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant de la fable.,Mémoquartz allagois fabuleux,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65075,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
41,mémoquartz allagois révélateur,mémoquartz allagois révélateurs,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant d'une révélation.,Mémoquartz allagois révélateur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65083,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
42,mémoquartz allagois aphoristique,mémoquartz allagois aphoristiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant de l'aphorisme.,Mémoquartz allagois aphoristique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65085,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
43,mémoquartz allagois astronomique,mémoquartz allagois astronomiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant de l'astronomie.,Mémoquartz allagois astronomique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65086,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
44,mémoquartz allagois déterministe,mémoquartz allagois déterministes,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant du déterminisme.,Mémoquartz allagois déterministe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65094,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
45,mémoquartz allagois dantesque,mémoquartz allagois dantesques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant d'un panthéon mythologique.,Mémoquartz allagois dantesque,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65103,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
46,mémoquartz allagois esthétique,mémoquartz allagois esthétiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant de la beauté artistique.,Mémoquartz allagois esthétique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65107,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
47,mémoquartz allagois héliologique,mémoquartz allagois héliologiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant de l'étude de l'astre solaire.,Mémoquartz allagois héliologique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65108,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
48,mémoquartz allagois mathématique,mémoquartz allagois mathématiques,Cette pierre gravée est pro­ba­ble­ment un vestige de la civilisation allagoise. Elle semble décrire des sujets tenant de calculs savants.,Mémoquartz allagois mathématique,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65122,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
