#,Item,Unknown0,RewardLow,RewardMid,RewardHigh,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
66,38785,0,1,3,0,0,0,0,False,False
67,38786,0,1,3,0,0,0,0,False,False
68,38787,0,1,3,0,0,0,0,False,False
69,38801,0,1,3,0,0,0,0,False,False
70,38800,0,1,3,0,0,0,0,False,False
71,38802,0,1,2,3,0,0,0,False,False
72,38803,0,1,2,3,0,0,0,False,False
73,38805,0,1,3,0,0,0,0,False,False
74,38804,0,1,3,0,0,0,0,False,False
75,38806,0,1,2,3,0,0,0,False,False
76,38807,0,1,2,3,0,0,0,False,False
77,39789,0,1,3,0,0,0,0,False,False
78,39790,0,1,3,0,0,0,0,False,False
79,39791,0,1,3,0,0,0,0,False,False
80,39792,0,1,3,0,0,0,0,False,False
81,39793,0,1,3,0,0,0,0,False,False
82,39794,0,1,3,0,0,0,0,False,False
83,39795,0,1,3,0,0,0,0,False,False
84,39796,0,1,3,0,0,0,0,False,False
85,39797,0,1,3,0,0,0,0,False,False
86,39798,0,1,3,0,0,0,0,False,False
87,39799,0,1,3,0,0,0,0,False,False
88,39800,0,1,3,0,0,0,0,False,False
89,39801,0,1,3,0,0,0,0,False,False
90,39802,0,1,3,0,0,0,0,False,False
91,39803,0,1,3,0,0,0,0,False,False
92,39804,0,1,3,0,0,0,0,False,False
93,39817,0,1,3,0,0,0,0,False,False
94,39818,0,1,3,0,0,0,0,False,False
95,39819,0,1,2,0,0,0,0,False,False
96,39820,0,1,2,0,0,0,0,False,False
97,39821,0,1,3,0,0,0,0,False,False
98,39822,0,1,3,0,0,0,0,False,False
99,39823,0,1,2,0,0,0,0,False,False
100,39824,0,1,2,0,0,0,0,False,False
101,41270,0,1,2,3,0,0,0,False,False
102,41271,0,1,2,3,0,0,0,False,False
103,41272,0,1,2,3,0,0,0,False,False
104,41273,0,1,2,3,0,0,0,False,False
105,41274,0,1,2,3,0,0,0,False,False
106,41275,0,1,2,3,0,0,0,False,False
107,41276,0,1,2,3,0,0,0,False,False
108,41277,0,1,2,3,0,0,0,False,False
109,41278,0,1,2,3,0,0,0,False,False
110,41279,0,1,2,3,0,0,0,False,False
111,41280,0,1,2,3,0,0,0,False,False
112,41281,0,1,2,3,0,0,0,False,False
113,41282,0,1,2,3,0,0,0,False,False
114,41283,0,1,2,3,0,0,0,False,False
115,41284,0,1,2,3,0,0,0,False,False
116,41285,0,1,2,3,0,0,0,False,False
117,41294,0,1,2,0,0,0,0,False,False
118,41295,0,1,2,0,0,0,0,False,False
119,41303,0,1,2,0,0,0,0,False,False
120,41303,0,3,4,0,0,0,0,False,False
121,41296,0,1,2,0,0,0,0,False,False
122,41297,0,1,2,0,0,0,0,False,False
123,41304,0,1,2,0,0,0,0,False,False
124,41304,0,3,4,0,0,0,0,False,False
125,0,0,0,0,0,0,0,0,False,False
126,0,0,0,0,0,0,0,0,False,False
127,0,0,0,0,0,0,0,0,False,False
128,0,0,0,0,0,0,0,0,False,False
129,0,0,0,0,0,0,0,0,False,False
130,0,0,0,0,0,0,0,0,False,False
131,0,0,0,0,0,0,0,0,False,False
132,0,0,0,0,0,0,0,0,False,False
133,0,0,0,0,0,0,0,0,False,False
134,0,0,0,0,0,0,0,0,False,False
135,0,0,0,0,0,0,0,0,False,False
136,0,0,0,0,0,0,0,0,False,False
137,0,0,0,0,0,0,0,0,False,False
138,0,0,0,0,0,0,0,0,False,False
139,0,0,0,0,0,0,0,0,False,False
