#,Name,Addon,QuestChapter,Unknown0,Unknown1,Unknown2,Type
65902,T_VER250_01_04,0,16,8040,4,236,0
65904,T_VER250_01_06,0,16,8060,6,238,0
65905,T_VER250_01_07,0,16,8070,7,239,0
65906,T_VER250_01_09,0,16,8090,9,241,0
65907,T_VER250_01_10,0,16,8100,10,242,0
65908,T_VER250_01_11,0,16,8110,11,243,0
65909,T_VER250_01_12,0,16,8120,12,244,0
65912,T_VER200_01_Gri_11,0,1,110,11,14,2
65913,T_VER200_01_Gri_12,0,1,120,12,15,2
65915,T_VER200_01_Gri_13,0,1,130,13,16,2
65916,T_VER200_01_Gri_14,0,1,140,14,17,2
65917,T_VER200_01_Gri_15,0,1,150,15,18,2
65920,T_VER200_01_Gri_16,0,1,160,16,20,2
65923,T_VER200_01_Gri_17,0,1,170,17,22,2
65927,T_VER250_01_13,0,16,8130,13,245,0
65933,T_VER200_01_Rim_11,0,2,110,11,12,1
65938,T_VER200_01_Rim_12,0,2,120,12,14,1
65939,T_VER200_01_Rim_13,0,2,130,13,16,1
65942,T_VER200_01_Rim_14,0,2,140,14,17,1
65948,T_VER200_01_Rim_15,0,2,150,15,18,1
65949,T_VER200_01_Rim_17,0,2,170,17,20,1
65950,T_VER200_01_Rim_18,0,2,180,18,21,1
65951,T_VER200_01_Rim_16,0,2,160,16,19,1
65954,T_VER250_01_14,0,16,8140,14,246,0
65956,T_VER250_01_16,0,16,8160,16,248,0
65957,T_VER250_01_17,0,16,8170,17,249,0
65958,T_VER250_01_18,0,16,8180,18,250,0
65959,T_VER250_01_19,0,16,8190,19,251,0
65960,T_VER250_01_20,0,16,8200,20,252,0
65961,T_VER250_01_21,0,16,8210,21,253,0
65962,T_VER250_01_22,0,16,8220,22,254,0
65963,T_VER250_01_23,0,16,8230,23,255,0
65964,T_VER250_01_24,0,16,8240,24,256,0
65965,T_VER250_01_08,0,16,8080,8,240,0
65981,T_VER200_01_Gri_05,0,1,50,5,5,2
65982,T_VER200_01_Gri_19,0,1,190,19,25,2
65983,T_VER200_01_Gri_20,0,1,200,20,26,2
65984,T_VER200_01_Gri_21,0,1,210,21,27,2
65985,T_VER200_01_Gri_22,0,1,220,22,28,2
65998,T_VER200_01_Rim_03,0,2,30,3,3,1
65999,T_VER200_01_Rim_04,0,2,40,4,4,1
66001,T_VER200_01_Rim_06,0,2,60,6,6,1
66002,T_VER200_01_Rim_07,0,2,70,7,7,1
66003,T_VER200_01_Rim_08,0,2,80,8,9,1
66004,T_VER200_01_Rim_09,0,2,90,9,10,1
66005,T_VER200_01_Rim_10,0,2,100,10,11,1
66039,T_VER200_01_Uld_12,0,3,120,12,15,3
66043,T_VER200_01_Gri_23,0,1,230,23,29,2
66045,T_VER200_02A_07,0,4,1070,7,7,0
66046,T_VER200_02A_08,0,4,1080,8,8,0
66047,T_VER200_02A_17,5678,4,1170,17,17,0
66049,T_VER200_02A_20,0,4,1200,20,20,0
66050,T_VER200_02B_16,0,5,1460,16,36,0
66052,T_VER200_03B_01,0,7,2310,1,63,0
66053,T_VER200_04A_01,0,8,3010,1,89,0
66054,T_VER200_04A_05,0,8,3050,5,96,0
66055,T_VER200_04B_12,0,9,3420,12,133,0
66056,T_VER200_04C_01,0,10,3510,1,134,0
66057,T_VER200_04C_14,0,10,3640,14,147,0
66058,T_VER200_04D_01,0,11,3710,1,148,0
66064,T_VER200_01_Uld_24,0,3,240,24,28,3
66079,T_VER200_01_Rim_05,0,2,50,5,5,1
66080,T_VER200_01_Rim_20,0,2,200,20,23,1
66081,T_VER200_01_Rim_22,0,2,220,22,25,1
66082,T_VER200_01_Rim_23,0,2,230,23,26,1
66086,T_VER200_01_Uld_05,0,3,50,5,5,3
66087,T_VER200_01_Uld_21,0,3,210,21,25,3
66088,T_VER200_01_Uld_23,0,3,230,23,27,3
66104,T_VER200_01_Uld_02_A,0,3,20,2,2,3
66105,T_VER200_01_Uld_02_B,0,3,20,2,2,3
66106,T_VER200_01_Uld_02_C,0,3,20,2,2,3
66110,T_VER200_02A_14,0,4,1140,14,14,0
66130,T_VER200_01_Uld_01,0,3,10,1,1,3
66131,T_VER200_01_Uld_03,0,3,30,3,3,3
66154,T_VER200_02A_09,0,4,1090,9,9,0
66155,T_VER200_02A_10,0,4,1100,10,10,0
66156,T_VER200_02A_11,0,4,1110,11,11,0
66157,T_VER200_02A_12,0,4,1120,12,12,0
66158,T_VER200_02A_13,0,4,1130,13,13,0
66159,T_VER200_01_Uld_10,0,3,100,10,13,3
66164,T_VER200_01_Uld_20,0,3,200,20,24,3
66177,T_VER200_01_Uld_22,0,3,220,22,26,3
66196,T_VER200_02A_06,0,4,1060,6,6,0
66207,T_VER200_01_Uld_04,0,3,40,4,4,3
66209,T_VER200_02A_01_U,0,4,1010,1,1,0
66210,T_VER200_02A_01_SG,0,4,1010,1,1,0
66212,T_VER200_02A_03,0,4,1030,3,3,0
66213,T_VER200_02A_04,0,4,1040,4,4,0
66214,T_VER200_02A_05,0,4,1050,5,5,0
66216,T_VER200_02A_18_F,0,4,1180,18,18,0
66217,T_VER200_02A_18_S,0,4,1180,18,18,0
66218,T_VER200_02A_18_W,0,4,1180,18,18,0
66219,T_VER200_02A_19_F,0,4,1190,19,19,0
66220,T_VER200_02A_19_S,0,4,1190,19,19,0
66221,T_VER200_02A_19_W,0,4,1190,19,19,0
66225,T_VER200_01_Rim_19,0,2,190,19,22,1
66226,T_VER200_01_Rim_21,0,2,210,21,24,1
66245,T_VER200_02B_02,0,5,1320,2,22,0
66246,T_VER200_02B_03,0,5,1330,3,23,0
66251,T_VER200_02B_04,0,5,1340,4,24,0
66255,T_VER200_02B_07,0,5,1370,7,27,0
66260,T_VER200_02B_08,0,5,1380,8,28,0
66261,T_VER200_02B_09,0,5,1390,9,29,0
66273,T_VER200_02B_13,0,5,1430,13,33,0
66274,T_VER200_02B_14,0,5,1440,14,34,0
66279,T_VER200_02B_17,0,5,1470,17,37,0
66280,T_VER200_02B_18,0,5,1480,18,38,0
66282,T_VER200_02B_19,0,5,1490,19,39,0
66283,T_VER200_03A_01,0,6,2010,1,40,0
66284,T_VER200_03A_02,0,6,2020,2,41,0
66292,T_VER200_03A_03,0,6,2030,3,43,0
66293,T_VER200_03A_04,0,6,2040,4,44,0
66297,T_VER200_03A_05,0,6,2050,5,45,0
66298,T_VER200_03A_06,0,6,2060,6,46,0
66299,T_VER200_03A_07,0,6,2070,7,47,0
66301,T_VER200_03A_08,0,6,2080,8,48,0
66310,T_VER200_03A_09,0,6,2090,9,49,0
66311,T_VER200_03A_10,0,6,2100,10,50,0
66312,T_VER200_03A_11,0,6,2110,11,51,0
66313,T_VER200_03A_12,0,6,2120,12,52,0
66314,T_VER200_03A_13,0,6,2130,13,53,0
66318,T_VER200_03A_14,0,6,2140,14,54,0
66319,T_VER200_03A_15,0,6,2150,15,55,0
66322,T_VER200_03A_19,0,6,2190,19,59,0
66323,T_VER200_03A_18,0,6,2180,18,58,0
66335,T_VER200_03A_20,0,6,2200,20,60,0
66336,T_VER200_03A_21,0,6,2210,21,61,0
66337,T_VER200_03A_22,0,6,2220,22,62,0
66345,T_VER200_03B_02,0,7,2320,2,64,0
66346,T_VER200_03B_03,0,7,2330,3,65,0
66347,T_VER200_03B_04,0,7,2340,4,66,0
66348,T_VER200_03B_05,0,7,2350,5,67,0
66350,T_VER200_03B_06,0,7,2360,6,68,0
66357,T_VER200_03B_08,0,7,2380,8,73,0
66358,T_VER200_03B_09,0,7,2390,9,74,0
66367,T_VER200_03B_10,0,7,2400,10,75,0
66368,T_VER200_03B_11,0,7,2410,11,76,0
66376,T_VER200_03B_13,0,7,2430,13,78,0
66379,T_VER200_03B_14,0,7,2440,14,79,0
66381,T_VER200_03B_15,0,7,2450,15,80,0
66382,T_VER200_03B_16,0,7,2460,16,81,0
66384,T_VER200_03B_17,0,7,2470,17,83,0
66386,T_VER200_03B_18,0,7,2480,18,84,0
66391,T_VER200_03B_19,0,7,2490,19,86,0
66392,T_VER200_03B_20,0,7,2500,20,87,0
66393,T_VER200_03B_21,0,7,2510,21,88,0
66412,T_VER200_04A_03,0,8,3030,3,93,0
66414,T_VER200_04A_04,0,8,3040,4,95,0
66419,T_VER200_04A_06,0,8,3060,6,97,0
66420,T_VER200_04A_07,0,8,3070,7,98,0
66422,T_VER200_04A_08,0,8,3080,8,99,0
66423,T_VER200_04A_09,0,8,3090,9,100,0
66425,T_VER200_04A_10,0,8,3100,10,101,0
66426,T_VER200_04A_11,0,8,3110,11,102,0
66433,T_VER200_04A_12,0,8,3120,12,104,0
66446,T_VER200_04A_13,0,8,3130,13,105,0
66447,T_VER200_04A_14,0,8,3140,14,106,0
66448,T_VER200_04A_15,0,8,3150,15,107,0
66460,T_VER200_04A_17,0,8,3170,17,109,0
66463,T_VER200_04A_18,0,8,3180,18,112,0
66474,T_VER200_04A_20,0,8,3200,20,114,0
66475,T_VER200_04A_21,0,8,3210,21,115,0
66476,T_VER200_04A_22,0,8,3220,22,116,0
66477,T_VER200_04A_23,0,8,3230,23,117,0
66488,T_VER200_04A_24,0,8,3240,24,118,0
66489,T_VER200_04B_01,0,9,3310,1,119,0
66491,T_VER200_04B_02,0,9,3320,2,121,0
66492,T_VER200_04B_03,0,9,3330,3,122,0
66495,T_VER200_04B_04,0,9,3340,4,123,0
66496,T_VER200_04B_05,0,9,3350,5,124,0
66497,T_VER200_04B_06,0,9,3360,6,125,0
66498,T_VER200_04B_07,0,9,3370,7,126,0
66499,T_VER200_04B_08,0,9,3380,8,127,0
66503,T_VER200_04B_09,0,9,3390,9,128,0
66511,T_VER200_04B_11,0,9,3410,11,132,0
66514,T_VER200_04C_02,0,10,3520,2,135,0
66516,T_VER200_04C_03,0,10,3530,3,136,0
66517,T_VER200_04C_04,0,10,3540,4,137,0
66518,T_VER200_04C_05,0,10,3550,5,138,0
66519,T_VER200_04C_06,0,10,3560,6,139,0
66520,T_VER200_04C_07,0,10,3570,7,140,0
66522,T_VER200_04C_08,0,10,3580,8,141,0
66537,T_VER200_04C_09,0,10,3590,9,142,0
66538,T_VER200_04C_10,0,10,3600,10,143,0
66540,T_VER200_04C_12,0,10,3620,12,145,0
66541,T_VER200_04C_13,0,10,3630,13,146,0
66573,T_VER200_04D_03,0,11,3730,3,150,0
66711,T_VER210_01_01,0,12,4010,1,157,0
66725,T_VER210_01_06,0,12,4060,6,171,0
66726,T_VER210_01_07,0,12,4070,7,172,0
66727,T_VER210_01_08,0,12,4080,8,173,0
66728,T_VER210_01_09,0,12,4090,9,174,0
66882,T_VER220_01_02,0,13,5020,2,177,0
66883,T_VER220_01_03,0,13,5030,3,178,0
66888,T_VER220_01_06,0,13,5060,6,183,0
66892,T_VER220_01_08,0,13,5080,8,187,0
66894,T_VER220_01_09,0,13,5090,9,189,0
66895,T_VER220_01_10,0,13,5100,10,190,0
66896,T_VER220_01_11,0,13,5110,11,191,0
66897,T_VER220_01_12,0,13,5120,12,192,0
66898,T_VER220_01_13,0,13,5130,13,193,0
66899,T_VER220_01_14,0,13,5140,14,194,0
66978,T_VER230_01_01,0,14,6010,1,195,0
66979,T_VER230_01_02,0,14,6020,2,196,0
66982,T_VER230_01_05,0,14,6050,5,199,0
66983,T_VER230_01_06,0,14,6060,6,200,0
66984,T_VER230_01_07,0,14,6070,7,201,0
66989,T_VER230_01_09,0,14,6090,9,206,0
66992,T_VER230_01_10,0,14,6100,10,209,0
66993,T_VER230_01_11,0,14,6110,11,210,0
66994,T_VER230_01_12,0,14,6120,12,211,0
66995,T_VER230_01_13,0,14,6130,13,212,0
66996,T_VER230_01_14,0,14,6140,14,213,0
67116,T_VER300_01A_01,0,17,10010,1,257,0
67117,T_VER300_01A_02,0,17,10020,2,258,0
67118,T_VER300_01A_03,0,17,10030,3,259,0
67119,T_VER300_01A_04,0,17,10040,4,260,0
67120,T_VER300_01A_05,0,17,10050,5,261,0
67121,T_VER300_01A_06,0,17,10060,6,262,0
67122,T_VER300_01A_07,0,17,10070,7,263,0
67123,T_VER300_01A_08,0,17,10080,8,264,0
67124,T_VER300_01A_09,0,17,10090,9,265,0
67125,T_VER300_01A_10,0,17,10100,10,266,0
67126,T_VER300_01A_11,0,17,10110,11,267,0
67127,T_VER300_01A_12,0,17,10120,12,268,0
67128,T_VER300_01A_13,0,17,10130,13,269,0
67129,T_VER300_01A_14,0,17,10140,14,270,0
67130,T_VER300_01A_15,0,17,10150,15,271,0
67131,T_VER300_01A_16,0,17,10160,16,272,0
67132,T_VER300_01A_17,0,17,10170,17,273,0
67133,T_VER300_01A_18,0,17,10180,18,274,0
67134,T_VER300_01A_19,0,17,10190,19,275,0
67135,T_VER300_01B_01,0,18,10210,1,276,0
67136,T_VER300_01B_02,0,18,10220,2,277,0
67137,T_VER300_01B_03,0,18,10230,3,278,0
67138,T_VER300_01B_04,0,18,10240,4,279,0
67139,T_VER300_01B_05,0,18,10250,5,280,0
67140,T_VER300_01B_06,0,18,10260,6,281,0
67141,T_VER300_01B_07,0,18,10270,7,282,0
67142,T_VER300_01B_08,0,18,10280,8,283,0
67143,T_VER300_01B_09,0,18,10290,9,284,0
67144,T_VER300_01B_10,0,18,10300,10,285,0
67145,T_VER300_01B_11,0,18,10310,11,286,0
67146,T_VER300_01B_12,0,18,10320,12,287,0
67147,T_VER300_01B_13,0,18,10330,13,288,0
67148,T_VER300_01B_14,0,18,10340,14,289,0
67149,T_VER300_01B_15,0,18,10350,15,290,0
67150,T_VER300_01B_16,0,18,10360,16,291,0
67151,T_VER300_01B_17,0,18,10370,17,292,0
67152,T_VER300_01B_18,0,18,10380,18,293,0
67153,T_VER300_01B_19,0,18,10390,19,294,0
67154,T_VER300_01B_20,0,18,10400,20,295,0
67155,T_VER300_01B_21,0,18,10410,21,296,0
67156,T_VER300_01B_22,0,18,10420,22,297,0
67157,T_VER300_01B_23,0,18,10430,23,298,0
67158,T_VER300_01B_24,0,18,10440,24,299,0
67159,T_VER300_01B_25,0,18,10450,25,300,0
67160,T_VER300_01B_26,0,18,10460,26,301,0
67161,T_VER300_01B_27,0,18,10470,27,302,0
67162,T_VER300_01B_28,0,18,10480,28,303,0
67163,T_VER300_02A_01,0,19,11010,1,304,0
67164,T_VER300_02A_02,0,19,11020,2,305,0
67165,T_VER300_02A_03,0,19,11030,3,306,0
67166,T_VER300_02A_04,0,19,11040,4,307,0
67167,T_VER300_02A_05,0,19,11050,5,308,0
67168,T_VER300_02A_06,0,19,11060,6,309,0
67169,T_VER300_02A_07,0,19,11070,7,310,0
67170,T_VER300_02A_08,0,19,11080,8,311,0
67171,T_VER300_02A_09,0,19,11090,9,312,0
67172,T_VER300_02A_10,0,19,11100,10,313,0
67173,T_VER300_02A_11,0,19,11110,11,314,0
67174,T_VER300_02A_12,0,19,11120,12,315,0
67175,T_VER300_02A_17,0,19,11170,17,320,0
67176,T_VER300_02A_18,0,19,11180,18,321,0
67177,T_VER300_02A_19,0,19,11190,19,322,0
67178,T_VER300_02B_01,0,20,11210,1,323,0
67179,T_VER300_02B_02,0,20,11220,2,324,0
67180,T_VER300_02B_03,0,20,11230,3,325,0
67181,T_VER300_02B_04,0,20,11240,4,326,0
67182,T_VER300_02B_05,0,20,11250,5,327,0
67183,T_VER300_02B_06,0,20,11260,6,328,0
67184,T_VER300_02B_07,0,20,11270,7,329,0
67185,T_VER300_02B_08,0,20,11280,8,330,0
67186,T_VER300_02B_09,0,20,11290,9,331,0
67187,T_VER300_02B_10,0,20,11300,10,332,0
67188,T_VER300_02B_11,0,20,11310,11,333,0
67189,T_VER300_02B_12,0,20,11320,12,334,0
67190,T_VER300_02B_13,0,20,11330,13,335,0
67191,T_VER300_02B_14,0,20,11340,14,336,0
67192,T_VER300_02B_15,0,20,11350,15,337,0
67193,T_VER300_02B_16,0,20,11360,16,338,0
67194,T_VER300_02B_17,0,20,11370,17,339,0
67195,T_VER300_02B_18,0,20,11380,18,340,0
67196,T_VER300_02B_19,0,20,11390,19,341,0
67197,T_VER300_02B_20,0,20,11400,20,342,0
67198,T_VER300_02B_21,0,20,11410,21,343,0
67199,T_VER300_02B_22,0,20,11420,22,344,0
67200,T_VER300_02B_23,0,20,11430,23,345,0
67201,T_VER300_02B_24,0,20,11440,24,346,0
67202,T_VER300_02B_25,0,20,11450,25,347,0
67203,T_VER300_02B_26,0,20,11460,26,348,0
67204,T_VER300_02B_27,0,20,11470,27,349,0
67205,T_VER300_02B_28,0,20,11480,28,350,0
67529,T_VER300_02A_13,0,19,11130,13,316,0
67530,T_VER300_02A_14,0,19,11140,14,317,0
67531,T_VER300_02A_15,0,19,11150,15,318,0
67532,T_VER300_02A_16,0,19,11160,16,319,0
67692,T_VER310_01_01,0,21,12010,1,351,0
67693,T_VER310_01_02,0,21,12020,2,352,0
67694,T_VER310_01_03,0,21,12030,3,353,0
67695,T_VER310_01_04,0,21,12040,4,354,0
67696,T_VER310_01_05,0,21,12050,5,355,0
67697,T_VER310_01_06,0,21,12060,6,356,0
67698,T_VER310_01_07,0,21,12070,7,357,0
67699,T_VER310_01_08,0,21,12080,8,358,0
67767,T_VER320_01_01,0,22,13010,1,359,0
67768,T_VER320_01_02,0,22,13020,2,360,0
67769,T_VER320_01_03,0,22,13030,3,361,0
67770,T_VER320_01_04,0,22,13040,4,362,0
67771,T_VER320_01_05,0,22,13050,5,363,0
67772,T_VER320_01_06,0,22,13060,6,364,0
67773,T_VER320_01_07,0,22,13070,7,365,0
67774,T_VER320_01_08,0,22,13080,8,366,0
67775,T_VER320_01_09,0,22,13090,9,367,0
67776,T_VER320_01_10,0,22,13100,10,368,0
67777,T_VER320_01_11,0,22,13110,11,369,0
67778,T_VER330_01_01,0,23,14010,1,370,0
67779,T_VER330_01_02,0,23,14020,2,371,0
67780,T_VER330_01_03,0,23,14030,3,372,0
67781,T_VER330_01_04,0,23,14040,4,373,0
67782,T_VER330_01_05,0,23,14050,5,374,0
67783,T_VER330_01_06,0,23,14060,6,375,0
67877,T_VER340_01_01,0,24,15010,1,376,0
67878,T_VER340_01_02,0,24,15020,2,377,0
67879,T_VER340_01_03,0,24,15030,3,378,0
67880,T_VER340_01_04,0,24,15040,4,379,0
67881,T_VER340_01_05,0,24,15050,5,380,0
67882,T_VER340_01_06,0,24,15060,6,381,0
67883,T_VER340_01_07,0,24,15070,7,382,0
67884,T_VER340_01_08,0,24,15080,8,383,0
67885,T_VER340_01_09,0,24,15090,9,384,0
67886,T_VER340_01_10,0,24,15100,10,385,0
67887,T_VER350_01_01,0,25,16010,1,386,0
67888,T_VER350_01_02,0,25,16020,2,387,0
67889,T_VER350_01_03,0,25,16030,3,388,0
67890,T_VER350_01_04,0,25,16040,4,389,0
67891,T_VER350_01_05,0,25,16050,5,390,0
67892,T_VER350_01_06,0,25,16060,6,391,0
67893,T_VER350_01_07,0,25,16070,7,392,0
67894,T_VER350_01_08,0,25,16080,8,393,0
67895,T_VER350_01_09,0,25,16090,9,394,0
67982,T_VER400_01A_01,0,26,20010,1,395,0
67983,T_VER400_01A_02,0,26,20020,2,396,0
67984,T_VER400_01A_03,0,26,20030,3,397,0
67985,T_VER400_01A_04,0,26,20040,4,398,0
67986,T_VER400_01A_05,0,26,20050,5,399,0
67987,T_VER400_01A_06,0,26,20060,6,400,0
67988,T_VER400_01A_07,0,26,20070,7,401,0
67989,T_VER400_01A_08,0,26,20080,8,402,0
67990,T_VER400_01A_09,0,26,20090,9,403,0
67991,T_VER400_01A_10,0,26,20100,10,404,0
67992,T_VER400_01A_11,0,26,20110,11,405,0
67993,T_VER400_01A_14,0,26,20140,14,408,0
67994,T_VER400_01A_15,0,26,20150,15,409,0
67995,T_VER400_01A_16,0,26,20160,16,410,0
67996,T_VER400_01A_17,0,26,20170,17,411,0
67997,T_VER400_01A_18,0,26,20180,18,412,0
67998,T_VER400_01A_23,0,26,20230,23,417,0
67999,T_VER400_01A_24,0,26,20240,24,418,0
68000,T_VER400_01A_25,0,26,20250,25,419,0
68001,T_VER400_01A_26,0,26,20260,26,420,0
68002,T_VER400_01A_27,0,26,20270,27,421,0
68003,T_VER400_01A_28,0,26,20280,28,422,0
68004,T_VER400_01A_29,0,26,20290,29,423,0
68005,T_VER400_01A_30,0,26,20300,30,424,0
68006,T_VER400_01B_01,0,27,20410,1,425,0
68007,T_VER400_01B_02,0,27,20420,2,426,0
68008,T_VER400_01B_03,0,27,20430,3,427,0
68009,T_VER400_01B_04,0,27,20440,4,428,0
68010,T_VER400_01B_05,0,27,20450,5,429,0
68011,T_VER400_01B_06,0,27,20460,6,430,0
68012,T_VER400_01B_07,0,27,20470,7,431,0
68013,T_VER400_01B_08,0,27,20480,8,432,0
68014,T_VER400_01B_09,0,27,20490,9,433,0
68015,T_VER400_01B_10,0,27,20500,10,434,0
68016,T_VER400_01B_11,0,27,20510,11,435,0
68017,T_VER400_01B_15,0,27,20550,15,439,0
68018,T_VER400_01B_16,0,27,20560,16,440,0
68019,T_VER400_01B_17,0,27,20570,17,441,0
68020,T_VER400_01B_18,0,27,20580,18,442,0
68021,T_VER400_01B_19,0,27,20590,19,443,0
68022,T_VER400_01B_20,0,27,20600,20,444,0
68023,T_VER400_01B_21,0,27,20610,21,445,0
68024,T_VER400_01B_22,0,27,20620,22,446,0
68025,T_VER400_01B_23,0,27,20630,23,447,0
68026,T_VER400_01B_24,0,27,20640,24,448,0
68027,T_VER400_01C_01,0,28,20710,1,449,0
68028,T_VER400_01C_02,0,28,20720,2,450,0
68029,T_VER400_01C_04,0,28,20740,4,452,0
68030,T_VER400_01C_05,0,28,20750,5,453,0
68031,T_VER400_01C_06,0,28,20760,6,454,0
68032,T_VER400_01C_07,0,28,20770,7,455,0
68033,T_VER400_01C_08,0,28,20780,8,456,0
68034,T_VER400_01C_10,0,28,20800,10,458,0
68035,T_VER400_01C_11,0,28,20810,11,459,0
68036,T_VER400_02A_02,0,29,21020,2,461,0
68037,T_VER400_02A_03,0,29,21030,3,462,0
68038,T_VER400_02A_04,0,29,21040,4,463,0
68039,T_VER400_02A_05,0,29,21050,5,464,0
68040,T_VER400_02A_06,0,29,21060,6,465,0
68041,T_VER400_02A_07,0,29,21070,7,466,0
68042,T_VER400_02A_08,0,29,21080,8,467,0
68043,T_VER400_02A_09,0,29,21090,9,468,0
68044,T_VER400_02A_10,0,29,21100,10,469,0
68045,T_VER400_02A_11,0,29,21110,11,470,0
68046,T_VER400_02A_12,0,29,21120,12,471,0
68047,T_VER400_02A_13,0,29,21130,13,472,0
68048,T_VER400_02A_14,0,29,21140,14,473,0
68049,T_VER400_02A_15,0,29,21150,15,474,0
68050,T_VER400_02A_16,0,29,21160,16,475,0
68051,T_VER400_02A_17,0,29,21170,17,476,0
68052,T_VER400_02A_18,0,29,21180,18,477,0
68053,T_VER400_02A_19,0,29,21190,19,478,0
68054,T_VER400_02A_20,0,29,21200,20,479,0
68055,T_VER400_02A_21,0,29,21210,21,480,0
68056,T_VER400_02A_23,0,29,21230,23,482,0
68057,T_VER400_02A_24,0,29,21240,24,483,0
68058,T_VER400_02A_26,0,29,21260,26,485,0
68059,T_VER400_02A_27,0,29,21270,27,486,0
68060,T_VER400_02A_28,0,29,21280,28,487,0
68061,T_VER400_02A_29,0,29,21290,29,488,0
68062,T_VER400_02A_30,0,29,21300,30,489,0
68063,T_VER400_02B_01,0,30,21410,1,490,0
68064,T_VER400_02B_02,0,30,21420,2,491,0
68065,T_VER400_02B_03,0,30,21430,3,492,0
68066,T_VER400_02B_04,0,30,21440,4,493,0
68067,T_VER400_02B_05,0,30,21450,5,494,0
68068,T_VER400_02B_06,0,30,21460,6,495,0
68069,T_VER400_02B_07,0,30,21470,7,496,0
68070,T_VER400_02B_08,0,30,21480,8,497,0
68071,T_VER400_02B_09,0,30,21490,9,498,0
68072,T_VER400_02B_10,0,30,21500,10,499,0
68073,T_VER400_02B_11,0,30,21510,11,500,0
68074,T_VER400_02B_12,0,30,21520,12,501,0
68075,T_VER400_02B_13,0,30,21530,13,502,0
68076,T_VER400_02B_14,0,30,21540,14,503,0
68077,T_VER400_02B_15,0,30,21550,15,504,0
68078,T_VER400_02B_16,0,30,21560,16,505,0
68079,T_VER400_02B_17,0,30,21570,17,506,0
68080,T_VER400_02B_18,0,30,21580,18,507,0
68081,T_VER400_02B_19,0,30,21590,19,508,0
68082,T_VER400_02B_20,0,30,21600,20,509,0
68083,T_VER400_02B_21,0,30,21610,21,510,0
68084,T_VER400_02B_22,0,30,21620,22,511,0
68085,T_VER400_02B_23,0,30,21630,23,512,0
68086,T_VER400_02B_24,0,30,21640,24,513,0
68087,T_VER400_02B_25,0,30,21650,25,514,0
68088,T_VER400_02B_26,0,30,21660,26,515,0
68089,T_VER400_02B_27,0,30,21670,27,516,0
68166,T_VER400_02A_01,0,29,21010,1,460,0
68171,T_VER400_01A_19,0,26,20190,19,413,0
68172,T_VER400_01A_20,0,26,20200,20,414,0
68173,T_VER400_01A_21,0,26,20210,21,415,0
68174,T_VER400_01A_22,0,26,20220,22,416,0
68215,T_VER400_01B_14,0,27,20540,14,438,0
68217,T_VER400_01B_12,0,27,20520,12,436,0
68470,T_VER400_01C_03,0,28,20730,3,451,0
68471,T_VER400_01C_09,0,28,20790,9,457,0
