#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
16,Objectif de développement : élever des animaux,**Utiliser le mode “Capturer” pour attraper un animal**,Parler à Béberger,600,300,-252,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
17,Objectif de développement : élever des animaux,**Parler à Béberger**,"Utiliser le mode ""Capturer"" pour attraper un animal",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
18,Objectif de développement : élever des animaux,**Utiliser le mode “Nourrir” pour donner à manger à vos animaux**,Parler à Béberger,40,-292,148,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
19,Objectif de développement : élever des animaux,**Parler à Béberger**,"Utiliser le mode ""Nourrir"" pour donner à manger à vos animaux",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
20,Objectif de développement : construire une fabrique et développer le commerce,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
21,Objectif de développement : construire une fabrique et développer le commerce,**Demander à Dédéfricheur I d'aménager le terrain**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
22,Objectif de développement : construire une fabrique et développer le commerce,**Parler à Dédéfricheur I**,Demander à Dédéfricheur I d'aménager le terrain,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
23,Objectif de développement : construire une fabrique et développer le commerce,**Collecter les matériaux nécessaires pour fabriquer un marteau en pierre de pionnier dans l'atelier**,Parler à Dédéfricheur I,0,0,0,3,9,11,255,255,3,2,4,0,0,4,10,12,0,0,0,0
24,Objectif de développement : construire une fabrique et développer le commerce,**Collecter les matériaux nécessaires pour construire une fabrique**,Collecter les matériaux nécessaires pour fabriquer un marteau en pierre de pionnier dans l'atelier,0,0,0,9,0,14,11,8,10,10,10,5,5,10,1,15,12,9,0,0
25,Objectif de développement : construire une fabrique et développer le commerce,**Parler à Dédéfricheur I**,Collecter les matériaux nécessaires pour construire une fabrique,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
26,Objectif de développement : construire une fabrique et développer le commerce,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
27,Objectif de développement : construire une fabrique et développer le commerce,**Développer votre île comme bon vous semble**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
28,Objectif de développement : améliorer vos compétences de pionnier,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
29,Objectif de développement : améliorer vos compétences de pionnier,**Développer votre île comme bon vous semble**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
30,Objectif de développement : enquêter sur les rumeurs autour de l'île,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
31,Objectif de développement : enquêter sur les rumeurs autour de l'île,**Inspecter les alentours de la montagne moussue**,Parler à Chamoiselle,40,420,-145,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
32,Objectif de développement : enquêter sur les rumeurs autour de l'île,**Parler à Chamoiselle**,Inspecter les alentours de la montagne moussue,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
33,Objectif de développement : enquêter sur les rumeurs autour de l'île,**Parler à Édouarpenteur**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
34,Objectif de développement : enquêter sur les rumeurs autour de l'île,**Fabriquer des outils de forage taille réduite et les donner à Édouarpenteur**,Parler à Édouarpenteur,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
35,Objectif de développement : rendre votre île encore plus plaisante,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
36,Objectif de développement : rendre votre île encore plus plaisante,**Continuer à développer votre île comme bon vous semble**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
37,Objectif de développement : explorer la caverne croulante,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
38,Objectif de développement : explorer la caverne croulante,**Parler à Édouarpenteur**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
39,Objectif de développement : explorer la caverne croulante,**Inspecter la caverne croulante**,Parler à Édouarpenteur,40,310,-255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,1
40,Objectif de développement : explorer la caverne croulante,**Parler à Édouarpenteur**,Inspecter la caverne croulante,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
41,Objectif de développement : explorer la caverne croulante,**Fabriquer des outils de forage supérieurs taille réduite et les donner à Édouarpenteur**,Parler à Édouarpenteur,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
42,Objectif de développement : sublimer votre Félicité insulaire,**Parler à Chamoiselle**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
43,Objectif de développement : sublimer votre Félicité insulaire,**Développer votre île jusqu'à son niveau maximum**,Parler à Chamoiselle,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
44,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
45,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
