#,Name,Background,Frame,Decoration,SortKey
149,Crystalline Conflict : argent S7,180,118,127,3261
150,Crystalline Conflict : bronze S7,181,119,128,3262
151,Motif oriental 1 : aramitama,182,120,129,3006
152,Motif oriental 2 : nigimitama,183,121,130,3007
153,Quêtes des Kojin,184,1,131,2308
154,Quêtes des Anantas,185,1,132,2309
155,Quêtes des Namazu,186,1,133,2310
156,Mage bleu (standard),71,122,134,2071
157,Mage bleu (dynamique),187,122,134,2171
158,La fin d'une ère,188,128,1,2250
159,10e anniversaire,189,123,135,3950
160,Donjon à embranchements : Le mont Rokkon,190,124,136,2403
161,Grand pêcheur,191,125,137,2346
162,Pêcheur de légendes,192,126,138,2347
163,Tuiles essentielles,193,127,139,2350
164,Le Palestre,194,129,140,3008
165,Le Petit Nuage,195,130,141,3009
166,Roi du conflit S8,196,131,142,3263
167,Prince du conflit S8,197,132,143,3264
168,As du conflit S8,198,133,144,3265
169,Crystalline Conflict : cristal S8,199,134,145,3266
170,Crystalline Conflict : diamant S8,200,135,146,3267
171,Crystalline Conflict : platine S8,201,136,147,3268
172,Crystalline Conflict : or S8,202,137,148,3269
173,Crystalline Conflict : argent S8,203,138,149,3270
174,Crystalline Conflict : bronze S8,204,139,150,3271
175,Roi du conflit S9,205,140,151,3272
176,Prince du conflit S9,206,141,152,3273
177,As du conflit S9,207,142,153,3274
178,Crystalline Conflict : cristal S9,208,143,154,3275
179,Crystalline Conflict : diamant S9,209,144,155,3276
180,Crystalline Conflict : platine S9,210,145,156,3277
181,Crystalline Conflict : or S9,211,146,157,3278
182,Crystalline Conflict : argent S9,212,147,158,3279
183,Crystalline Conflict : bronze S9,213,148,159,3280
184,Roi du conflit S10,214,149,160,3281
185,Prince du conflit S10,215,150,161,3282
186,As du conflit S10,216,151,162,3283
187,Crystalline Conflict : cristal S10,217,152,163,3284
188,Crystalline Conflict : diamant S10,218,153,164,3285
189,Crystalline Conflict : platine S10,219,154,165,3286
190,Crystalline Conflict : or S10,220,155,166,3287
191,Crystalline Conflict : argent S10,221,156,167,3288
192,Crystalline Conflict : bronze S10,222,157,168,3289
193,Quêtes des Vanu Vanu,223,1,169,2305
194,Quêtes des Gnathes,224,1,170,2306
195,Quêtes des Mogs,225,1,171,2307
196,Le Mythe éorzéen : Halone,226,158,172,2252
197,Le Mythe éorzéen : Menphina,226,158,173,2253
198,Le Mythe éorzéen : Thaliak,226,158,174,2254
199,Le Mythe éorzéen : Nymeia,226,158,175,2255
200,Le Mythe éorzéen : Llymlaen,226,158,176,2256
201,Le Mythe éorzéen : Oschon,226,158,177,2257
202,Le Mythe éorzéen : Byregot,226,158,178,2258
203,Le Mythe éorzéen : Rhalgr,226,158,179,2259
204,Le Mythe éorzéen : Azeyma,226,158,180,2260
205,Le Mythe éorzéen : Nald'thal,226,158,181,2261
206,Le Mythe éorzéen : Nophica,226,158,182,2262
207,Le Mythe éorzéen : Althyk,226,158,183,2263
208,Donjon à embranchements : L'île d'Aloalo,227,159,184,2404
209,Aventures imaginaires de Khloe,228,160,185,2351
210,Touché-tourné,229,161,186,2352
211,Blunderville 1,230,162,187,3951
212,Blunderville 2,231,163,188,3952
213,Blunderville 3,232,164,189,3953
214,Yo-kai Watch,233,165,190,3954
215,Rôdeur vipère (standard),234,166,191,2063
216,Rôdeur vipère (dynamique),235,166,191,2163
217,Pictomancien (standard),236,167,192,2070
218,Pictomancien (dynamique),237,167,192,2170
219,Le Cœur volcanique,238,168,193,3010
220,Le Traquenard oriental,239,169,194,3011
221,Roi du conflit S11,240,170,195,3290
222,Prince du conflit S11,241,171,196,3291
223,As du conflit S11,242,172,197,3292
224,Crystalline Conflict : cristal S11,243,173,198,3293
225,Crystalline Conflict : diamant S11,244,174,199,3294
226,Crystalline Conflict : platine S11,245,175,200,3295
227,Crystalline Conflict : or S11,246,176,201,3296
228,Crystalline Conflict : argent S11,247,177,202,3297
229,Crystalline Conflict : bronze S11,248,178,203,3298
230,Quêtes des Kobolds,249,1,204,2302
231,Quêtes des Sylphes,250,1,205,2301
232,Quêtes des Amalj'aa,251,1,206,2300
233,Quêtes des Sahuagins,252,1,207,2303
234,Quêtes des Ixali,253,1,208,2304
235,Tuliyollal 1,254,179,209,1036
236,Tuliyollal 2,255,180,210,1037
237,Solution Neuf 1,256,181,211,1038
238,Solution Neuf 2,257,182,212,1039
239,Rocher des tréfonds,258,183,213,3013
240,Sables sanglants,259,184,214,3012
241,Roi du conflit S12,260,185,215,3299
242,Prince du conflit S12,261,186,216,3300
243,As du conflit S12,262,187,217,3301
244,Crystalline Conflict : cristal S12,263,188,218,3302
245,Crystalline Conflict : diamant S12,264,189,219,3303
246,Crystalline Conflict : platine S12,265,190,220,3304
247,Crystalline Conflict : or S12,266,191,221,3305
248,Crystalline Conflict : argent S12,267,192,222,3306
249,Crystalline Conflict : bronze S12,268,193,223,3307
250,Quêtes des Pelupelu,269,1,224,2317
251,Ishgard 1,270,194,225,1020
252,Ishgard 2,271,195,226,1021
253,Idyllée 1,272,196,227,1022
254,Idyllée 2,273,197,228,1023
255,Kugane 1,274,198,229,1024
256,Kugane 2,275,199,230,1025
257,L'Étendue de Rhalgr 1,276,200,231,1026
258,L'Étendue de Rhalgr 2,277,201,232,1027
259,Cristarium 1,278,202,233,1028
260,Cristarium 2,279,203,234,1029
261,Eulmore 1,280,204,235,1030
262,Eulmore 2,281,205,236,1031
263,Vieille Sharlayan 1,282,206,237,1032
264,Vieille Sharlayan 2,283,207,238,1033
265,Radz-at-Han 1,284,208,239,1034
266,Radz-at-Han 2,285,209,240,1035
267,Champs de la Gloire,286,210,241,3014
268,Onsal Hakair,287,211,242,3015
269,Roi du conflit S13,288,212,243,3308
270,Prince du conflit S13,289,213,244,3309
271,As du conflit S13,290,214,245,3310
272,Crystalline Conflict : cristal S13,291,215,246,3311
273,Crystalline Conflict : diamant S13,292,216,247,3312
274,Crystalline Conflict : platine S13,293,217,248,3313
275,Crystalline Conflict : or S13,294,218,249,3314
276,Crystalline Conflict : argent S13,295,219,250,3315
277,Crystalline Conflict : bronze S13,296,220,251,3316
278,Roi du conflit S14,297,221,252,3317
279,Prince du conflit S14,298,222,253,3318
280,As du conflit S14,299,223,254,3319
281,Crystalline Conflict : cristal S14,300,224,255,3320
282,Crystalline Conflict : diamant S14,301,225,256,3321
283,Crystalline Conflict : platine S14,302,226,257,3322
284,Crystalline Conflict : or S14,303,227,258,3323
285,Crystalline Conflict : argent S14,304,228,259,3324
286,Crystalline Conflict : bronze S14,305,229,260,3325
287,Futures Rewritten,306,230,261,2505
288,Quêtes des Mamool Ja,307,1,262,2318
289,Palais des morts 1,308,1,263,2354
290,Palais des morts 2,309,1,264,2355
291,Pilier des Cieux 1,310,1,265,2356
292,Pilier des Cieux 2,311,1,266,2357
293,Île de Lunule,312,231,267,2406
294,Exploration cosmique 1,313,232,268,2343
295,Monster Hunter Wilds 1,314,233,269,3955
296,Monster Hunter Wilds 2,315,234,270,3956
297,Gorge dérobée,316,235,271,3016
298,Ruines frontalières (annexion),317,236,272,3017
299,Roi du conflit S15,318,237,273,3326
300,Prince du conflit S15,319,238,274,3327
301,As du conflit S15,320,239,275,3328
302,Crystalline Conflict : cristal S15,321,240,276,3329
303,Crystalline Conflict : diamant S15,322,241,277,3330
304,Crystalline Conflict : platine S15,323,242,278,3331
305,Crystalline Conflict : or S15,324,243,279,3332
306,Crystalline Conflict : argent S15,325,244,280,3333
307,Crystalline Conflict : bronze S15,326,245,281,3334
308,Roi du conflit S16,327,246,282,3335
309,Prince du conflit S16,328,247,283,3336
310,As du conflit S16,329,248,284,3337
311,Crystalline Conflict : Ultima S16,330,249,285,3338
312,Crystalline Conflict : Oméga S16,331,250,286,3339
313,Crystalline Conflict : cristal S16,332,251,287,3340
314,Crystalline Conflict : diamant S16,333,252,288,3341
315,Crystalline Conflict : platine S16,334,253,289,3342
316,Crystalline Conflict : or S16,335,254,290,3343
317,Crystalline Conflict : argent S16,336,255,291,3344
318,Crystalline Conflict : bronze S16,337,256,292,3345
319,Quêtes des Yok Huy,338,1,293,2319
320,Sanctuaire des pèlerins 1,339,1,294,2400
321,Sanctuaire des pèlerins 2,340,1,295,2401
322,Exploration cosmique 2,341,257,296,2344
323,Félicité insulaire 3,342,258,1,2342
324,Le Rivage redoutable,343,259,297,3018
325,Worqor Chirteh,344,260,298,3019
326,Roi du conflit S17,345,261,299,3346
327,Prince du conflit S17,346,262,300,3347
328,As du conflit S17,347,263,301,3348
329,Crystalline Conflict : Ultima S17,348,264,302,3349
330,Crystalline Conflict : Oméga S17,349,265,303,3350
331,Crystalline Conflict : cristal S17,350,266,304,3351
332,Crystalline Conflict : diamant S17,351,267,305,3352
333,Crystalline Conflict : platine S17,352,268,306,3353
334,Crystalline Conflict : or S17,353,269,307,3354
335,Crystalline Conflict : argent S17,354,270,308,3355
336,Crystalline Conflict : bronze S17,355,271,309,3356
337,Roi du conflit S18,356,272,310,3357
338,Prince du conflit S18,357,273,311,3358
339,As du conflit S18,358,274,312,3359
340,Crystalline Conflict : Ultima S18,359,275,313,3360
341,Crystalline Conflict : Oméga S18,360,276,314,3361
342,Crystalline Conflict : cristal S18,361,277,315,3362
343,Crystalline Conflict : diamant S18,362,278,316,3363
344,Crystalline Conflict : platine S18,363,279,317,3364
345,Crystalline Conflict : or S18,364,280,318,3365
346,Crystalline Conflict : argent S18,365,281,319,3366
347,Crystalline Conflict : bronze S18,366,282,320,3367
348,Récompense spéciale,367,283,321,4002
349,Exploration cosmique 3,368,284,322,2345
350,,0,0,0,0
351,Style épuré 1,370,286,324,25
352,Style épuré 2,371,287,325,26
353,Style épuré 3,372,288,326,27
354,Style épuré 4,373,289,327,28
355,Style épuré 5,374,290,328,29
356,Style épuré 6,375,291,329,30
357,Style épuré 7,376,292,330,31
358,Style épuré 8,377,293,331,32
359,,0,0,0,0
360,,0,0,0,0
361,,0,0,0,0
362,,0,0,0,0
363,,0,0,0,0
364,,0,0,0,0
365,,0,0,0,0
366,,0,0,0,0
367,,0,0,0,0
368,,0,0,0,0
369,,0,0,0,0
370,,0,0,0,0
371,,0,0,0,0
372,,0,0,0,0
373,,0,0,0,0
374,,0,0,0,0
375,,0,0,0,0
376,,0,0,0,0
377,,0,0,0,0
378,,0,0,0,0
379,,0,0,0,0
380,,0,0,0,0
