#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23
65823.4,6,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65823.255,58,0,0,0,0,0,0,0,6,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65825.5,6,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65826.3,6,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65826.4,6,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65828.255,5056,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65829.255,2341,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65830.255,5091,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65831.255,1605,1753,0,0,0,0,0,0,1,1,255,255,255,255,255,255,1,1,0,0,0,0,0,0
65832.255,2344,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65833.255,5058,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65834.3,2551,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65835.255,1778,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65836.255,2350,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65837.2,1723,1796,1659,0,0,0,0,0,1,1,1,255,255,255,255,255,1,1,1,0,0,0,0,0
65837.255,1723,1796,1659,0,0,0,0,0,2,2,2,255,255,255,255,255,1,1,1,0,0,0,0,0
65838.3,1663,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
65845.2,6,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65845.5,6,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65886.2,10,10,10,0,0,0,0,0,1,1,1,255,255,255,255,255,2,2,2,0,0,0,0,0
65891.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65898.2,34,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65898.3,6,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65943.2,35,35,0,0,0,0,0,0,1,1,255,255,255,255,255,255,2,2,0,0,0,0,0,0
65948.255,12,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65996.5,11,0,0,0,0,0,0,0,6,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65996.8,11,0,0,0,0,0,0,0,9,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
65996.9,11,0,0,0,0,0,0,0,10,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66002.1,12,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66032.3,35,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66057.2,59,59,59,0,0,0,0,0,1,2,3,255,255,255,255,255,2,2,2,0,0,0,0,0
66057.3,59,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66071.255,5333,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66072.1,1917,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66072.2,1917,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66073.1,1925,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66073.2,1925,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66074.3,1937,1862,2039,0,0,0,0,0,2,2,2,255,255,255,255,255,1,1,1,0,0,0,0,0
66074.4,1937,1862,2039,0,0,0,0,0,3,3,3,255,255,255,255,255,1,1,1,0,0,0,0,0
66075.2,5376,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66075.3,1942,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66113.255,5487,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66114.255,4564,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66116.255,5515,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66117.1,4597,4595,0,0,0,0,0,0,0,0,255,255,255,255,255,255,1,1,0,0,0,0,0,0
66117.2,4597,4595,0,0,0,0,0,0,1,1,255,255,255,255,255,255,1,1,0,0,0,0,0,0
66118.255,2149,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66119.255,5522,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66120.1,4575,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66120.2,4575,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66123.255,3274,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66125.255,5324,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66126.255,2670,3322,0,0,0,0,0,0,1,1,255,255,255,255,255,255,1,1,0,0,0,0,0,0
66127.255,3039,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66128.255,5326,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66129.255,3823,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66134.3,111,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66137.2,111,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66146.255,5062,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66147.255,4305,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66149.1,5086,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66149.2,5086,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66150.1,4204,4309,0,0,0,0,0,0,0,0,255,255,255,255,255,255,1,1,0,0,0,0,0,0
66150.2,4204,4309,0,0,0,0,0,0,1,1,255,255,255,255,255,255,1,1,0,0,0,0,0,0
66151.255,2111,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66152.255,5064,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66153.1,4218,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66153.2,4218,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66183.255,4556,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66184.255,4599,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66185.255,4607,4608,4606,0,0,0,0,0,0,0,0,255,255,255,255,255,1,1,1,0,0,0,0,0
66186.3,1987,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66187.255,3125,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66188.255,3413,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66189.255,3176,3429,2829,0,0,0,0,0,1,1,1,255,255,255,255,255,1,1,1,0,0,0,0,0
66190.1,3215,3475,2895,0,0,0,0,0,0,0,0,255,255,255,255,255,1,1,1,0,0,0,0,0
66191.255,2078,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66192.1,2125,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66192.2,2125,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66193.1,2872,2876,2878,0,0,0,0,0,0,0,0,255,255,255,255,255,1,1,1,0,0,0,0,0
66193.3,2872,2876,2878,0,0,0,0,0,2,2,2,255,255,255,255,255,1,1,1,0,0,0,0,0
66194.1,4514,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
66198.1,19,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66198.2,49,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66198.3,34,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66201.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66201.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66201.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66201.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66227.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66239.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66251.3,11,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66253.1,11,11,11,11,11,11,11,11,0,1,2,3,4,5,6,7,2,2,2,2,2,2,2,2
66256.1,28,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66256.2,44,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66256.255,29,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66264.4,19,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66280.1,22,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66320.255,35,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66364.1,3,3,3,3,3,3,0,0,0,1,2,3,4,5,255,255,2,2,2,2,2,2,0,0
66365.2,30,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66374.1,22,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66404.1,28,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66418.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66424.2,34,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66424.3,35,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66424.4,6,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66424.5,46,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66424.6,15,0,0,0,0,0,0,0,5,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66454.255,12,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66456.1,12,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66476.3,12,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66540.1,59,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66541.9,41,0,0,0,0,0,0,0,8,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66547.1,19,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66549.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66579.2,30,30,30,0,0,0,0,0,1,2,3,255,255,255,255,255,2,2,2,0,0,0,0,0
66579.255,30,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66618.1,58,58,58,0,0,0,0,0,0,1,2,255,255,255,255,255,2,2,2,0,0,0,0,0
66618.5,58,0,0,0,0,0,0,0,6,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66700.3,7,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66700.4,29,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66704.7,7,0,0,0,0,0,0,0,6,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66704.8,29,0,0,0,0,0,0,0,7,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66708.7,7,0,0,0,0,0,0,0,6,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66708.8,29,0,0,0,0,0,0,0,7,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66726.4,10,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66746.2,12,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66790.2,4,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66790.4,3,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66792.3,10,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66792.7,3,0,0,0,0,0,0,0,6,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66798.2,4,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66809.2,4,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66811.2,3,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66817.2,4,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66819.2,3,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66826.3,35,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66829.2,45,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66829.5,34,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66843.1,11,11,11,0,0,0,0,0,0,1,2,255,255,255,255,255,2,2,2,0,0,0,0,0
66847.1,85,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66847.2,85,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66847.3,85,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66847.4,85,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66869.2,35,35,35,35,35,0,0,0,1,1,1,1,1,255,255,255,2,2,2,2,2,0,0,0
66870.2,3,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66880.2,3,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66884.5,23,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66909.3,3,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66909.6,3,0,0,0,0,0,0,0,5,255,255,255,255,255,255,255,4,0,0,0,0,0,0,0
66963.255,11,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66979.255,35,0,0,0,0,0,0,0,5,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66990.4,17,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
66991.3,12,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,2,0,0,0,0,0,0,0
67023.3,8129,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67023.4,8129,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67024.255,8130,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67025.255,8131,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67027.3,8132,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67029.2,8133,0,0,0,0,0,0,0,1,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67029.13,8134,0,0,0,0,0,0,0,12,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67030.255,8091,0,0,0,0,0,0,0,6,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67031.255,8092,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67032.255,8093,0,0,0,0,0,0,0,5,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67033.255,8094,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67034.255,8105,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67035.255,8106,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67036.255,8107,0,0,0,0,0,0,0,8,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67037.255,8108,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67038.255,8109,0,0,0,0,0,0,0,7,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67039.255,8110,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67040.255,8095,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67041.255,8096,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67042.255,8097,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67043.255,8098,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67044.255,8099,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67045.255,8112,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67046.255,8113,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67047.255,8114,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67048.255,8115,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67049.255,8117,0,0,0,0,0,0,0,5,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67050.255,8100,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67051.255,8101,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67052.255,8102,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67053.255,8103,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67054.255,8104,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67055.255,8118,0,0,0,0,0,0,0,7,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67056.255,8120,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67057.255,8121,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67058.255,8122,0,0,0,0,0,0,0,4,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67059.255,8123,0,0,0,0,0,0,0,3,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67102.255,8125,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67103.255,8126,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
67104.255,8127,0,0,0,0,0,0,0,2,255,255,255,255,255,255,255,1,0,0,0,0,0,0,0
