#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
80,Actions utilisées sur vos équipiers,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,4,43,5,10,2
81,Objets utilisés sur vos équipiers,"Cloud Strife utilise une potion.
Cloud Strife annule l'utilisation d'une potion.",65535,4,44,5,11,2
82,Soins reçus par vos équipiers,   Cloud Strife récupère 5 PV.,65535,4,45,5,12,2
83,Effets bénéfiques reçus par vos équipiers,   Cloud Strife bénéficie de l'effet Bouclier.,65535,4,46,5,13,2
84,Effets néfastes subis par vos équipiers,   Cloud Strife subit l'effet Poison.,65535,4,47,5,14,2
85,Fin des effets bénéfiques reçus par vos équipiers,Cloud Strife perd l'effet Bouclier.,65535,4,48,5,15,2
86,Fin des effets néfastes subis par vos équipiers,Cloud Strife ne subit plus l'effet Pesanteur.,65535,4,49,5,16,2
87,,,0,0,0,0,0,0
88,,,0,0,0,0,0,0
89,,,0,0,0,0,0,0
90,,,0,0,0,0,0,0
91,Dégâts infligés par les autres,Cloud Strife inflige 2 points de dégâts à la coccinelle.,16,65535,41,7,1,0
92,Attaques manquées des autres,Cloud Strife manque la coccinelle.,16,65535,42,7,2,0
93,Actions des autres,"Cloud Strife lance Pierre.
Cloud Strife annule Pierre.",16,65535,43,7,3,0
94,Objets utilisés par les autres,"Cloud Strife utilise une potion.
Cloud Strife annule l'utilisation d'une potion.",16,65535,44,7,4,0
95,Soins lancés par les autres,   Cloud Strife récupère 5 PV.,16,65535,45,7,5,0
96,Effets bénéfiques lancés par les autres,   Cloud Strife bénéficie de l'effet Bouclier.,16,65535,46,7,6,0
97,Effets néfastes lancés par les autres,   Ifrit subit l'effet Poison.,16,65535,47,7,7,0
98,Dégâts subis par les autres,Ifrit inflige à Cloud Strife 9 999 points de dégâts.,65535,16,41,7,8,0
99,Attaques esquivées par les autres,Ifrit manque Cloud Strife.,65535,16,42,7,9,0
100,Actions utilisées sur les autres,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,16,43,7,10,0
101,Objets utilisés sur les autres,"Cloud Strife utilise une potion.
Cloud Strife annule l'utilisation d'une potion.",65535,16,44,7,11,0
102,Soins reçus par les autres,   Cloud Strife récupère 5 PV.,65535,16,45,7,12,0
103,Effets bénéfiques reçus par les autres,   Cloud Strife bénéficie de l'effet Bouclier.,65535,16,46,7,13,0
104,Effets néfastes subis par les autres,   Cloud Strife subit l'effet Poison.,65535,16,47,7,14,0
105,Fin des effets bénéfiques reçus par les autres,Cloud Strife perd l'effet Bouclier.,65535,16,48,7,15,0
106,Fin des effets néfastes subis par les autres,Cloud Strife ne subit plus l'effet Poison.,65535,16,49,7,16,0
107,,,0,0,0,0,0,0
108,,,0,0,0,0,0,0
109,,,0,0,0,0,0,0
110,,,0,0,0,0,0,0
111,Dégâts infligés par les ennemis combattus,Ifrit inflige à Cloud Strife 9 999 points de dégâts.,32,65535,41,8,1,2
112,Attaques manquées des ennemis combattus,Ifrit manque Cloud Strife.,32,65535,42,8,2,2
113,Actions des ennemis combattus,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",32,65535,43,8,3,2
114,Objets utilisés par les ennemis combattus,"Ifrit utilise une méga potion.
Ifrit annule l'utilisation d'une méga potion.",32,65535,44,8,4,2
115,Soins lancés par les ennemis combattus,   Ifrit récupère 9 999 PV.,32,65535,45,8,5,2
116,Effets bénéfiques lancés par les ennemis combattus,   Ifrit bénéficie de l'effet Bouclier.,32,65535,46,8,6,2
117,Effets néfastes lancés par les ennemis combattus,   Cloud Strife subit l'effet Poison.,32,65535,47,8,7,2
118,Dégâts subis par les ennemis combattus,Cloud Strife inflige à Ifrit 2 points de dégâts.,65535,32,41,8,8,2
119,Attaques esquivées par les ennemis combattus,Cloud Strife manque Ifrit.,65535,32,42,8,9,2
120,Actions utilisées sur les ennemis combattus,"Cloud Strife lance Pierre.
Cloud Strife annule Pierre.",65535,32,43,8,10,2
121,Objets utilisés sur les ennemis combattus,"Cloud Strife utilise une potion toxique.
Cloud Strife annule l'utilisation d'une potion toxique.",65535,32,44,8,11,2
122,Soins reçus par les ennemis combattus,   Ifrit récupère 9 999 PV.,65535,32,45,8,12,2
123,Effets bénéfiques reçus par les ennemis combattus,   Ifrit bénéficie de l'effet Bouclier.,65535,32,46,8,13,2
124,Effets néfastes subis par les ennemis combattus,   Ifrit subit l'effet Poison.,65535,32,47,8,14,2
125,Fin des effets bénéfiques reçus par les ennemis combattus,Ifrit perd l'effet Bouclier.,65535,32,48,8,15,2
126,Fin des effets néfastes subis par les ennemis combattus,Ifrit ne subit plus l'effet Poison.,65535,32,49,8,16,2
127,,,0,0,0,0,0,0
128,,,0,0,0,0,0,0
129,,,0,0,0,0,0,0
130,,,0,0,0,0,0,0
131,Dégâts infligés par les autres ennemis,Ifrit inflige à Sephiroth 1 337 points de dégâts.,64,65535,41,9,1,0
132,Attaques manquées des autres ennemis,Ifrit manque Cloud Strife.,64,65535,42,9,2,0
133,Actions des autres ennemis,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",64,65535,43,9,3,0
134,Objets utilisés par les autres ennemis,"Ifrit utilise une méga potion.
Ifrit annule l'utilisation d'une méga potion.",64,65535,44,9,4,0
135,Soins lancés par les autres ennemis,   Ifrit récupère 9 999 PV.,64,65535,45,9,5,0
136,Effets bénéfiques lancés par les autres ennemis,   Ifrit bénéficie de l'effet Bouclier.,64,65535,46,9,6,0
137,Effets néfastes lancés par les autres ennemis,   Sephiroth subit l'effet Poison.,64,65535,47,9,7,0
138,Dégâts subis par les autres ennemis,Sephiroth inflige à Ifrit 1 337 points de dégâts.,65535,64,41,9,8,0
139,Attaques esquivées par les autres ennemis,Sephiroth manque Ifrit.,65535,64,42,9,9,0
140,Actions utilisées sur les autres ennemis,"Sephiroth lance Brasier.
Sephiroth annule Brasier.",65535,64,43,9,10,0
141,Objets utilisés sur les autres ennemis,"Sephiroth utilise une potion toxique.
Sephiroth annule l'utilisation d'une potion toxique.",65535,64,44,9,11,0
142,Soins reçus par les autres ennemis,   Ifrit récupère 9 999 PV.,65535,64,45,9,12,0
143,Effets bénéfiques reçus par les autres ennemis,   Ifrit bénéficie de l'effet Bouclier.,65535,64,46,9,13,0
144,Effets néfastes subis par les autres ennemis,   Ifrit subit l'effet Poison.,65535,64,47,9,14,0
145,Fin des effets bénéfiques reçus par les autres ennemis,Ifrit perd l'effet Bouclier.,65535,64,48,9,15,0
146,Fin des effets néfastes subis par les autres ennemis,Ifrit ne subit plus l'effet Poison.,65535,64,49,9,16,0
147,,,0,0,0,0,0,0
148,,,0,0,0,0,0,0
149,,,0,0,0,0,0,0
150,,,0,0,0,0,0,0
151,Dégâts infligés par les membres de l'alliance,Cloud Strife inflige 2 points de dégâts à la coccinelle.,8,65535,41,6,1,0
152,Attaques manquées des membres de l'alliance,Cloud Strife manque la coccinelle.,8,65535,42,6,2,0
153,Actions des membres de l'alliance,"Cloud Strife lance Pierre.
Cloud Strife annule Pierre.",8,65535,43,6,3,0
154,Objets utilisés par les membres de l'alliance,"Cloud Strife utilise une potion.
Cloud Strife annule l'utilisation d'une potion.",8,65535,44,6,4,0
155,Soins lancés par les membres de l'alliance,   Cloud Strife récupère 5 PV.,8,65535,45,6,5,0
156,Effets bénéfiques lancés par les membres de l'alliance,   Cloud Strife bénéficie de l'effet Bouclier.,8,65535,46,6,6,0
157,Effets néfastes lancés par les membres de l'alliance,   Ifrit subit l'effet Poison.,8,65535,47,6,7,0
158,Dégâts subis par les membres de l'alliance,Ifrit inflige à Cloud Strife 9 999 points de dégâts.,65535,8,41,6,8,0
159,Attaques esquivées par les membres de l'alliance,Ifrit manque Cloud Strife.,65535,8,42,6,9,0
160,Actions utilisées sur les membres de l'alliance,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,8,43,6,10,0
161,Objets utilisés sur les membres de l'alliance,"Cloud Strife utilise une potion.
Cloud Strife annule l'utilisation d'une potion.",65535,8,44,6,11,0
162,Soins reçus par les membres de l'alliance,   Cloud Strife récupère 5 PV.,65535,8,45,6,12,0
163,Effets bénéfiques reçus par les membres de l'alliance,   Cloud Strife bénéficie de l'effet Bouclier.,65535,8,46,6,13,0
164,Effets néfastes subis par les membres de l'alliance,   Cloud Strife subit l'effet Poison.,65535,8,47,6,14,0
165,Fin des effets bénéfiques reçus par les membres de l'alliance,Cloud Strife perd l'effet Bouclier.,65535,8,48,6,15,0
166,Fin des effets néfastes subis par les membres de l'alliance,Cloud Strife ne subit plus l'effet Poison.,65535,8,49,6,16,0
167,,,0,0,0,0,0,0
168,,,0,0,0,0,0,0
169,,,0,0,0,0,0,0
170,,,0,0,0,0,0,0
171,Dégâts infligés par les PNJ amicaux,Mustadio Bunansa inflige 2 points de dégâts à la coccinelle.,128,65535,41,10,1,2
172,Attaques manquées des PNJ amicaux,Mustadio Bunansa manque la coccinelle.,128,65535,42,10,2,2
173,Actions des PNJ amicaux,"Mustadio Bunansa lance Pierre.
Mustadio Bunansa annule Pierre.",128,65535,43,10,3,2
174,Objets utilisés par les PNJ amicaux,"Mustadio Bunansa utilise une potion.
Mustadio Bunansa annule l'utilisation d'une potion.",128,65535,44,10,4,2
175,Soins lancés par les PNJ amicaux,   Mustadio Bunansa récupère 51 PV.,128,65535,45,10,5,2
176,Effets bénéfiques lancés par les PNJ amicaux,   Mustadio Bunansa bénéficie de l'effet Bouclier.,128,65535,46,10,6,2
177,Effets néfastes lancés par les PNJ amicaux,   Ifrit subit l'effet Poison.,128,65535,47,10,7,2
178,Dégâts subis par les PNJ amicaux,Ifrit inflige à Mustadio Bunansa 666 points de dégâts.,65535,128,41,10,8,2
179,Attaques esquivées par les PNJ amicaux,Ifrit manque Mustadio Bunansa.,65535,128,42,10,9,2
180,Actions utilisées sur les PNJ amicaux,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,128,43,10,10,2
181,Objets utilisés sur les PNJ amicaux,"Mustadio Bunansa utilise une potion.
Mustadio Bunansa annule l'utilisation d'une potion.",65535,128,44,10,11,2
182,Soins reçus par les PNJ amicaux,   Mustadio Bunansa récupère 15 PV.,65535,128,45,10,12,2
183,Effets bénéfiques reçus par les PNJ amicaux,   Mustadio Bunansa bénéficie de l'effet Bouclier.,65535,128,46,10,13,2
184,Effets néfastes subis par les PNJ amicaux,   Mustadio Bunansa subit l'effet Poison.,65535,128,47,10,14,2
185,Fin des effets bénéfiques reçus par les PNJ amicaux,Mustadio Bunansa perd l'effet Bouclier.,65535,128,48,10,15,2
186,Fin des effets néfastes subis par les PNJ amicaux,Mustadio Bunansa ne subit plus l'effet Poison.,65535,128,49,10,16,2
187,,,0,0,0,0,0,0
188,,,0,0,0,0,0,0
189,,,0,0,0,0,0,0
190,,,0,0,0,0,0,0
191,Dégâts infligés par votre compagnon/familier,Carbuncle émeraude inflige 28 points de dégâts à la coccinelle.,256,65535,41,11,1,2
192,Attaques manquées de votre compagnon/familier,Carbuncle émeraude manque la coccinelle.,256,65535,42,11,2,2
193,Actions de votre compagnon/familier,"Carbuncle émeraude lance Pierre.
Carbuncle émeraude annule Pierre.",256,65535,43,11,3,2
194,Objets utilisés par votre compagnon/familier,"Carbuncle émeraude utilise une potion.
Carbuncle émeraude annule l'utilisation d'une potion.",256,65535,44,11,4,2
195,Soins lancés par votre compagnon/familier,   Vous récupérez 30 PV.,256,65535,45,11,5,2
196,Effets bénéfiques lancés par votre compagnon/familier,   Vous bénéficiez de l'effet Bouclier.,256,65535,46,11,6,2
197,Effets néfastes lancés par votre compagnon/familier,   Ifrit subit l'effet Poison.,256,65535,47,11,7,2
198,Dégâts subis par votre compagnon/familier,Ifrit inflige à Carbuncle émeraude 666 points de dégâts.,65535,256,41,11,8,2
199,Attaques esquivées par votre compagnon/familier,Ifrit manque Carbuncle émeraude.,65535,256,42,11,9,2
200,Actions utilisées sur votre compagnon/familier,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,256,43,11,10,2
201,Objets utilisés sur votre compagnon/familier,"Carbuncle émeraude utilise une potion.
Carbuncle émeraude annule l'utilisation d'une potion.",65535,256,44,11,11,2
202,Soins reçus par votre compagnon/familier,   Carbuncle émeraude récupère 15 PV.,65535,256,45,11,12,2
203,Effets bénéfiques reçus par votre compagnon/familier,   Carbuncle émeraude bénéficie de l'effet Bouclier.,65535,256,46,11,13,2
204,Effets néfastes subis par votre compagnon/familier,   Carbuncle émeraude subit l'effet Poison.,65535,256,47,11,14,2
205,Fin des effets bénéfiques reçus par votre compagnon/familier,Carbuncle émeraude perd l'effet Bouclier.,65535,256,48,11,15,2
206,Fin des effets néfastes subis par votre compagnon/familier,Carbuncle émeraude ne subit plus l'effet Poison.,65535,256,49,11,16,2
207,,,0,0,0,0,0,0
208,,,0,0,0,0,0,0
209,,,0,0,0,0,0,0
210,,,0,0,0,0,0,0
211,Dégâts infligés par les compagnons/familiers des équipiers,Carbuncle émeraude inflige 28 points de dégâts à la coccinelle.,512,65535,41,12,1,2
212,Attaques manquées des compagnons/familiers des équipiers,Carbuncle émeraude manque la coccinelle.,512,65535,42,12,2,2
213,Actions des compagnons/familiers des équipiers,"Carbuncle émeraude lance Pierre.
Carbuncle émeraude annule Pierre.",512,65535,43,12,3,2
214,Objets utilisés par les compagnons/familiers des équipiers,"Carbuncle émeraude utilise une potion.
Carbuncle émeraude annule l'utilisation d'une potion.",512,65535,44,12,4,2
215,Soins lancés par les compagnons/familiers des équipiers,   Vous récupérez 30 PV.,512,65535,45,12,5,2
216,Effets bénéfiques lancés par les compagnons/familiers des équipiers,   Vous bénéficiez de l'effet Bouclier.,512,65535,46,12,6,2
217,Effets néfastes lancés par les compagnons/familiers des équipiers,   Ifrit subit l'effet Poison.,512,65535,47,12,7,2
218,Dégâts subis par les compagnons/familiers des équipiers,Ifrit inflige à Carbuncle émeraude 666 points de dégâts.,65535,512,41,12,8,2
219,Attaques esquivées par les compagnons/familiers des équipiers,Ifrit manque Carbuncle émeraude.,65535,512,42,12,9,2
220,Actions utilisées sur les compagnons/familiers des équipiers,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,512,43,12,10,2
221,Objets utilisés sur les compagnons/familiers des équipiers,"Carbuncle émeraude utilise une potion.
Carbuncle émeraude annule l'utilisation d'une potion.",65535,512,44,12,11,2
222,Soins reçus par les compagnons/familiers des équipiers,   Carbuncle émeraude récupère 15 PV.,65535,512,45,12,12,2
223,Effets bénéfiques reçus par les compagnons/familiers des équipiers,   Carbuncle émeraude bénéficie de l'effet Bouclier.,65535,512,46,12,13,2
224,Effets néfastes subis par les compagnons/familiers des équipiers,   Carbuncle émeraude subit l'effet Poison.,65535,512,47,12,14,2
225,Fin des effets bénéfiques reçus par les compagnons/familiers des équipiers,Carbuncle émeraude perd l'effet Bouclier.,65535,512,48,12,15,2
226,Fin des effets néfastes subis par les compagnons/familiers des équipiers,Carbuncle émeraude ne subit plus l'effet Poison.,65535,512,49,12,16,2
227,,,0,0,0,0,0,0
228,,,0,0,0,0,0,0
229,,,0,0,0,0,0,0
230,,,0,0,0,0,0,0
231,Dégâts infligés par les compagnons/familiers des membres de l'alliance,Carbuncle émeraude inflige 28 points de dégâts à la coccinelle.,1024,65535,41,13,1,0
232,Attaques manquées des compagnons/familiers des membres de l'alliance,Carbuncle émeraude manque la coccinelle.,1024,65535,42,13,2,0
233,Actions des compagnons/familiers des membres de l'alliance,"Carbuncle émeraude lance Pierre.
Carbuncle émeraude annule Pierre.",1024,65535,43,13,3,0
234,Objets utilisés par les compagnons/familiers des membres de l'alliance,"Carbuncle émeraude utilise une potion.
Carbuncle émeraude annule l'utilisation d'une potion.",1024,65535,44,13,4,0
235,Soins lancés par les compagnons/familiers des membres de l'alliance,   Vous récupérez 30 PV.,1024,65535,45,13,5,0
236,Effets bénéfiques lancés par les compagnons/familiers des membres de l'alliance,   Vous bénéficiez de l'effet Bouclier.,1024,65535,46,13,6,0
237,Effets néfastes lancés par les compagnons/familiers des membres de l'alliance,   Ifrit subit l'effet Poison.,1024,65535,47,13,7,0
238,Dégâts subis par les compagnons/familiers des membres de l'alliance,Ifrit inflige à Carbuncle émeraude 666 points de dégâts.,65535,1024,41,13,8,0
239,Attaques esquivées par les compagnons/familiers des membres de l'alliance,Ifrit manque Carbuncle émeraude.,65535,1024,42,13,9,0
240,Actions utilisées sur les compagnons/familiers des membres de l'alliance,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,1024,43,13,10,0
241,Objets utilisés sur les compagnons/familiers des membres de l'alliance,"Carbuncle émeraude utilise une potion.
Carbuncle émeraude annule l'utilisation d'une potion.",65535,1024,44,13,11,0
242,Soins reçus par les compagnons/familiers des membres de l'alliance,   Carbuncle émeraude récupère 15 PV.,65535,1024,45,13,12,0
243,Effets bénéfiques reçus par les compagnons/familiers des membres de l'alliance,   Carbuncle émeraude bénéficie de l'effet Bouclier.,65535,1024,46,13,13,0
244,Effets néfastes subis par les compagnons/familiers des membres de l'alliance,   Carbuncle émeraude subit l'effet Poison.,65535,1024,47,13,14,0
245,Fin des effets bénéfiques des compagnons/familiers des membres de l'alliance,Carbuncle émeraude perd l'effet Bouclier.,65535,1024,48,13,15,0
246,Fin des effets néfastes des compagnons/familiers des membres de l'alliance,Carbuncle émeraude ne subit plus l'effet Poison.,65535,1024,49,13,16,0
247,,,0,0,0,0,0,0
248,,,0,0,0,0,0,0
249,,,0,0,0,0,0,0
250,,,0,0,0,0,0,0
251,Dégâts infligés par les compagnons/familiers des autres,Carbuncle émeraude inflige 28 points de dégâts à la coccinelle.,2048,65535,41,14,1,0
252,Attaques manquées des compagnons/familiers des autres,Carbuncle émeraude manque la coccinelle.,2048,65535,42,14,2,0
253,Actions des compagnons/familiers des autres,"Carbuncle émeraude lance Pierre.
Carbuncle émeraude annule Pierre.",2048,65535,43,14,3,0
254,Objets utilisés par les compagnons/familiers des autres,"Carbuncle émeraude utilise une potion.
Carbuncle émeraude annule l'utilisation d'une potion.",2048,65535,44,14,4,0
255,Soins lancés par les compagnons/familiers des autres,   Vous récupérez 30 PV.,2048,65535,45,14,5,0
256,Effets bénéfiques lancés par les compagnons/familiers des autres,   Vous bénéficiez de l'effet Bouclier.,2048,65535,46,14,6,0
257,Effets néfastes lancés par les compagnons/familiers des autres,   Ifrit subit l'effet Poison.,2048,65535,47,14,7,0
258,Dégâts subis par les compagnons/familiers des autres,Ifrit inflige à Carbuncle émeraude 666 points de dégâts.,65535,2048,41,14,8,0
259,Attaques esquivées par les compagnons/familiers des autres,Ifrit manque Carbuncle émeraude.,65535,2048,42,14,9,0
260,Actions utilisées sur les compagnons/familiers des autres,"Ifrit lance Explosion volcanique.
Ifrit annule Explosion volcanique.",65535,2048,43,14,10,0
261,Objets utilisés sur les compagnons/familiers des autres,"Carbuncle émeraude utilise une potion.
Carbuncle émeraude annule l'utilisation d'une potion.",65535,2048,44,14,11,0
262,Soins reçus par les compagnons/familiers des autres,   Carbuncle émeraude récupère 15 PV.,65535,2048,45,14,12,0
263,Effets bénéfiques reçus par les compagnons/familiers des autres,   Carbuncle émeraude bénéficie de l'effet Bouclier.,65535,2048,46,14,13,0
264,Effets néfastes subis par les compagnons/familiers des autres,   Carbuncle émeraude subit l'effet Poison.,65535,2048,47,14,14,0
265,Fin des effets bénéfiques reçus par les compagnons/familiers des autres,Carbuncle émeraude perd l'effet Bouclier.,65535,2048,48,14,15,0
266,Fin des effets néfastes subis par les compagnons/familiers des autres,Carbuncle émeraude ne subit plus l'effet Poison.,65535,2048,49,14,16,0
267,,,0,0,0,0,0,0
268,,,0,0,0,0,0,0
269,,,0,0,0,0,0,0
270,,,0,0,0,0,0,0
300,Linkshell inter-Monde [2],[LSIM 2]<Relm Arrowny> Salut !,65535,65535,101,1,11,1
301,Linkshell inter-Monde [3],[LSIM 3]<Zidane Tribal> Salut !,65535,65535,102,1,12,1
