#,InlineName,Name,Color,Shade,Unknown0,Unknown1,SubOrder,IsMetallic,IsHousingApplicable
59,vert morbol,Vert morbol,2049606,52254,0,7,17,False,True
60,bleu glace,Bleu glace,11715790,52254,0,8,1,False,True
61,bleu ciel,Bleu ciel,8630482,52254,0,8,2,False,True
62,bleu horizon,Bleu horizon,6586784,52254,0,8,3,False,True
63,bleu paon,Bleu paon,3893382,52254,0,8,4,False,True
64,bleu de Rhotano,Bleu de Rhotano,1850708,52254,0,8,5,False,True
65,bleu charron,Bleu charron,9345964,52254,0,8,6,False,True
66,bleu céruleum,Bleu céruleum,5199718,52254,0,8,7,False,True
67,bleu guède,Bleu guède,3094609,52254,0,8,8,False,True
68,bleu encre,Bleu encre,1711911,52254,0,8,9,False,True
69,bleu raptor,Bleu raptor,5996480,52254,0,8,10,False,True
70,bleu d'Othard,Bleu d'Othard,3102857,52254,0,8,11,False,True
71,bleu tempête,Bleu tempête,2310514,52254,0,8,12,False,True
72,bleu du néant,Bleu du néant,1124676,52254,0,8,13,False,True
73,bleu royal,Bleu royal,2568295,52254,0,8,14,False,True
74,bleu de minuit,Bleu de minuit,1579319,52254,0,8,15,False,True
75,bleu turquin,Bleu turquin,3618631,52254,0,8,16,False,True
76,bleu marine,Bleu marine,3222871,52254,0,8,17,False,True
77,lavande,Lavande,8880046,52254,0,9,1,False,True
78,colombin,Colombin,5326176,52254,0,9,2,False,True
79,cassis,Cassis,3288123,52254,0,9,3,False,True
80,iris,Iris,12033724,52254,0,9,4,False,True
81,raisin,Raisin,3877437,52254,0,9,5,False,True
82,mauve lotus,Mauve lotus,16699125,52254,0,9,6,False,True
83,mauve colibri,Mauve colibri,14457802,52254,0,9,7,False,True
84,prune,Prune,7950956,52254,0,9,8,False,True
85,byzantium,Byzantium,6697038,52254,0,9,9,False,True
86,rouge rubis,Rouge rubis,14942225,52255,0,4,10,False,True
87,rose cerise,Rose cerise,16070555,52255,0,4,11,False,True
88,jaune serin,Jaune serin,16709732,52255,0,6,10,False,True
89,jaune vanille,Jaune vanille,16511412,52255,0,6,11,False,True
90,bleu dragon,Bleu dragon,3746,52255,0,8,18,False,True
91,bleu turquoise,Bleu turquoise,307149,52255,0,8,19,False,True
92,bronze à canon,Bronze à canon,6316136,52255,0,10,21,True,False
93,blanc perlé,Blanc perlé,15328218,52255,0,10,22,True,False
94,cuivre jaune,Cuivre jaune,15192471,52255,0,10,23,True,False
95,rouge carmin,Rouge carmin,14551830,52256,0,4,12,False,True
96,rose néon,Rose néon,15536526,52256,0,4,13,False,True
97,orange brillant,Orange brillant,16011281,52256,0,5,19,False,True
98,jaune néon,Jaune néon,14674440,52256,0,6,12,False,True
99,vert néon,Vert néon,11925264,52256,0,7,18,False,True
100,bleu azur,Bleu azur,3820688,52256,0,8,20,False,True
101,blanc immaculé,Blanc immaculé,16382196,13114,8732,10,1,False,True
102,noir de jais,Noir de jais,1973790,13115,8733,10,2,False,True
103,rose pastel,Rose pastel,16632006,13708,8734,10,3,False,True
104,rouge foncé,Rouge foncé,3283225,13709,8735,10,4,False,True
105,brun foncé,Brun foncé,2629916,13710,8736,10,5,False,True
106,vert pastel,Vert pastel,12242858,13711,8737,10,6,False,True
107,vert foncé,Vert foncé,1387564,13712,8738,10,7,False,True
108,bleu pastel,Bleu pastel,9872601,13713,8739,10,8,False,True
109,bleu foncé,Bleu foncé,1187629,13714,8740,10,9,False,True
110,violet pastel,Violet pastel,12301786,13715,8741,10,10,False,True
111,violet foncé,Violet foncé,2301990,13716,8742,10,11,False,True
112,argent,Argent brillant,10987431,13116,8743,10,12,True,False
113,or,Or brillant,15590973,13117,8744,10,13,True,False
114,rouge métallique,Rouge métallique,11935051,13717,8745,10,14,True,False
115,orange métallique,Orange métallique,14978095,13718,8746,10,15,True,False
116,jaune métallique,Jaune métallique,16046662,13719,8747,10,16,True,False
117,vert métallique,Vert métallique,2271063,13720,8748,10,17,True,False
118,bleu ciel métallique,Bleu ciel métallique,6214886,13721,8749,10,18,True,False
119,bleu métallique,Bleu métallique,5264089,13722,8750,10,19,True,False
120,violet métallique,Violet métallique,10708674,13723,8751,10,20,True,False
121,violet pourpre,Violet pourpre,6443151,52256,0,9,10,False,True
122,rose métallique,Rose métallique,10639723,52256,0,10,24,True,False
123,rouge rubis métallique,Rouge rubis métallique,2031616,52256,0,10,25,True,False
124,vert de cobalt métallique,Vert de cobalt métallique,1393215,52256,0,10,26,True,False
125,bleu foncé métallique,Bleu foncé métallique,524831,52256,0,10,27,True,False
126,,,0,0,0,0,0,False,False
127,,,0,0,0,0,0,False,False
128,,,0,0,0,0,0,False,False
